#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4510.73    56.053772     9.883187
4511.98    42.258087    12.815067
4513.23    46.706959     9.070835
4514.47    41.707008    13.286545
4515.72    35.082626    18.342415
4516.97    42.247738    16.717070
4518.22    50.753967    11.765128
4519.47    37.597916    10.086836
4520.71    40.114777    10.317698
4521.96    40.479927    15.674333
4523.21    33.208519    18.365454
4524.46    38.053341    11.969784
4525.71    43.808201    10.916921
4526.95    35.028896    10.144010
4528.20    39.069836     7.908185
4529.45    51.678650     7.069063
4530.70    43.194248     8.941016
4531.95    39.581924    11.586239
4533.19    42.123554    11.892990
4534.44    42.442608     9.927108
4535.69    42.755386     9.197461
4536.94    47.929459    11.924870
4538.19    48.074680    13.650816
4539.43    49.030762     9.009787
4540.68    47.230598    10.805984
4541.93    45.468582    16.073713
4543.18    50.000938    10.998279
4544.42    48.339821     9.580477
4545.67    41.865906    11.841120
4546.92    36.937946    10.446474
4548.17    32.226223     9.798120
4549.42    29.173132    14.054190
4550.66    38.393272    11.515978
4551.91    42.084259    10.519816
4553.16    38.341827     7.779760
4554.41    31.355616     6.543863
4555.66    32.338963     7.639542
4556.90    47.480103     3.663425
4558.15    39.930035    13.248466
4559.40    39.892460    14.601363
4560.65    46.239597     9.938756
4561.90    48.143616     9.780732
4563.14    52.115742     8.009513
4564.39    39.100151     9.433001
4565.64    40.058800    11.100761
4566.89    45.417149    10.165271
4568.14    43.169819    10.963770
4569.38    39.520008    15.258307
4570.63    35.736828    15.251717
4571.88    43.752850    12.808792
4573.13    53.968498    10.897707
4574.38    46.722477     9.199558
4575.62    34.249687    11.272840
4576.87    43.089878    15.986485
4578.12    52.430168     8.896487
4579.37    50.369705    10.727166
4580.61    46.246937    13.400148
4581.86    48.749454     8.972739
4583.11    54.816246     4.626276
4584.36    55.292839     4.908636
4585.61    48.503288     6.722400
4586.85    58.361702     7.258127
4588.10    57.025818    10.022708
4589.35    45.379635    11.742299
4590.60    50.951027     8.717098
4591.85    56.828659     7.987414
4593.09    54.797150     8.514259
4594.34    47.759800    10.863744
4595.59    40.835674    12.382715
4596.84    39.501389    11.726741
4598.09    40.733017    12.229497
4599.33    36.057457    15.714858
4600.58    41.774380    15.681673
4601.83    50.934658     7.777628
4603.08    46.032452     6.330509
4604.33    37.010994    10.173230
4605.57    41.622536     7.930757
4606.82    46.654888     9.786016
4608.07    50.089188    10.842084
4609.32    57.772980    11.660597
4610.57    48.366577    11.897402
4611.81    37.082516    10.340276
4613.06    49.285889     7.676265
4614.31    51.465069     5.977719
4615.56    43.000370     7.627127
4616.80    45.732594     7.876127
4618.05    49.581837     9.331587
4619.30    42.931633    13.399683
4620.55    36.833614    14.802379
4621.80    42.612804    11.154860
4623.04    49.805771     9.420781
4624.29    38.747784    14.260615
4625.54    39.263092    15.398146
4626.79    58.924713     9.266295
4628.04    64.275162     7.935994
4629.28    43.733189    15.034989
4630.53    33.273998    11.205337
4631.78    45.723461     5.841853
4633.03    54.425167     5.187267
4634.28    50.711327     9.309270
4635.52    51.884972    10.008661
4636.77    61.406521     6.126116
4638.02    61.100327    12.513584
4639.27    61.159622    12.467438
4640.52    53.013397    12.537183
4641.76    48.858040     8.857386
4643.01    55.718594     4.867547
4644.26    64.397774     8.576711
4645.51    67.221321    10.947954
4646.76    51.792286    12.171667
4648.00    46.377033    10.197434
4649.25    46.947113    12.082182
4650.50    47.986435    16.501522
4651.75    48.359707    16.529106
4652.99    49.675961    12.736080
4654.24    64.443398     9.246264
4655.49    55.644115     8.222675
4656.74    44.728844     7.113958
4657.99    38.826370     7.809514
4659.23    45.027039     6.849910
4660.48    55.378548     5.631979
4661.73    41.153347    12.912653
4662.98    45.868992    11.949917
4664.23    53.367016     7.548183
4665.47    52.833290     8.461770
4666.72    49.940857    12.895178
4667.97    46.881378    15.333141
4669.22    46.551884    13.626782
4670.47    57.247501     9.143080
4671.71    58.801338    11.015995
4672.96    49.602398    13.649906
4674.21    45.078865    14.020587
4675.46    50.904659    14.161505
4676.71    51.430187    13.640908
4677.95    39.846252    12.009038
4679.20    43.480927    15.198907
4680.45    53.237312    19.885990
4681.70    55.036194    16.790169
4682.95    57.279362    13.122186
4684.19    61.445709    14.609528
4685.44    54.010040    16.179449
4686.69    42.971863    16.984196
4687.94    51.829926    16.571259
4689.18    41.394726    12.650158
4690.43    48.393875    13.721968
4691.68    54.694450    13.795989
4692.93    44.346992    11.009174
4694.18    51.647640    13.038621
4695.42    51.551731    11.152747
4696.67    41.900295    11.219864
4697.92    39.272610    15.234930
4699.17    44.527229    14.080997
4700.42    57.186779     7.372241
4701.66    64.173683     7.162735
4702.91    57.125496    13.002421
4704.16    66.828522     7.531415
4705.41    55.493397     8.473051
4706.66    47.451733    13.034759
4707.90    45.063026    13.742734
4709.15    48.136421    13.093244
4710.40    56.103466    14.105720
4711.65    52.004322    13.998910
4712.90    59.028481    13.991294
4714.14    58.148884    13.636418
4715.39    48.009037    10.957321
4716.64    49.343475    10.569311
4717.89    52.544151    12.126337
4719.14    40.616692    13.591156
4720.38    40.594990    17.100904
4721.63    56.028233    10.334106
4722.88    55.764317    15.900593
4724.13    51.807323    14.834941
4725.38    57.130280    11.430585
4726.62    60.887630    13.560616
4727.87    52.813271    11.252080
4729.12    42.997280    16.914293
4730.37    51.615284    12.153191
4731.61    55.840122    12.297079
4732.86    62.167614    14.727471
4734.11    66.759628    13.243695
4735.36    55.595009    13.570262
4736.61    47.222233    15.968086
4737.85    61.440674    13.131484
4739.10    64.875526    14.727476
4740.35    56.838123    13.077399
4741.60    50.354340    13.050883
4742.85    48.770927    17.389675
4744.09    50.702003    17.445841
4745.34    53.999592    11.971546
4746.59    53.139809     8.943184
4747.84    63.140301    11.497899
4749.09    59.999157    15.517871
4750.33    51.493011    17.796200
4751.58    46.419743    15.636890
4752.83    41.517696    10.558542
4754.08    53.491844     9.071717
4755.33    59.004650     7.610129
4756.57    58.218372    12.200830
4757.82    62.424847    13.907862
4759.07    56.238930    10.521494
4760.32    51.534706     8.942189
4761.57    72.132957     8.894561
4762.81    72.090828     7.006342
4764.06    58.273243     9.639149
4765.31    51.523151    14.266251
4766.56    57.654724    13.837095
4767.80    64.377052    11.796984
4769.05    63.712730    11.712581
4770.30    63.005005    10.008023
4771.55    64.542404    11.972804
4772.80    66.829094     9.681303
4774.04    60.400997     9.955406
4775.29    51.290386    10.872640
4776.54    49.084988    12.083349
4777.79    52.655403    16.260979
4779.04    58.679077    15.997815
4780.28    65.443657    17.005087
4781.53    71.131195    15.222849
4782.78    66.550110    12.826505
4784.03    55.902824    11.396063
4785.28    50.289303    13.069523
4786.52    51.201099    16.966764
4787.77    54.879555    13.165039
4789.02    54.561764    15.984874
4790.27    64.447662    16.371609
4791.52    68.101898    14.187195
4792.76    61.244064    14.018604
4794.01    60.017956    12.480043
4795.26    61.895725     9.964182
4796.51    67.183136    14.416334
4797.76    68.041534    13.726210
4799.00    60.327065    13.944107
4800.25    52.611572    14.559482
4801.50    52.628395    14.748022
4802.75    59.728928    16.777418
4803.99    69.701500     9.528274
4805.24    64.222565    10.572252
4806.49    55.839062    13.856897
4807.74    60.137150     9.960613
4808.99    64.604286     7.612649
4810.23    59.702648    13.939485
4811.48    62.834366    16.092688
4812.73    64.475815    11.321645
4813.98    52.371178    14.575252
4815.23    48.124886    18.166952
4816.47    59.825127    12.714036
4817.72    75.438049     6.438693
4818.97    80.672447     8.081581
4820.22    66.731064     9.580103
4821.47    73.123238    13.483671
4822.71    68.549660    12.415974
4823.96    57.490341    14.495117
4825.21    51.122173    19.522676
4826.46    48.121208    16.558416
4827.71    67.833435    13.996414
4828.95    69.604736    15.696754
4830.20    59.244755    15.237828
4831.45    59.272060    16.108553
4832.70    67.451660    16.170633
4833.95    68.523422    12.706800
4835.19    62.179222    13.933991
4836.44    58.596355    16.634956
4837.69    71.870705    16.666382
4838.94    77.141281    10.821937
