#Wavelength     Normalized Flux
#[Angstrom]       [Counts]
3650.00           0.388607
3652.00           0.364611
3654.00           0.347410
3656.00           0.349804
3658.00           0.365901
3660.00           0.377211
3662.00           0.378301
3664.00           0.384407
3666.00           0.405307
3668.00           0.431210
3670.00           0.453901
3672.00           0.437101
3674.00           0.428400
3676.00           0.422910
3678.00           0.418911
3680.00           0.415714
3682.00           0.404203
3684.00           0.416603
3686.00           0.420502
3688.00           0.418409
3690.00           0.404906
3692.00           0.382601
3694.00           0.375405
3696.00           0.392908
3698.00           0.421405
3700.00           0.432414
3702.00           0.447508
3704.00           0.443107
3706.00           0.430206
3708.00           0.423010
3710.00           0.426408
3712.00           0.426006
3714.00           0.398312
3716.00           0.378501
3718.00           0.380809
3720.00           0.392707
3722.00           0.401007
3724.00           0.407701
3726.00           0.416101
3728.00           0.415413
3730.00           0.415413
3732.00           0.428902
3734.00           0.474901
3736.00           0.529401
3738.00           0.560508
3740.00           0.555605
3742.00           0.494912
3744.00           0.420100
3746.00           0.362504
3748.00           0.344414
3750.00           0.364712
3752.00           0.362604
3754.00           0.348212
3756.00           0.322210
3758.00           0.311702
3760.00           0.317408
3762.00           0.330409
3764.00           0.353301
3766.00           0.383605
3768.00           0.405909
3770.00           0.415513
3772.00           0.417506
3774.00           0.404203
3776.00           0.398412
3778.00           0.399702
3780.00           0.409608
3782.00           0.418309
3784.00           0.434105
3786.00           0.461011
3788.00           0.492906
3790.00           0.517704
3792.00           0.517704
3794.00           0.495500
3796.00           0.471203
3798.00           0.446304
3800.00           0.421907
3802.00           0.389009
3804.00           0.374803
3806.00           0.375104
3808.00           0.382802
3810.00           0.397108
3812.00           0.412403
3814.00           0.442305
3816.00           0.455306
3818.00           0.457413
3820.00           0.453514
3822.00           0.425806
3824.00           0.419412
3826.00           0.399702
3828.00           0.409407
3830.00           0.409306
3832.00           0.402813
3834.00           0.378401
3836.00           0.338307
3838.00           0.310513
3840.00           0.300206
3842.00           0.296407
3844.00           0.288108
3846.00           0.280510
3848.00           0.284108
3850.00           0.300808
3852.00           0.338909
3854.00           0.378903
3856.00           0.416201
3858.00           0.427010
3860.00           0.430708
3862.00           0.429704
3864.00           0.433202
3866.00           0.426408
3868.00           0.416904
3870.00           0.407601
3872.00           0.413105
3874.00           0.437904
3876.00           0.454403
3878.00           0.462301
3880.00           0.445200
3882.00           0.440513
3884.00           0.427411
3886.00           0.423512
3888.00           0.411113
3890.00           0.406010
3892.00           0.389912
3894.00           0.372510
3896.00           0.357200
3898.00           0.364009
3900.00           0.381512
3902.00           0.397308
3904.00           0.415900
3906.00           0.449701
3908.00           0.484205
3910.00           0.502710
3912.00           0.497808
3914.00           0.493608
3916.00           0.496805
3918.00           0.510208
3920.00           0.523610
3922.00           0.529000
3924.00           0.540310
3926.00           0.540711
3928.00           0.526807
3930.00           0.489508
3932.00           0.442706
3934.00           0.411801
3936.00           0.387905
3938.00           0.364611
3940.00           0.330509
3942.00           0.288609
3944.00           0.277701
3946.00           0.269014
3948.00           0.293211
3950.00           0.327313
3952.00           0.381813
3954.00           0.419814
3956.00           0.457901
3958.00           0.491401
3960.00           0.521001
3962.00           0.532412
3964.00           0.527208
3966.00           0.511913
3968.00           0.490411
3970.00           0.453600
3972.00           0.416101
3974.00           0.367708
3976.00           0.326309
3978.00           0.280310
3980.00           0.256314
3982.00           0.263108
3984.00           0.307703
3986.00           0.370402
3988.00           0.438707
3990.00           0.503413
3992.00           0.540410
3994.00           0.561009
3996.00           0.578913
3998.00           0.599211
4000.00           0.610306
4002.00           0.609202
4004.00           0.615008
4006.00           0.627708
4008.00           0.647002
4010.00           0.660505
4012.00           0.668404
4014.00           0.673708
4016.00           0.669006
4018.00           0.664705
4020.00           0.669307
4022.00           0.691210
4024.00           0.710504
4026.00           0.717901
4028.00           0.725412
4030.00           0.727190
4032.00           0.718904
4034.00           0.705301
4036.00           0.691210
4038.00           0.689404
4040.00           0.669106
4042.00           0.641311
4044.00           0.633112
4046.00           0.665508
4048.00           0.717113
4050.00           0.738299
4052.00           0.726989
4054.00           0.694808
4056.00           0.655804
4058.00           0.637814
4060.00           0.650313
4062.00           0.679413
4064.00           0.688013
4066.00           0.688400
4068.00           0.680101
4070.00           0.664103
4072.00           0.646701
4074.00           0.638201
4076.00           0.642903
4078.00           0.656907
4080.00           0.672704
4082.00           0.679814
4084.00           0.677105
4086.00           0.673106
4088.00           0.670210
4090.00           0.671113
4092.00           0.664204
4094.00           0.675901
4096.00           0.697804
4098.00           0.704512
4100.00           0.703208
4102.00           0.694708
4104.00           0.686809
4106.00           0.680803
4108.00           0.654800
4110.00           0.631105
4112.00           0.599010
4114.00           0.581407
4116.00           0.592603
4118.00           0.622705
4120.00           0.650801
4122.00           0.656205
4124.00           0.662010
4126.00           0.678610
4128.00           0.701603
4130.00           0.706003
4132.00           0.702706
4134.00           0.702606
4136.00           0.709401
4138.00           0.715407
4140.00           0.709802
4142.00           0.691912
4144.00           0.672805
4146.00           0.676202
4148.00           0.699008
4150.00           0.718403
4152.00           0.712712
4154.00           0.691310
4156.00           0.682710
4158.00           0.685204
4160.00           0.683412
4162.00           0.677506
4164.00           0.670411
4166.00           0.678008
4168.00           0.697704
4170.00           0.725412
4172.00           0.746398
4174.00           0.754096
4176.00           0.748892
4178.00           0.747487
4180.00           0.746699
4182.00           0.722101
4184.00           0.694206
4186.00           0.649711
4188.00           0.658714
4190.00           0.678610
4192.00           0.711106
4194.00           0.720008
4196.00           0.717213
4198.00           0.713013
4200.00           0.726387
4202.00           0.731691
4204.00           0.741395
4206.00           0.733898
4208.00           0.714303
4210.00           0.693805
4212.00           0.674711
4214.00           0.693504
4216.00           0.708913
4218.00           0.733898
4220.00           0.748190
4222.00           0.759199
4224.00           0.756991
4226.00           0.738586
4228.00           0.736092
4230.00           0.746398
4232.00           0.756991
4234.00           0.738586
4236.00           0.690508
4238.00           0.641010
4240.00           0.618405
4242.00           0.642602
4244.00           0.695209
4246.00           0.735891
4248.00           0.736292
4250.00           0.733296
4252.00           0.736092
4254.00           0.759686
4256.00           0.765492
4258.00           0.758798
4260.00           0.735891
4262.00           0.717901
4264.00           0.710003
4266.00           0.708512
4268.00           0.703409
4270.00           0.698306
4272.00           0.698306
4274.00           0.715708
4276.00           0.738787
4278.00           0.761091
4280.00           0.757694
4282.00           0.731189
4284.00           0.691712
4286.00           0.670812
4288.00           0.677205
4290.00           0.707007
4292.00           0.729598
4294.00           0.735791
4296.00           0.725914
4298.00           0.705803
4300.00           0.687712
4302.00           0.665107
4304.00           0.656506
4306.00           0.650113
4308.00           0.647905
4310.00           0.611911
4312.00           0.577408
4314.00           0.551706
4316.00           0.554200
4318.00           0.549613
4320.00           0.541013
4322.00           0.544008
4324.00           0.574211
4326.00           0.633413
4328.00           0.711106
4330.00           0.777490
4332.00           0.789889
4334.00           0.768387
4336.00           0.724911
4338.00           0.701502
4340.00           0.700614
4342.00           0.722904
4344.00           0.767699
4346.00           0.788886
4348.00           0.775598
4350.00           0.718102
4352.00           0.643304
4354.00           0.605805
4356.00           0.640408
4358.00           0.734586
4360.00           0.818888
4362.00           0.837996
4364.00           0.799895
4366.00           0.768187
4368.00           0.768688
4370.00           0.790792
4372.00           0.801988
4374.00           0.815491
4376.00           0.841895
4378.00           0.858193
4380.00           0.847987
4382.00           0.828091
4384.00           0.809986
4386.00           0.791996
4388.00           0.767699
4390.00           0.765592
4392.00           0.764789
4394.00           0.758597
4396.00           0.718904
4398.00           0.692113
4400.00           0.681706
4402.00           0.703910
4404.00           0.733296
4406.00           0.757794
4408.00           0.781589
4410.00           0.793888
4412.00           0.799794
4414.00           0.787997
4416.00           0.767699
4418.00           0.751286
4420.00           0.751487
4422.00           0.775598
4424.00           0.815992
4426.00           0.828893
4428.00           0.828191
4430.00           0.813599
4432.00           0.821497
4434.00           0.831889
4436.00           0.835789
4438.00           0.837394
4440.00           0.835588
4442.00           0.834097
4444.00           0.829797
