#Wavelength     Flux
#[Angstrom]   [Counts]
3913.05     0.000000
3914.68     0.000000
3916.32     0.000000
3917.95     0.000000
3919.59     0.000000
3921.23     0.000000
3922.86     0.000000
3924.50     0.000000
3926.14     0.000000
3927.77     0.000000
3929.41     0.000000
3931.04     0.000000
3932.68     0.000000
3934.32     0.000000
3935.95    2912.394000
3937.59    1630.040000
3939.22    1752.281000
3940.86    1514.680000
3942.50    1596.197000
3944.13    1807.718000
3945.77    1975.528000
3947.41    1615.083000
3949.04    1409.534000
3950.68    1747.235000
3952.31    1653.180000
3953.95    1639.801000
3955.59    1618.288000
3957.22    1707.286000
3958.86    1905.429000
3960.49    2054.919000
3962.13    2143.840000
3963.77    2270.460000
3965.40    2013.691000
3967.04    2188.905000
3968.68    2315.194000
3970.31    2198.379000
3971.95    2441.946000
3973.59    2427.987000
3975.22    2287.811000
3976.86    2268.434000
3978.49    2468.975000
3980.13    2728.995000
3981.77    2634.865000
3983.40    2536.895000
3985.04    2575.976000
3986.67    2610.640000
3988.31    2218.353000
3989.95    2226.957000
3991.58    2216.169000
3993.22    2126.524000
3994.86    2009.497000
3996.49    1912.980000
3998.13    1383.898000
3999.76    1333.934000
4001.40    1469.433000
4003.04    1058.856000
4004.67    998.033500
4006.31    1081.118000
4007.95    1090.335000
4009.58    1235.793000
4011.22    1384.006000
4012.85    1818.213000
4014.49    1975.984000
4016.13    2067.471000
4017.76    2239.742000
4019.40    2232.231000
4021.03    2234.193000
4022.67    2280.450000
4024.31    2461.024000
4025.94    2349.863000
4027.58    2393.842000
4029.22    2369.265000
4030.85    2042.118000
4032.49    2034.570000
4034.12    1620.510000
4035.76    1411.453000
4037.40    1410.239000
4039.03    1379.996000
4040.67    1365.510000
4042.30    1245.301000
4043.94    1258.743000
4045.58    1757.880000
4047.21    2189.159000
4048.85    2036.469000
4050.49    2325.379000
4052.12    2686.141000
4053.76    2561.213000
4055.39    2902.330000
4057.03    2830.643000
4058.67    2981.720000
4060.30    2969.400000
4061.94    2790.951000
4063.58    3080.777000
4065.21    2736.250000
4066.85    3125.331000
4068.49    3109.963000
4070.12    3209.336000
4071.76    3166.544000
4073.39    3395.780000
4075.03    3300.713000
4076.67    3303.196000
4078.30    3138.191000
4079.94    3187.363000
4081.57    2933.270000
4083.21    3153.121000
4084.85    3266.089000
4086.48    3538.311000
4088.12    3249.479000
4089.76    3443.821000
4091.39    3322.118000
4093.03    3196.884000
4094.66    3301.675000
4096.30    3603.887000
4097.94    3400.138000
4099.57    3333.028000
4101.21    3313.900000
4102.85    3406.112000
4104.48    3080.805000
4106.12    2982.577000
4107.75    3232.833000
4109.39    3242.404000
4111.03    3166.697000
4112.66    3095.971000
4114.30    3110.527000
4115.94    3080.294000
4117.57    3260.133000
4119.21    3077.220000
4120.84    3193.171000
4122.48    3121.353000
4124.12    3020.303000
4125.75    3303.524000
4127.39    3362.598000
4129.02    3175.614000
4130.66    3419.797000
4132.30    3185.441000
4133.93    3229.393000
