#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             3629.42         3.23775e-16         5.52687e-17   |         8.26006522e+14      1.42264671e-30      2.42847145e-31
             3632.17          3.2906e-16          5.6525e-17   |         8.25381133e+14      1.44806055e-30      2.48743763e-31
             3634.92         2.82669e-16          5.4868e-17   |         8.24756691e+14      1.24579675e-30      2.41817730e-31
             3637.67         2.14751e-16         5.23062e-17   |         8.24133192e+14      9.47896866e-31      2.30876145e-31
             3640.42          3.1199e-16         5.50426e-17   |         8.23510636e+14      1.37918636e-30      2.43321911e-31
             3643.17         3.54269e-16         5.48104e-17   |         8.22889020e+14      1.56845232e-30      2.42661647e-31
             3645.92         3.72158e-16         5.44226e-17   |         8.22268341e+14      1.65014050e-30      2.41308629e-31
             3648.67         3.74266e-16         5.39743e-17   |         8.21648598e+14      1.66199167e-30      2.39682036e-31
             3651.42         4.34944e-16          5.4984e-17   |         8.21029788e+14      1.93435518e-30      2.44533974e-31
             3654.17         4.62781e-16         5.51975e-17   |         8.20411910e+14      2.06125780e-30      2.45853389e-31
             3656.92         3.66639e-16         5.23018e-17   |         8.19794961e+14      1.63549370e-30      2.33306506e-31
             3659.67         4.37583e-16         5.41427e-17   |         8.19178940e+14      1.95489569e-30      2.41881725e-31
             3662.42         4.12634e-16         5.26017e-17   |         8.18563843e+14      1.84620788e-30      2.35350632e-31
             3665.17         3.77499e-16         5.11676e-17   |         8.17949669e+14      1.69154419e-30      2.29278108e-31
             3667.92         3.69862e-16         5.02428e-17   |         8.17336417e+14      1.65981131e-30      2.25472115e-31
             3670.67         3.37823e-16         4.90177e-17   |         8.16724083e+14      1.51830560e-30      2.20304267e-31
             3673.42         3.09628e-16         4.67906e-17   |         8.16112666e+14      1.39367239e-30      2.10610046e-31
             3676.17         5.06738e-16         5.20893e-17   |         8.15502164e+14      2.28430422e-30      2.34811298e-31
             3678.92         4.19372e-16         4.94671e-17   |         8.14892574e+14      1.89329991e-30      2.23324533e-31
             3681.67         3.98553e-16         4.82611e-17   |         8.14283896e+14      1.80200128e-30      2.18205770e-31
             3684.42         4.31245e-16         4.85292e-17   |         8.13676125e+14      1.95272745e-30      2.19745854e-31
             3687.17         3.52507e-16         4.59747e-17   |         8.13069262e+14      1.59857628e-30      2.08489661e-31
             3689.92          4.2535e-16         4.75701e-17   |         8.12463303e+14      1.93178875e-30      2.16046513e-31
             3692.67         4.62736e-16          4.8543e-17   |         8.11858246e+14      2.10471638e-30      2.20793815e-31
             3695.42         3.86242e-16         4.63099e-17   |         8.11254090e+14      1.75940735e-30      2.10950592e-31
             3698.17         4.18371e-16         4.70127e-17   |         8.10650833e+14      1.90859865e-30      2.14470830e-31
             3700.92         4.00736e-16         4.69825e-17   |         8.10048472e+14      1.83086806e-30      2.14651937e-31
             3703.67         3.95835e-16         4.69473e-17   |         8.09447005e+14      1.81116516e-30      2.14809994e-31
             3706.42         4.34288e-16         4.73764e-17   |         8.08846431e+14      1.99006099e-30      2.17095396e-31
             3709.17         4.84534e-16          4.8292e-17   |         8.08246748e+14      2.22360187e-30      2.21619497e-31
             3711.92          4.9019e-16         4.76933e-17   |         8.07647953e+14      2.25289504e-30      2.19196636e-31
             3714.67         4.84409e-16         4.68926e-17   |         8.07050045e+14      2.22962577e-30      2.15836100e-31
             3717.42         4.57396e-16         4.61727e-17   |         8.06453021e+14      2.10840929e-30      2.12837343e-31
             3720.17         5.01376e-16         4.64966e-17   |         8.05856880e+14      2.31455982e-30      2.14647614e-31
             3722.92         4.10259e-16         4.38629e-17   |         8.05261620e+14      1.89672697e-30      2.02788837e-31
             3725.67         4.57335e-16         4.47363e-17   |         8.04667238e+14      2.11749554e-30      2.07132443e-31
             3728.42         5.09943e-16          4.5727e-17   |         8.04073734e+14      2.36456136e-30      2.12032124e-31
             3731.17         4.37075e-16         4.40922e-17   |         8.03481104e+14      2.02966955e-30      2.04753408e-31
             3733.92         4.52073e-16         4.46375e-17   |         8.02889347e+14      2.10241227e-30      2.07591313e-31
             3736.67         4.05097e-16         4.35955e-17   |         8.02298461e+14      1.88672156e-30      2.03044135e-31
             3739.42         4.66094e-16         4.54663e-17   |         8.01708444e+14      2.17400882e-30      2.12069104e-31
             3742.17         4.78599e-16         4.53474e-17   |         8.01119294e+14      2.23562063e-30      2.11825731e-31
             3744.92         5.03015e-16         4.56437e-17   |         8.00531010e+14      2.35312675e-30      2.13523278e-31
             3747.67         5.04606e-16         4.46646e-17   |         7.99943589e+14      2.36403766e-30      2.09249982e-31
             3750.42         4.95859e-16         4.41969e-17   |         7.99357029e+14      2.32646920e-30      2.07362832e-31
             3753.17         4.75838e-16         4.31533e-17   |         7.98771329e+14      2.23580998e-30      2.02763501e-31
             3755.92         4.93683e-16         4.33897e-17   |         7.98186487e+14      2.32305844e-30      2.04173141e-31
             3758.67         4.02807e-16         4.00921e-17   |         7.97602500e+14      1.89821194e-30      1.88932424e-31
             3761.42         5.01584e-16         4.22468e-17   |         7.97019368e+14      2.36715463e-30      1.99377788e-31
             3764.17         4.92883e-16         4.17727e-17   |         7.96437087e+14      2.32949398e-30      1.97428707e-31
             3766.92         5.24371e-16         4.20163e-17   |         7.95855657e+14      2.48193701e-30      1.98870284e-31
