#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [mJy]
 4002.350                   0.299100
 4009.570                   0.298300
 4016.730                   0.197600
 4023.740                  -0.203100
 4030.760                  -0.603800
 4037.660                  -1.204500
 4044.670                  -1.605200
 4051.950                  -1.505900
 4059.220                  -1.406600
 4066.390                  -1.507300
 4073.550                  -1.608100
 4080.770                  -1.608800
 4088.200                  -1.209500
 4095.580                  -0.910300
 4103.110                  -0.311000
 4110.540                   0.088200
 4118.180                   0.887500
 4125.600                   1.286700
 4133.080                   1.786000
 4140.510                   2.185200
 4147.580                   1.884500
 4154.280                   0.883900
 4161.290                   0.483200
 4167.880                  -0.717500
 4174.890                  -1.118200
 4181.850                  -1.618900
 4188.910                  -1.919600
 4196.130                  -1.920300
 4203.510                  -1.621100
 4210.990                  -1.121800
 4218.260                  -1.022500
 4225.640                  -0.723300
 4232.650                  -1.124000
 4239.820                  -1.224700
 4246.880                  -1.525400
 4254.100                  -1.526100
 4261.580                  -1.026900
 4269.060                  -0.527600
 4276.700                   0.271600
 4283.920                   0.270900
 4291.350                   0.670200
 4298.520                   0.569400
 4305.320                  -0.231200
 4312.280                  -0.731900
 4319.130                  -1.432600
 4326.400                  -1.333400
 4333.680                  -1.234100
 4340.950                  -1.134800
 4348.120                  -1.235500
 4355.230                  -1.436200
 4362.450                  -1.436900
 4369.830                  -1.137700
 4377.100                  -1.038400
 4384.790                  -0.139200
 4392.110                   0.060100
 4399.650                   0.659300
 4406.970                   0.858600
 4414.140                   0.757900
 4421.250                   0.557200
 4428.420                   0.456400
 4435.540                   0.255700
 4442.550                  -0.145000
 4449.610                  -0.445700
 4456.620                  -0.846400
 4463.630                  -1.247100
 4470.800                  -1.347800
 4477.860                  -1.648500
 4485.240                  -1.349200
 4492.830                  -0.650000
 4500.150                  -0.450700
 4507.320                  -0.551400
 4514.380                  -0.852200
 4521.500                  -1.052900
 4528.610                  -1.253600
 4535.830                  -1.254300
 4543.000                  -1.355000
 4550.380                  -1.055700
 4557.700                  -0.856500
 4565.080                  -0.557200
 4572.300                  -0.557900
 4579.360                  -0.858600
 4586.480                  -1.059400
 4593.590                  -1.260100
 4600.810                  -1.260800
 4608.190                  -0.961500
 4615.510                  -0.762300
 4622.840                  -0.563000
 4630.000                  -0.663700
 4637.120                  -0.864400
 4644.290                  -0.965100
 4651.510                  -0.965900
 4658.780                  -0.866600
 4666.310                  -0.267300
 4673.630                  -0.068100
 4681.170                   0.531200
 4688.390                   0.530500
 4695.550                   0.429700
 4702.620                   0.129000
 4709.680                  -0.171700
 4716.800                  -0.372400
 4723.910                  -0.573100
 4731.030                  -0.773800
 4738.250                  -0.774500
 4745.470                  -0.775300
 4752.690                  -0.776000
 4759.910                  -0.776700
 4767.130                  -0.777400
 4774.400                  -0.678200
 4781.670                  -0.578900
 4788.940                  -0.479600
 4796.160                  -0.480300
 4803.440                  -0.381100
 4810.660                  -0.381800
 4817.870                  -0.382500
 4825.150                  -0.283200
 4832.370                  -0.283900
