#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4657.89     8.320028     0.939773
4658.51     5.738250     2.324172
4659.12     1.139076     4.896504
4659.74     7.353470     1.313739
4660.35     8.909596     1.422545
4660.97    10.670621     2.121623
4661.58    11.427034     2.236563
4662.19     6.391397     3.007853
4662.81     2.824224     2.175966
4663.42     7.252579     1.236681
4664.04     8.793598     0.821265
4664.65     6.528014     1.287064
4665.27     7.114604     2.009326
4665.88     8.721107     1.884760
4666.49    10.013988     3.117681
4667.11     9.097839     1.323791
4667.72     5.736098     0.669618
4668.34     4.128815     4.106253
4668.95     8.344967     2.484511
4669.57     9.741286     0.694967
4670.18     7.539719     2.533700
4670.80     7.768090     3.861956
4671.41     9.933663     1.884495
4672.02     7.087815     1.840973
4672.64     9.790848     2.842134
4673.25    10.205583     2.661853
4673.87     7.421460     1.782585
4674.48     9.431164     2.099237
4675.10    14.608547     3.061723
4675.71    13.392216     1.501221
4676.33     6.664345     1.382275
4676.94     4.487486     1.833599
4677.55     8.243828     1.009057
4678.17     8.741609     1.933149
4678.78    13.155947     1.475515
4679.40    16.407040     0.290977
4680.01    12.582725     0.121366
4680.63     6.492492     1.200261
4681.24     6.818021     2.028837
4681.86     9.003149     1.053939
4682.47    12.321619     2.057713
4683.08    11.847328     3.004551
4683.70     7.250767     1.756989
4684.31     5.949690     1.903711
4684.93     9.262212     4.752173
4685.54    16.015873     3.139001
4686.16    17.147186    -0.324578
4686.77    11.681042     0.875714
4687.39     7.979537     3.995340
4688.00     6.388203     0.483332
4688.61     4.854332     1.607904
4689.23    10.051001     3.163467
4689.84    13.336362     1.499968
4690.46     6.646182     1.045154
4691.07     5.814287     1.999741
4691.69     6.386149     1.092103
4692.30     4.831888     2.075814
4692.91     6.651916     2.634380
4693.53    11.241184     0.924531
4694.14     8.454445     1.905333
4694.76     3.612079     2.189521
4695.37     4.155993     1.404205
4695.99     7.125047     0.870662
4696.60     9.802247     1.087558
4697.22    12.995528     1.993701
4697.83    11.112372     3.759367
4698.44     5.754972     3.748752
4699.06     3.625873     1.860596
4699.67     3.814685     1.136916
4700.29     5.512856     1.989816
4700.90    13.417589     1.043959
4701.52    12.395175     1.742517
4702.13    10.246846     1.630646
4702.75     9.119605     0.809568
4703.36     5.215039     1.100762
4703.97     2.956365     1.952719
4704.59     7.280816     3.003033
4705.20    13.315603     1.995787
4705.82    15.246296     0.164525
4706.43    13.339210     0.402631
4707.05    10.809639     2.039448
4707.66     8.238616     1.215620
4708.28     7.773337     0.156435
4708.89     8.183330     0.137804
4709.50     4.998374     2.063365
4710.12     0.700552     4.137513
4710.73     3.757316     3.073433
4711.35    10.287111     1.270175
4711.96     9.375915     0.894972
4712.58     8.380574     0.969348
4713.19    10.207781     1.169393
4713.81     7.587506     2.072290
4714.42     3.821758     2.159968
4715.03     9.310137     0.330116
4715.65     9.998292     0.742071
4716.26     5.155010     2.732123
4716.88     5.940376     2.780913
4717.49    10.001481     1.002448
4718.11     5.849711     0.044285
4718.72    12.531761     0.344421
4719.33    12.251463     2.284334
4719.95     8.601680     2.524534
4720.56    13.009376     1.039295
4721.18     7.480105     2.902663
4721.79     5.004718     2.477408
4722.41    10.584217     1.088802
4723.02     9.569738     1.498804
4723.64     8.837869     1.728935
4724.25    18.177465    -0.084043
4724.86    12.179632    -0.118818
4725.48     7.762693     0.792682
4726.09     9.787529     1.015986
4726.71    10.680202     1.199246
4727.32     8.752937     2.287894
4727.94    10.022771     2.997030
4728.55    13.054120     2.015378
4729.17    10.017071     2.934080
4729.78    10.359249     1.631267
4730.39    11.321130    -0.165793
4731.01     7.659057     1.275069
4731.62     7.970111     2.021062
4732.24     8.000253     1.021777
4732.85     8.479824     2.167068
4733.47     9.614516     3.293175
4734.08     9.900533     2.799950
4734.70     8.851177     1.829792
4735.31     8.009269     0.931049
4735.92     8.194142     3.224113
4736.54     6.462942     4.923928
4737.15     3.860265     4.816393
4737.77     4.951940     3.437845
4738.38     8.019640     1.981269
4739.00     5.343409     2.887675
4739.61     4.488230     3.109734
4740.23     6.685669     2.869924
4740.84     8.749569     3.343074
4741.45    10.722909     4.159534
4742.07    14.175786     3.944158
4742.68    15.351208     2.283572
4743.30    11.064825     0.905300
4743.91    10.621844     2.145020
4744.53     9.425423     2.879173
4745.14     5.737618     1.878139
4745.75     7.015836     2.001309
4746.37     6.706094     1.931684
4746.98    10.666925     2.775792
4747.60    11.942248     2.725245
4748.21    10.811657     1.408075
4748.83     9.209831     1.197641
4749.44     7.054112     3.032400
4750.06    13.399296     4.002888
4750.67    11.189822     3.418367
4751.28     7.625380     2.407983
4751.90    11.277095     1.798976
4752.51    15.103221     0.578587
4753.13     9.911796     0.027551
4753.74     1.591086     4.598783
4754.36     4.059257     3.116362
4754.97    10.847867     2.212451
4755.59    13.354068     2.807190
4756.20    11.360765     2.083231
4756.81     8.997090     2.997668
4757.43    10.583567     1.313855
4758.04    11.624355     0.757292
4758.66     8.718835     1.459825
4759.27     4.497572     2.434639
4759.89     4.627368     3.000408
4760.50     9.034952     1.979109
4761.12     9.327139     0.157066
4761.73     7.728896     0.463067
4762.34    10.293847     1.735556
4762.96    14.161350     1.812071
4763.57    11.697877     0.768597
4764.19     5.975061    -0.010906
4764.80     8.735455    -0.103051
4765.42     6.482515     1.117117
4766.03     4.524625     3.682082
4766.65     7.947301     2.748731
4767.26    14.859229    -0.225247
4767.87    17.804426     1.043778
4768.49     7.103807     1.122353
4769.10     7.869740     0.593721
4769.72    11.868406     2.861369
4770.33    11.701428     3.598218
4770.95     8.953925     1.787630
4771.56     6.028227     1.994657
4772.18     9.534773     1.148597
4772.79    10.487069     0.659037
4773.40     8.807018     2.410820
4774.02     7.582574     2.344375
4774.63     6.658616     1.027418
4775.25     7.280668     1.998078
4775.86    11.826602     1.028572
4776.48     9.779001     1.853524
4777.09     9.516231     1.283681
4777.70     9.060257     1.760701
4778.32     6.587062     2.965992
4778.93     7.124218     1.977365
4779.55     8.786966     2.905702
4780.16    11.506064     3.250457
4780.78    11.916914     1.768629
4781.39     9.530240     0.659966
4782.01     7.722197     1.434055
4782.62     6.651053     3.271924
4783.23     4.884604     4.066224
4783.85     9.597435     1.998662
4784.46     6.726292     4.255166
4785.08     6.215015     3.408840
4785.69     9.533864     0.771416
4786.31     9.005758     2.146229
4786.92     9.987358     2.000071
4787.54    10.051340     2.169666
4788.15     9.679116     0.760475
4788.76     7.127522     3.509906
4789.38     6.610390     6.216769
4789.99    11.083282     3.165148
4790.61    12.930905     1.015561
4791.22     7.480952     3.647045
4791.84     8.852033     3.705263
4792.45    10.287333     1.744235
4793.07    13.299452     0.780520
4793.68    15.222138     1.173696
4794.29     7.509969     2.066694
4794.91     3.249059     2.932733
4795.52     2.882033     3.102229
4796.14     8.478264     2.553993
4796.75    11.005923     1.328674
4797.37    10.449829     1.353805
4797.98    11.785558     3.132844
4798.60     6.433194     3.066628
4799.21     3.512667     2.123644
4799.82     7.531335     2.093249
4800.44     8.233274     1.395668
4801.05    10.082547     1.396420
4801.67    14.749654     3.194282
4802.28     9.053980     3.029050
4802.90    12.883698     1.985035
4803.51    14.892835     2.902556
4804.12    12.157210     1.894558
4804.74    11.191772     1.459818
4805.35    11.843671     3.052038
4805.97     8.901254     1.983728
4806.58     6.640553     2.057902
4807.20    11.732068     1.081573
4807.81    11.450878     2.022290
4808.43     8.203847     3.174212
4809.04     9.550436     3.114782
4809.65     9.808261     4.062095
4810.27     6.923793     4.093081
4810.88    10.626726     3.031751
4811.50     7.867081     3.818193
4812.11    10.807263     2.970441
4812.73    17.631605     0.434845
4813.34    11.945692     1.386314
4813.96     6.106737     4.876332
4814.57     7.404142     5.273666
4815.18     7.931125     4.143826
4815.80     1.784420     4.319544
4816.41     5.058408     2.876677
4817.03    13.779820     1.258904
4817.64     5.990245     4.001677
4818.26    12.021973     1.450740
4818.87    11.743688     0.906051
4819.49    12.863346     0.448528
4820.10    12.140914     3.109680
4820.71     9.726708     5.570808
4821.33    16.238865     0.800166
4821.94    15.289805     0.862210
4822.56    14.964993     1.152840
4823.17    19.634401     0.731189
4823.79    19.483301     1.872344
4824.40    13.114814     3.089569
4825.02     8.490790     3.115459
4825.63     5.993875     4.057078
4826.24     9.199858     1.500665
4826.86    17.216137     1.337674
4827.47    17.078484     2.373378
4828.09     9.230997     1.416093
4828.70    12.324986    -0.206441
4829.32    24.002121     0.995670
4829.93     9.414085     5.691423
4830.54     7.121201     3.939429
4831.16     9.303251     3.751713
4831.77    10.216111     4.991304
4832.39    13.280595     3.830181
4833.00    11.892652     2.849792
4833.62    11.000582     0.060576
4834.23    10.394295     2.138272
4834.85     3.832996     3.366812
4835.46     7.793113     2.722026
4836.07    15.043872     1.331761
4836.69     9.731694     0.090232
4837.30    13.610662     1.960031
4837.92    16.988932     1.065515
4838.53     8.985189     2.366173
4839.15    10.800364     2.504294
4839.76    13.219161     2.654537
4840.38     5.672695     5.312004
4840.99    12.002648     4.999543
4841.60    16.965311     3.301334
4842.22    14.352678     2.123161
4842.83    12.125582     2.253303
4843.45     8.869831     3.875779
4844.06     8.125569     5.018392
4844.68    15.232924     3.919101
4845.29    12.774318     3.053925
4845.91     6.847882     2.922021
