#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4609.56    31.342373    29.347982
4610.76    18.445877    35.211777
4611.96    22.891966    32.157814
4613.16    19.197428    37.530087
4614.36    34.062557    35.776112
4615.56    35.914364    29.697571
4616.76    27.391695    30.431139
4617.96    31.000109    34.984318
4619.16    25.492060    28.541323
4620.36    23.521759    33.823925
4621.56    23.187243    42.685734
4622.75    19.357113    42.718365
4623.95    17.850689    39.527515
4625.15    18.252588    34.968578
4626.35    -0.352859    42.758511
4627.55     2.301312    44.310699
4628.75    33.990711    32.734528
4629.95    22.350143    38.836529
4631.15    14.410379    39.048000
4632.35    18.239946    36.143070
4633.55    12.394402    41.309223
4634.75     5.017157    45.992477
4635.95    31.925579    33.336559
4637.15    33.969593    32.741821
4638.35    28.471210    33.428814
4639.55    34.268806    33.904911
4640.75    31.045141    47.650261
4641.95    34.660740    42.143951
4643.15    36.307899    31.039845
4644.35    36.635548    27.719069
4645.55    34.935036    32.023327
4646.75    26.341955    36.996712
4647.95    28.171894    33.849613
4649.15    22.844128    39.097591
4650.35    27.958473    39.144848
4651.55    39.077194    29.796034
4652.75    18.406008    35.588459
4653.95    24.361483    33.280079
4655.15    28.525244    37.759502
4656.35    23.023256    40.699120
4657.54    27.992807    31.169069
4658.74    33.731937    29.597965
4659.94    20.932281    33.336418
4661.14    23.309059    33.059410
4662.34    26.400419    37.200207
4663.54    13.448730    43.722202
4664.74    18.288933    35.310982
4665.94    18.822594    42.003067
4667.14    22.827124    43.265572
4668.34    29.782764    33.660133
4669.54    29.689552    32.829075
4670.74    28.462820    41.134460
4671.94    33.987839    31.689577
4673.14    15.227998    37.228672
4674.34    17.477468    41.727383
4675.54    51.174961    27.741869
4676.74    39.260582    29.273121
4677.94    21.647377    36.499550
4679.14    19.043867    37.894569
4680.34    18.534563    32.064114
4681.54    10.525940    34.147339
4682.74     8.474856    47.950748
4683.94    25.800934    36.379623
4685.14    47.085316    40.159634
4686.34    47.092461    41.679153
4687.54    32.731575    29.873373
4688.74    28.084229    36.767136
4689.94    24.544077    47.570164
4691.14    37.845322    41.164482
4692.33    46.024605    28.331169
4693.53    33.268036    31.151983
4694.73    19.852871    45.251106
4695.93    25.343523    42.879589
4697.13    29.359383    41.804035
4698.33    20.634804    40.745922
4699.53    19.884048    41.170029
4700.73    33.833122    47.587479
4701.93    32.680317    47.303432
4703.13    30.120598    33.162964
4704.33    39.630192    37.162846
4705.53    46.793835    40.825611
4706.73    40.619099    30.252892
4707.93    34.207253    35.537518
4709.13    33.017502    39.971233
4710.33    32.952110    32.623909
4711.53    39.575363    32.722553
4712.73    44.549416    39.301987
4713.93    38.975323    33.859795
4715.13    43.350887    31.004629
4716.33    41.330666    31.812254
4717.53    33.797836    31.450800
4718.73    30.863493    33.733505
4719.93    25.398270    41.913383
4721.13    13.095498    44.735054
4722.33    38.041664    32.950775
4723.53    40.672806    31.463539
4724.73    28.544943    35.701374
4725.93    31.438330    36.873390
4727.12    33.851612    39.137375
4728.32    42.303520    27.073601
4729.52    31.147314    33.550659
4730.72    21.940933    38.996159
4731.92    22.193180    32.443748
4733.12    11.819864    38.293804
4734.32     4.778360    53.522682
4735.52    35.093193    32.708981
4736.72    37.222088    26.110521
4737.92    32.957909    37.061047
4739.12    54.965046    36.433250
4740.32    54.514359    34.901024
4741.52    36.820412    40.620872
4742.72    30.805815    42.206760
4743.92    48.689415    33.268860
4745.12    48.817432    30.728212
4746.32    23.877752    39.008312
4747.52    41.961033    32.272385
4748.72    27.748943    39.642181
4749.92    28.339943    47.321621
4751.12    37.873043    48.451717
4752.32    34.013332    44.139305
4753.52    44.946602    33.141476
4754.72    33.698830    37.510452
4755.92    25.890747    38.731644
4757.12    26.681351    35.681236
4758.32    39.013260    32.933239
4759.52    55.087280    32.350311
4760.71    39.871368    40.875862
4761.91    25.350080    44.711319
4763.11    22.351883    41.227470
4764.31    33.712837    41.340466
4765.51    45.561295    43.544609
4766.71    39.164295    38.068321
4767.91    37.179161    39.397797
4769.11    41.892998    40.636822
4770.31    41.488930    45.613354
4771.51    41.261433    44.127670
4772.71    44.709217    32.514992
4773.91    37.353359    36.246967
4775.11    39.353069    40.856174
4776.31    27.139763    49.012775
4777.51    22.474764    47.522026
4778.71    39.339054    33.127071
4779.91    49.997780    27.999340
4781.11    54.143379    38.371983
4782.31    29.116552    54.051189
4783.51    37.115158    50.000637
4784.71    56.325817    33.104549
4785.91    39.555363    32.216106
4787.11    34.189117    46.306492
4788.31    14.914000    43.893509
4789.51    20.285242    42.064899
4790.71    32.875931    45.111107
4791.91    28.772627    42.653736
4793.11    27.043331    40.146938
4794.31    31.709387    50.213165
4795.50    37.311684    44.931881
4796.70    32.806004    35.789982
4797.90    34.587578    35.875988
4799.10    46.777809    39.394100
4800.30    44.985481    39.211380
4801.50    47.666443    35.357910
4802.70    34.179592    36.919811
4803.90    40.005096    36.750790
4805.10    52.537922    31.904627
4806.30    29.993313    32.233662
4807.50    26.282022    38.364513
4808.70    40.808037    38.665859
4809.90    43.680168    38.547264
4811.10    19.800858    45.912178
4812.30     8.811786    51.887310
4813.50    43.858009    47.948719
4814.70    45.510929    53.803356
4815.90    29.178417    46.548923
4817.10    35.695709    39.595661
4818.30    40.989403    42.932953
4819.50    28.472290    42.787090
4820.70    48.239922    41.231129
4821.90    30.397068    51.125587
4823.10    13.741108    47.912651
4824.30    37.338753    33.804760
4825.50    66.402710    29.060318
4826.70    50.042343    37.547455
4827.90    14.386368    54.135101
4829.10    29.992477    51.574352
4830.29    50.983002    42.096237
4831.49    46.365639    43.659275
4832.69    42.669037    46.651543
4833.89    38.488461    37.730408
4835.09    34.685318    40.150364
4836.29    25.318516    51.170666
4837.49    31.998386    49.290375
4838.69    47.740963    37.697559
4839.89    35.405991    43.618866
4841.09    26.828800    59.859604
4842.29    52.210167    45.398605
4843.49    54.430695    31.376623
4844.69    31.046984    39.246849
4845.89    26.763613    47.336281
4847.09    26.663439    45.784843
4848.29    41.618221    40.860920
4849.49    32.404842    49.670242
4850.69    27.797457    50.617199
4851.89    47.544331    36.089989
4853.09    49.080246    34.905567
4854.29    47.419010    37.711643
4855.49    45.490562    37.350536
4856.69    44.949715    37.831280
4857.89    34.734291    42.783421
4859.09    28.260357    41.121880
4860.29    58.066460    24.656645
4861.49    35.075462    34.042458
4862.69    30.174694    34.390011
4863.89    52.431911    30.243139
4865.08    51.460953    38.686340
4866.28    41.206306    35.370834
4867.48    46.729652    30.546589
4868.68    56.274101    31.039299
4869.88    53.486050    38.253826
4871.08    38.845623    44.877880
4872.28    31.144922    43.924526
4873.48    41.693928    42.689617
4874.68    32.745270    45.451389
4875.88    40.603157    40.525932
4877.08    44.146000    36.437302
4878.28    24.695589    45.237881
4879.48    41.211979    51.218765
4880.68    45.824242    43.596920
4881.88    40.948803    40.542515
4883.08    43.104053    45.071915
4884.28    35.533039    48.441105
4885.48    13.038603    48.078861
4886.68    35.302109    42.932201
4887.88    54.136963    35.698227
4889.08    46.224644    38.548985
4890.28    30.523886    51.939171
4891.48    35.074863    60.019772
4892.68    60.226532    52.969032
4893.88    43.310493    43.450726
4895.08    42.452824    39.588722
4896.28    53.532234    40.680397
4897.48    46.539482    43.348133
4898.68    56.628567    47.317249
4899.87    33.968918    53.228260
4901.07    29.813051    47.576221
4902.27    45.288200    48.511677
4903.47    47.428440    56.931465
4904.67    36.838776    50.073185
4905.87    23.425341    54.486710
4907.07    53.952507    44.579411
4908.27    49.807743    50.292263
4909.47    21.067860    64.884880
4910.67    54.382744    50.894073
4911.87    66.771065    52.704494
4913.07    45.790588    53.977196
4914.27    46.695385    42.475719
4915.47    56.853436    43.002113
4916.67    43.755924    54.494926
4917.87    49.262970    35.229496
4919.07    37.858994    55.800751
4920.27    46.281837    53.406357
4921.47    52.068306    42.680782
4922.67    29.631176    62.986866
4923.87    34.445293    56.028160
4925.07    45.903393    55.265087
4926.27    61.352329    53.985737
4927.47    62.708679    50.229546
4928.67    41.510075    51.245953
4929.87    27.052153    54.439960
4931.07    38.440056    61.484814
4932.27    55.872719    57.761810
4933.47    56.210419    54.278828
4934.66    47.311077    56.848892
4935.86    44.658325    53.097683
4937.06    28.454708    55.018612
4938.26    43.437290    57.086285
4939.46    60.004520    59.399155
4940.66    60.626320    55.730774
4941.86    70.998283    45.009865
4943.06    62.280506    55.125652
4944.26    72.764992    57.748966
4945.46    68.670319    48.011620
4946.66    39.539684    49.988651
4947.86    37.749054    64.961739
4949.06    63.300201    54.263088
4950.26    54.592316    49.547882
4951.46    42.474201    53.743137
4952.66    59.564926    46.226322
4953.86    71.022522    35.980980
4955.06    48.671379    58.120770
4956.26    57.097179    58.047554
4957.46    64.701286    54.199875
4958.66    49.834164    56.719444
4959.86    43.995705    49.002247
4961.06    44.651016    58.346649
4962.26    59.843403    50.035614
4963.46    71.756111    44.709160
4964.66    69.863472    48.378914
4965.86    60.034969    43.990978
4967.06    42.645859    54.889965
4968.26    41.440231    49.650261
4969.45    55.733345    52.652832
4970.65    53.732586    64.519691
4971.85    34.967155    58.035641
4973.05    59.712845    62.615696
4974.25    71.898842    63.900166
4975.45    51.708427    66.687569
4976.65    37.074535    70.879318
4977.85    48.789680    67.955261
4979.05    43.473351    74.774796
4980.25    35.225906    77.991188
4981.45    51.239014    62.027706
4982.65    64.622543    49.599525
4983.85    41.913769    67.026337
4985.05    42.909618    72.030251
4986.25    49.198730    57.778282
4987.45    53.610027    48.924133
4988.65    59.522854    55.180794
4989.85    60.724087    59.825722
4991.05    63.521854    59.634144
4992.25    48.503654    58.469429
4993.45    37.641392    64.727585
4994.65    54.996681    65.308701
4995.85    72.350578    47.149212
4997.05    56.236389    64.865433
4998.25    64.277527    72.218796
4999.45    72.170578    57.368275
5000.65    48.152630    49.695667
5001.85    54.288635    48.651730
5003.05    55.737606    51.552750
5004.24    53.790134    54.250347
5005.44    49.333897    58.932079
5006.64    42.053917    61.910957
5007.84    52.013668    52.072540
5009.04    40.217754    62.199467
5010.24    44.092155    62.349533
5011.44    56.454079    54.047558
5012.64    42.500923    64.255676
5013.84    74.999573    45.500851
5015.04    71.547043    56.155834
5016.24    53.673557    65.648933
5017.44    58.802776    46.091953
5018.64    55.508209    45.393494
5019.84    80.433716    48.183887
5021.04    79.837860    42.769886
5022.24    59.857582    47.964367
5023.44    53.231956    65.442940
5024.64    35.974606    61.720695
5025.84    37.753395    64.468056
5027.04    46.107712    63.091419
5028.24    48.792068    60.017559
5029.44    55.678867    63.317020
5030.64    64.424774    44.672375
5031.84    51.057346    61.466415
5033.04    60.452915    69.695305
5034.24    83.321289    44.755280
5035.44    56.065487    48.202579
5036.64    61.812939    62.139526
5037.84    55.500950    67.475243
5039.03    41.916500    61.104992
5040.23    53.205353    55.035744
5041.43    52.159546    60.054695
5042.63    71.005203    52.510170
5043.83    81.258293    46.062004
5045.03    71.707558    54.396660
5046.23    69.383301    66.309731
5047.43    60.586586    70.293961
5048.63    57.771187    64.423218
5049.83    63.114223    68.200493
5051.03    64.722023    77.699257
5052.23    59.176723    63.574566
5053.43    64.603554    66.953842
5054.63    74.584496    62.931908
5055.83    76.397018    48.362480
5057.03    70.300377    51.708790
5058.23    65.481308    55.972378
5059.43    55.329079    64.296013
5060.63    45.276169    71.838287
5061.83    52.946346    68.066093
5063.03    74.178070    56.813423
5064.23    53.603004    60.096809
5065.43    52.801121    62.357979
5066.63    71.337044    60.528191
5067.83    51.260052    68.472351
5069.03    39.874809    73.929939
5070.23    53.011612    61.980473
5071.43    59.843773    54.259777
5072.62    55.685787    61.170517
5073.82    73.068329    57.484112
5075.02    60.440521    60.320732
5076.22    51.025581    66.472374
5077.42    58.194668    66.401360
5078.62    52.294697    60.617943
5079.82    53.252632    57.212841
5081.02    44.634727    74.395798
5082.22    49.495735    77.120720
5083.42    75.346497    58.054501
5084.62    67.823387    78.359940
5085.82    58.708466    68.035011
5087.02    54.938293    59.016239
5088.22    47.878292    76.737633
5089.42    47.640594    75.479973
5090.62    73.985901    63.758121
5091.82    88.477440    52.278908
5093.02    79.080254    56.796577
5094.22    72.014885    76.466568
5095.42    73.770340    77.396202
5096.62    56.912586    76.478088
5097.82    49.320854    80.154655
5099.02    63.123203    79.788147
5100.22    52.707611    74.091835
5101.42    57.172760    72.222725
5102.62    71.413025    73.672714
5103.82    70.471458    73.857834
5105.02    54.922005    73.569984
5106.22    50.917473    77.801567
5107.41    70.160553    70.502541
5108.61    80.429054    56.641785
5109.81    70.284241    52.249409
5111.01    100.377357    49.711300
5112.21    91.034332    66.456520
5113.41    69.082848    75.505424
5114.61    86.252197    59.790833
5115.81    83.019760    61.050335
5117.01    68.443497    65.725403
5118.21    55.165459    65.511208
5119.41    62.750767    62.630749
5120.61    96.801971    58.686417
5121.81    80.301582    56.830761
5123.01    56.712708    60.699379
5124.21    62.453930    65.217804
5125.41    66.436798    63.261650
5126.61    57.815189    64.684067
5127.81    46.418011    77.383636
5129.01    50.187630    82.473503
5130.21    66.507118    68.552040
5131.41    61.704388    71.241844
5132.61    60.297409    70.622398
5133.81    58.148705    67.519455
5135.01    56.593632    70.085007
5136.21    94.825394    57.883434
5137.41    86.686729    52.171078
5138.61    68.053040    59.302490
5139.81    77.671211    71.481903
5141.01    51.434570    81.526451
5142.20    62.366837    71.063698
5143.40    81.545525    59.965397
5144.60    67.562225    64.547844
5145.80    56.782024    68.975632
5147.00    65.133102    65.850327
5148.20    74.157654    59.142647
5149.40    67.393761    58.646214
5150.60    54.739666    67.608223
5151.80    60.198956    70.284760
5153.00    71.663666    67.553413
