#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4579.10     8.225163    -0.398416
4579.71    13.034883     0.029348
4580.31     9.416035     0.892736
4580.92     3.890549     1.068516
4581.53     4.045666     0.949460
4582.14     7.954714     1.063660
4582.74     8.966594     0.980529
4583.35     6.509228     0.068031
4583.96     5.441048     0.530187
4584.56     7.189187     1.249287
4585.17     7.583479     0.726224
4585.78     4.936978     0.003682
4586.39     5.462677     0.835461
4586.99     8.390005     1.095738
4587.60     8.169744     0.971284
4588.21     5.249680     0.994682
4588.81     5.111768     1.007325
4589.42     8.462925     1.072639
4590.03     9.881101     0.323139
4590.64    10.309997    -0.098640
4591.24     9.235886     0.012276
4591.85     5.754699     0.008790
4592.46     4.007282     0.712642
4593.06     5.079750     2.780519
4593.67     7.425306     1.792789
4594.28     9.787432    -0.428308
4594.89     9.712921     0.122339
4595.49     6.866327     0.990340
4596.10    11.145227     0.357310
4596.71     9.145642    -0.257545
4597.31     3.809714     0.406383
4597.92     4.090839     0.935912
4598.53     4.041429     0.012562
4599.14     3.774423     0.804122
4599.74     5.122177     0.694579
4600.35     6.112769     2.244210
4600.96     4.532721     3.710704
4601.56     2.959346     0.101210
4602.17     5.548041     0.578074
4602.78     4.822943     1.161922
4603.38     1.670800     1.057192
4603.99     3.052302     0.778921
4604.60     9.023051     0.002127
4605.21    10.366999     1.602829
4605.81     8.011231     2.439721
4606.42     6.665383     0.971813
4607.03     7.156631     0.100745
4607.63     6.935032     0.997099
4608.24     5.294485     0.702119
4608.85     4.052659     4.167400
4609.46     4.328944     3.712782
4610.06     3.053354     2.276295
4610.67     2.418030     3.955438
4611.28     7.750952     1.273498
4611.88     6.769336     0.069341
4612.49    10.982072    -0.208602
4613.10    10.699531     0.655116
4613.71     3.359563     2.140069
4614.31     5.875290     2.003928
4614.92     7.989190     2.091025
4615.53     7.285706     1.284242
4616.13     7.420582     1.299446
4616.74     7.788269     2.084488
4617.35     5.927319     2.009549
4617.96     5.681837     2.177421
4618.56     8.274495     0.388629
4619.17     8.634377     0.824640
4619.78     8.288826     2.020859
4620.38     8.820678     0.887752
4620.99     5.365462     0.926515
4621.60     3.102793     1.805153
4622.21     3.529254     2.026719
4622.81     3.985251     2.130140
4623.42     4.244064     1.723795
4624.03     6.952431     0.013432
4624.63    10.021436    -0.080527
4625.24     7.454113     0.034267
4625.85     6.189260     0.015759
4626.46     8.704265    -0.064543
4627.06     8.854221     0.058660
4627.67     6.214952     0.971932
4628.28     6.496885     0.331779
4628.88     7.435137    -0.105350
4629.49     8.771398    -0.016104
4630.10     8.398688     0.077878
4630.71     3.171700     0.952504
4631.31     2.449882     1.863784
4631.92     4.706034     2.058000
4632.53     4.074393     1.992409
4633.13     5.391756     1.977170
4633.74     9.944477     2.018084
4634.35     4.516115     2.139591
4634.95     6.063375     0.535624
4635.56     5.507038     0.069089
4636.17     4.978973     1.817914
4636.78     9.427648     2.990891
4637.38     8.195055     2.033600
4637.99     5.004292     2.066579
4638.60     7.544100     1.241209
4639.20     8.411313     1.508808
4639.81     7.351248     1.610637
4640.42    10.059385     0.016856
4641.03     9.090370     1.860083
4641.63     9.870847     0.775118
4642.24     8.841334    -0.362971
4642.85     8.628590     0.351288
4643.45    11.259965     1.089392
4644.06    11.028256     1.030230
4644.67    10.891303     0.124635
4645.28    11.304914     0.348789
4645.88     9.890162     1.804547
4646.49     7.414844     1.466806
4647.10     5.857658     0.075369
4647.70     4.780293     2.791414
4648.31     8.160965     1.855644
4648.92     7.992298     0.209609
4649.53     5.052950    -0.094917
4650.13     5.335581     0.133307
4650.74     6.998265     0.990944
4651.35     5.441364     1.068718
4651.95     4.818194     0.840265
4652.56     8.684359     1.549339
4653.17    10.696507     1.844405
4653.78     7.841136     0.954610
4654.38     8.828512     1.024906
4654.99     9.851275     0.255218
4655.60    10.197592    -0.125850
4656.20     9.422657     0.158709
4656.81     7.519122     1.549697
4657.42     7.046991     2.974807
4658.03     9.714997     0.370509
4658.63     9.431831     0.296452
4659.24     9.146957     1.843763
4659.85     8.077360     1.616679
4660.45     4.467775     1.154807
4661.06     2.986988     2.954321
4661.67     4.448597     2.379367
4662.28     6.275122     1.240678
4662.88     7.809855     0.937392
4663.49     9.553232     1.019717
4664.10     9.848722     0.993498
4664.70     7.900937     0.980813
4665.31    11.209541     1.129994
4665.92    10.376020     0.339368
4666.53     4.082239     0.245850
4667.13     2.739651     1.092693
4667.74     8.046457     1.000384
4668.35     7.078825     1.090016
4668.95     9.121781     0.180180
4669.56     9.140372     0.483357
4670.17     6.009175     0.842546
4670.77     6.450371    -0.075694
4671.38     9.916168     0.002516
4671.99     8.389763    -0.157915
4672.60     2.342233     1.218751
4673.20     2.544231     2.304345
4673.81     4.621789     1.727604
4674.42     3.330375     0.956608
4675.02     9.686029     0.968878
4675.63     7.612625     1.131161
4676.24     9.555485     0.356872
4676.85    12.008175     0.153738
4677.45     9.578590     1.321147
4678.06     8.962723     1.993900
4678.67     7.283876     1.160776
4679.27     6.197612     0.747630
4679.88     5.788907     1.775615
4680.49     6.560391     1.399040
4681.10     9.854985    -0.016040
4681.70    13.008205     0.991096
4682.31     9.691872     0.274332
4682.92     9.163382    -0.370602
4683.52    10.607731     1.086583
4684.13     8.954679     1.829868
4684.74     5.736207     1.061072
4685.35     6.708203     2.043138
4685.95    11.350363     0.140489
4686.56    10.687106     1.819923
4687.17     8.131477     2.597186
4687.77     8.067306     0.698363
4688.38     9.175552     1.046105
4688.99    11.054946     1.086480
4689.60     8.297731     0.137344
4690.20     5.639384     0.449477
4690.81     7.272612     1.180751
4691.42     8.850264     0.882051
4692.02     6.987954     1.036921
4692.63     8.640799     2.806145
4693.24     9.431908     2.632050
4693.85     7.940503     0.873167
4694.45     9.332598    -0.267964
4695.06    11.962677     0.202089
4695.67     9.047513     1.004473
4696.27     9.155689     0.061094
4696.88    13.741533     1.035648
4697.49    10.656363     2.979308
4698.10     9.814638     2.281427
4698.70    15.967011    -0.221702
4699.31     9.356819    -0.075599
4699.92     8.575856     0.997110
4700.52     8.823548     0.205439
4701.13     7.053335     0.787256
4701.74     7.792183     2.010848
4702.35     9.941792     0.924203
4702.95     7.929591     0.959581
4703.56    11.784090     1.112911
4704.17    12.770615     0.460272
4704.77     9.235291    -0.236476
4705.38     6.506464     0.315927
4705.99     6.018277     2.097739
4706.59     6.839684     3.085503
4707.20     7.418879     1.538633
4707.81     5.380440     0.914826
4708.42     6.476899     0.680978
4709.02    10.392158     0.005057
4709.63    11.029134     1.014826
4710.24    14.874715     1.989232
4710.84    11.405608     1.363110
4711.45     7.166598     0.857008
4712.06     7.365642     1.095269
4712.67     7.929109     0.890930
4713.27     6.082647     0.022398
4713.88     4.470479    -0.163145
4714.49     9.261364     0.843352
4715.09    10.100303     0.441249
4715.70     8.031359     0.418726
4716.31    10.189846     2.080191
4716.92    10.037395     1.110904
4717.52     9.940405     0.014715
4718.13     9.879733     0.598809
4718.74     7.113072     1.016133
4719.34     4.952583     1.226227
4719.95     5.985705     2.006122
4720.56     5.702003     1.138986
4721.17    11.241426     0.141895
4721.77    14.083727     0.003608
4722.38    11.294692    -0.168244
4722.99     8.698468     0.403598
4723.59     7.862442     2.026285
4724.20     5.647806     1.172139
4724.81    11.261171     0.742125
4725.42     7.746104     1.780216
4726.02     4.854956     1.434053
4726.63     9.173461    -0.196907
4727.24     5.958718     0.007648
4727.84     5.272404     0.698215
4728.45     2.775023     2.700448
4729.06     6.659681     2.065417
4729.67     9.630955     1.087015
4730.27     5.535442     2.030908
4730.88     6.912418     1.029337
4731.49    10.684032     0.114522
4732.09     9.509054    -0.124297
4732.70     6.631924     0.370886
4733.31     6.019092     1.379746
4733.92     5.847812     2.016800
4734.52     4.941056     1.970982
4735.13     7.462593     2.870899
4735.74     7.706690     2.566434
4736.34     6.561030     1.471244
4736.95     5.520347     0.873619
4737.56     5.191520     1.077985
4738.17     8.685081     1.959624
4738.77     9.672178     1.908671
4739.38     6.568415     2.744747
4739.99     7.751932     2.438518
4740.59    11.235126     0.598346
4741.20    11.180000    -0.012796
4741.81    15.086739    -0.013839
4742.41     9.374339     0.036667
4743.02     6.030262    -0.116575
4743.63     7.570534     0.369876
4744.24     8.097874     1.032174
4744.84     7.976377     1.013765
4745.45     6.922590     1.953264
4746.06     8.602325     1.326745
4746.66     8.161634     1.031551
4747.27     9.496071     0.575788
4747.88    13.136663     0.193052
4748.49    10.071085     1.985394
4749.09     7.199493     1.311040
4749.70     7.786567     0.276665
4750.31    10.909303    -0.279793
4750.91    11.534062     0.614031
4751.52    10.097637     2.020435
4752.13    12.851820     1.042239
4752.74    12.963529     1.043836
4753.34     7.647234     0.305745
4753.95     3.748067     0.294843
4754.56     6.551193     1.144892
4755.16     9.931058     0.964848
4755.77     6.236289     0.941750
4756.38     7.616014     1.826819
4756.99    11.825157     1.717708
4757.59    12.813732     0.179611
4758.20     8.247259     0.614061
4758.81     4.059395     3.010947
4759.41     8.633434     1.179315
4760.02     6.980579     1.694301
4760.63     6.518992     1.490378
4761.24     5.893750     1.285891
4761.84     4.373823     1.903614
4762.45     8.022033     1.002104
4763.06     7.640380     1.995455
4763.66    12.425676     0.622406
4764.27    12.884165     0.200142
4764.88     8.809370     1.335868
4765.49     7.983506     2.244853
4766.09     8.924328     3.036619
4766.70    12.146713     0.496504
4767.31    14.394661     0.158246
4767.91     8.494436     2.125227
4768.52     4.184371     3.028390
4769.13     8.235605     1.765054
4769.74     6.258903     0.074318
4770.34     5.065372    -0.041753
4770.95    10.383745    -0.138863
