#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4579.10     6.371383     2.923545
4579.71    11.855844     2.101636
4580.31     7.868392     1.802663
4580.92     6.978415     2.605831
4581.53    10.766987     2.795576
4582.14     9.799458     2.006536
4582.74     7.288737     2.900143
4583.35     6.920642     2.898662
4583.96    10.637721     3.739715
4584.56    10.889303     3.343892
4585.17     5.707092     0.891896
4585.78     6.554597     1.746070
4586.39     9.093046     3.018054
4586.99     7.011005     2.317536
4587.60     5.035079     2.519925
4588.21     8.543270     3.988081
4588.81    12.660276     2.223583
4589.42    13.966153     1.612147
4590.03    13.929193     3.137347
4590.64    11.668187     4.070786
4591.24     8.896623     4.126500
4591.85     9.950553     5.059208
4592.46     8.815289     2.834155
4593.06     6.287092     1.474852
4593.67     1.614325     2.723225
4594.28    -0.575460     4.124650
4594.89     5.662505     4.014931
4595.49     9.616539     3.539661
4596.10    15.558238     0.884551
4596.71    14.756168     0.705423
4597.31     6.506310     3.396630
4597.92     4.962342     3.024873
4598.53    10.317291     1.151645
4599.14    15.525343     1.949113
4599.74    11.197214     3.787849
4600.35     3.964176     3.767166
4600.96     5.088347     3.013371
4601.56     7.426929     4.024950
4602.17     9.925652     2.825962
4602.78     4.813624     5.217023
4603.38     3.988916     6.050790
4603.99    15.932209     0.688248
4604.60    18.674107     0.792430
4605.21    10.630272     1.765807
4605.81     7.186354     2.492036
4606.42     7.908509     3.252315
4607.03     9.936856     2.760633
4607.63    15.207993     1.864423
4608.24     6.738037     5.452417
4608.85    13.704772     4.188202
4609.46    19.540768     1.212804
4610.06    11.723151     2.542204
4610.67    10.994768     4.004801
4611.28    11.301928     1.405961
4611.88     8.794324     1.821681
4612.49     5.140849     3.956431
4613.10     4.231653     3.505894
4613.71     6.085151     2.003619
4614.31     6.074137     3.037767
4614.92     5.898723     1.311510
4615.53     6.213811     2.432386
4616.13     5.504169     3.860234
4616.74     6.689941     1.756332
4617.35    11.910635     1.887912
4617.96     8.455123     3.708265
4618.56     6.089534     3.605683
4619.17     8.191613     2.775618
4619.78     8.586102     3.163507
4620.38     5.986780     4.011909
4620.99     6.876548     4.261073
4621.60     6.711937     2.032839
4622.21    12.435251     0.537451
4622.81    14.777267     1.478236
4623.42     6.319577     3.171913
