#Wavelength     Flux
#[Angstrom]   [Counts]
3913.05     0.000000
3914.68     0.000000
3916.32     0.000000
3917.95     0.000000
3919.59     0.000000
3921.23     0.000000
3922.86     0.000000
3924.50     0.000000
3926.14     0.000000
3927.77     0.000000
3929.41     0.000000
3931.04     0.000000
3932.68     0.000000
3934.32     0.000000
3935.95     0.000000
3937.59     0.000000
3939.22     0.000000
3940.86     0.000000
3942.50     0.000000
3944.13     0.000000
3945.77     0.000000
3947.41     0.000000
3949.04     0.000000
3950.68     0.000000
3952.31     0.000000
3953.95     0.000000
3955.59     0.000000
3957.22    3732.606000
3958.86    1355.449000
3960.49    1452.934000
3962.13    1683.880000
3963.77    1680.889000
3965.40    1473.643000
3967.04    1436.497000
3968.68    1322.644000
3970.31    1384.275000
3971.95    1547.045000
3973.59    1558.254000
3975.22    1500.884000
3976.86    1202.436000
3978.49    1135.802000
3980.13    989.353400
3981.77    1095.753000
3983.40    997.997900
3985.04    955.626100
3986.67    946.367700
3988.31    1109.113000
3989.95    1409.492000
3991.58    1367.882000
3993.22    1123.447000
3994.86    1516.026000
3996.49    1366.289000
3998.13    1230.497000
3999.76    1239.106000
4001.40    1368.306000
4003.04    1094.139000
4004.67    1672.034000
4006.31    1631.870000
4007.95    1417.896000
4009.58    1471.708000
4011.22    1124.811000
4012.85    1226.461000
4014.49    910.338300
4016.13    907.743300
4017.76    1046.378000
4019.40    835.446800
4021.03    837.079800
4022.67    1027.731000
4024.31    971.835400
4025.94    1123.140000
4027.58    1330.377000
4029.22    1114.817000
4030.85    1654.814000
4032.49    1548.910000
4034.12    1563.844000
4035.76    1598.623000
4037.40    1402.733000
4039.03    1384.135000
4040.67    1569.594000
4042.30    1638.919000
4043.94    1574.465000
4045.58    1687.714000
4047.21    1799.866000
4048.85    1899.567000
4050.49    1298.428000
4052.12    1883.601000
4053.76    1509.138000
4055.39    1788.434000
4057.03    1604.179000
4058.67    1778.414000
4060.30    1939.182000
4061.94    1738.829000
4063.58    1841.478000
4065.21    1808.255000
4066.85    2216.488000
4068.49    1843.345000
4070.12    1937.401000
4071.76    1928.026000
4073.39    1953.810000
4075.03    1611.916000
4076.67    1737.003000
4078.30    1950.846000
4079.94    2199.187000
4081.57    1796.476000
4083.21    1874.602000
4084.85    1700.140000
4086.48    1706.909000
4088.12    1742.896000
4089.76    2141.471000
4091.39    2093.762000
4093.03    1811.797000
4094.66    1666.048000
4096.30    1451.140000
4097.94    1665.274000
4099.57    2141.425000
4101.21    1705.757000
4102.85    1422.835000
4104.48    1932.470000
4106.12    1917.238000
4107.75    2185.901000
4109.39    1965.136000
4111.03    1842.694000
4112.66    1797.940000
4114.30    1634.124000
4115.94    1940.795000
4117.57    1932.935000
4119.21    1567.623000
4120.84    1588.268000
4122.48    1761.229000
4124.12    1541.906000
4125.75    1938.845000
4127.39    1932.014000
4129.02    2079.090000
4130.66    1655.817000
4132.30    2651.748000
4133.93    1564.826000
4135.57    1722.126000
4137.20    2208.914000
