#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4713.18    10.258909     3.983763
4713.78     3.112050     3.724668
4714.38     4.203938     6.027340
4714.98     8.113022     6.430356
4715.58     7.991427     5.028455
4716.18     7.969460     5.985147
4716.79     6.348944     4.834938
4717.39     4.974321     7.931353
4717.99     5.924026     8.196498
4718.59     9.614737     5.054356
4719.19    13.321985     3.911501
4719.79    12.351438     3.932611
4720.39     5.985402     5.419106
4720.99     1.344527     7.047280
4721.59     4.790163     6.033523
4722.19     9.200949     3.542339
4722.79     8.049484     3.001459
4723.40    12.466618     3.060252
4724.00    11.902429     2.360438
4724.60    11.231159     1.737057
4725.20    11.860395     2.476433
4725.80     9.572021     4.245084
4726.40     7.922719     5.032269
4727.00    11.064137     4.040226
4727.60    12.377875     4.890666
4728.20     8.775201     3.766092
4728.80     7.678671     2.203916
4729.40    10.969476     6.249552
4730.01     7.207840     9.938771
4730.61    10.614235     7.583080
4731.21    15.002407     4.292394
4731.81    14.243985     2.036341
4732.41    11.583541     1.194183
4733.01    10.941297     2.997943
4733.61    13.022364     1.261203
4734.21    10.535194     2.132480
4734.81     8.973335     2.988672
4735.41    10.132747     3.649069
4736.02    10.058861     6.074708
4736.62    11.022327     5.116798
4737.22    10.299062     5.036224
4737.82    14.747606     4.316006
4738.42    13.192270     4.480410
4739.02     4.883328     6.362926
4739.62     7.103067     7.000103
4740.22    13.505768     6.326288
4740.82    11.259360     4.381121
4741.42     3.292593     4.505494
4742.02     4.515378     4.563453
4742.63    12.493807     1.410773
4743.23     9.248409    -0.128324
4743.83     6.851741     4.922751
4744.43     8.462949     5.952644
4745.03     8.279946     4.575783
4745.63     7.032910     5.397417
4746.23     9.276678     5.924511
4746.83    10.335554     4.900280
4747.43     4.705475     7.444923
4748.03     2.253518     7.066506
4748.63     3.566370     6.021292
4749.24     5.885349     5.374917
4749.84    11.227455     1.929444
4750.44    15.895716     2.591044
4751.04    13.014109     5.085651
4751.64     8.834192     7.069900
4752.24     8.008926     6.077261
4752.84     9.364555     3.830499
4753.44    10.987879     4.008567
4754.04    11.005031     2.354484
4754.64    11.248345     1.734865
4755.24     9.967843     2.473433
4755.85    11.458401     3.234107
4756.45    14.963869     4.213884
4757.05    12.050340     5.915061
4757.65    14.418803     6.324252
4758.25    14.053694     4.263322
4758.85    12.934937     2.093010
4759.45    14.541164     2.430644
4760.05    14.870946     4.088856
4760.65    12.290253     3.254559
4761.25     9.872665     0.867434
4761.85     6.750773     3.593158
4762.46     6.907903     4.067737
4763.06    11.200292     2.218307
4763.66    12.900101     5.101705
