#Wavelength     Flux
#[Angstrom]   [Counts]
3913.05     0.000000
3914.68     0.000000
3916.32     0.000000
3917.95     0.000000
3919.59     0.000000
3921.23     0.000000
3922.86     0.000000
3924.50     0.000000
3926.14     0.000000
3927.77     0.000000
3929.41     0.000000
3931.04     0.000000
3932.68     0.000000
3934.32     0.000000
3935.95     0.000000
3937.59     0.000000
3939.22     0.000000
3940.86     0.000000
3942.50     0.000000
3944.13     0.000000
3945.77     0.000000
3947.41     0.000000
3949.04     0.000000
3950.68     0.000000
3952.31     0.000000
3953.95     0.000000
3955.59     0.000000
3957.22     0.000000
3958.86     0.000000
3960.49     0.000000
3962.13     0.000000
3963.77     0.000000
3965.40     0.000000
3967.04    2266.813000
3968.68    2302.250000
3970.31    2653.056000
3971.95    2558.864000
3973.59    2837.050000
3975.22    2916.589000
3976.86    2892.406000
3978.49    3038.590000
3980.13    2669.630000
3981.77    2418.364000
3983.40    2084.404000
3985.04    2136.494000
3986.67    1891.245000
3988.31    1678.511000
3989.95    1586.848000
3991.58    1546.183000
3993.22    1559.467000
3994.86    1253.324000
3996.49    1475.354000
3998.13    1642.195000
3999.76    2184.788000
4001.40    2337.867000
4003.04    2029.734000
4004.67    2228.069000
4006.31    2721.097000
4007.95    2688.831000
4009.58    2702.439000
4011.22    3088.497000
4012.85    3106.842000
4014.49    2969.206000
4016.13    2886.639000
4017.76    2643.211000
4019.40    2519.642000
4021.03    2460.907000
4022.67    2123.584000
4024.31    1816.222000
4025.94    1662.715000
4027.58    1270.229000
4029.22    1556.756000
4030.85    2000.137000
4032.49    2031.359000
4034.12    2326.995000
4035.76    2425.369000
4037.40    2821.189000
4039.03    3183.176000
4040.67    3088.718000
4042.30    3236.186000
4043.94    3194.630000
4045.58    3520.261000
4047.21    3534.093000
4048.85    3783.863000
4050.49    3988.569000
4052.12    3796.727000
4053.76    3699.272000
4055.39    3778.151000
4057.03    3940.385000
4058.67    3654.565000
4060.30    3765.782000
4061.94    4071.987000
4063.58    4049.492000
4065.21    3980.417000
4066.85    3967.380000
4068.49    3932.658000
4070.12    4057.275000
4071.76    4330.414000
4073.39    4123.057000
4075.03    4100.437000
4076.67    4111.806000
4078.30    4332.394000
4079.94    4282.125000
4081.57    4119.912000
4083.21    4050.025000
4084.85    4340.668000
4086.48    4220.060000
4088.12    4155.089000
4089.76    4159.104000
4091.39    3823.171000
4093.03    3895.446000
4094.66    4027.028000
4096.30    3831.342000
4097.94    4063.044000
4099.57    3977.917000
4101.21    3831.165000
4102.85    3708.160000
4104.48    3724.707000
4106.12    4080.603000
4107.75    3747.512000
4109.39    3738.197000
4111.03    3774.754000
4112.66    3888.269000
4114.30    4098.747000
4115.94    3702.372000
4117.57    3750.023000
4119.21    3975.821000
4120.84    3776.159000
4122.48    3568.928000
4124.12    3642.285000
4125.75    3691.902000
4127.39    3677.882000
4129.02    3500.750000
4130.66    3609.634000
4132.30    3751.149000
4133.93    3854.959000
4135.57    3888.704000
4137.20    3845.198000
