#Wavelength     Flux
#[Angstrom]   [Counts]
3913.05     0.000000
3914.68     0.000000
3916.32     0.000000
3917.95     0.000000
3919.59     0.000000
3921.23     0.000000
3922.86     0.000000
3924.50     0.000000
3926.14     0.000000
3927.77     0.000000
3929.41     0.000000
3931.04     0.000000
3932.68     0.000000
3934.32     0.000000
3935.95     0.000000
3937.59     0.000000
3939.22     0.000000
3940.86     0.000000
3942.50     0.000000
3944.13     0.000000
3945.77     0.000000
3947.41     0.000000
3949.04     0.000000
3950.68     0.000000
3952.31     0.000000
3953.95     0.000000
3955.59     0.000000
3957.22    7434.645000
3958.86    3285.502000
3960.49    2809.168000
3962.13    2732.210000
3963.77    2947.760000
3965.40    3984.220000
3967.04    5035.118000
3968.68    5084.065000
3970.31    5599.046000
3971.95    6072.138000
3973.59    6158.256000
3975.22    6671.494000
3976.86    6738.406000
3978.49    6624.900000
3980.13    6771.345000
3981.77    6652.136000
3983.40    6753.724000
3985.04    6584.365000
3986.67    6318.194000
3988.31    6137.132000
3989.95    5240.612000
3991.58    4796.027000
3993.22    4005.216000
3994.86    3211.118000
3996.49    2858.753000
3998.13    2861.521000
3999.76    3811.222000
4001.40    4644.882000
4003.04    4935.381000
4004.67    5486.083000
4006.31    6418.921000
4007.95    7034.632000
4009.58    7078.145000
4011.22    7292.436000
4012.85    7415.165000
4014.49    7396.375000
4016.13    7685.907000
4017.76    7919.725000
4019.40    7883.149000
4021.03    7838.901000
4022.67    8353.918000
4024.31    8356.754000
4025.94    8236.176000
4027.58    8154.572000
4029.22    8216.937000
4030.85    8251.633000
4032.49    8122.852000
4034.12    8349.843000
4035.76    7894.750000
4037.40    8193.344000
4039.03    8625.620000
4040.67    8352.037000
4042.30    8497.863000
4043.94    8528.507000
4045.58    8876.219000
4047.21    8710.552000
4048.85    8739.885000
4050.49    8810.964000
4052.12    8706.098000
4053.76    8666.467000
4055.39    8566.978000
4057.03    8772.095000
4058.67    8516.979000
4060.30    8019.293000
4061.94    8039.258000
4063.58    8280.441000
4065.21    8630.259000
4066.85    8882.161000
4068.49    8415.691000
4070.12    8431.915000
4071.76    8385.211000
4073.39    8079.464000
4075.03    8036.511000
4076.67    8125.177000
4078.30    8446.836000
4079.94    8819.921000
4081.57    8904.726000
4083.21    8456.373000
4084.85    8146.703000
4086.48    8140.880000
4088.12    8128.872000
4089.76    8385.249000
4091.39    8328.095000
4093.03    8155.130000
4094.66    8047.667000
4096.30    8165.424000
4097.94    8388.565000
4099.57    8015.441000
4101.21    7918.869000
4102.85    8075.325000
4104.48    7919.192000
4106.12    7782.193000
4107.75    7866.065000
4109.39    8385.939000
4111.03    8628.001000
4112.66    8410.907000
4114.30    8387.271000
4115.94    8459.878000
4117.57    8540.420000
4119.21    8780.569000
4120.84    8444.750000
4122.48    8351.953000
4124.12    8043.016000
4125.75    7135.635000
4127.39    6855.396000
4129.02    6353.517000
4130.66    6001.250000
4132.30    6616.638000
4133.93    6844.370000
4135.57    7471.080000
