#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4579.10    16.283117    12.459857
4579.71    10.917837    15.424512
4580.31    10.847752    13.642615
4580.92    19.512018    12.861074
4581.53    20.698555    15.765136
4582.14    18.897703    13.806117
4582.74    16.932150    12.209624
4583.35    14.645365    14.161437
4583.96    15.899793    11.133952
4584.56    21.166553     4.920736
4585.17    15.298281    10.839210
4585.78    16.030825    12.744730
4586.39    22.147572     9.078696
4586.99    16.800241    14.238526
4587.60    16.523191    15.711504
4588.21    18.991493     9.834774
4588.81    17.275293    12.457500
4589.42    16.879982    14.841370
4590.03    21.345795     7.483422
4590.64    19.707218     9.359783
4591.24    12.465886    15.113735
4591.85    17.073641    14.697206
4592.46    25.279648    10.106476
4593.06    24.421478     6.238412
4593.67    22.003628     4.916350
4594.28    25.214485    10.704990
4594.89    32.845242    12.516569
4595.49    34.152096     8.780335
4596.10    28.307896     7.324449
4596.71    26.113827     8.928349
4597.31    28.564594     6.633617
4597.92    21.097252    13.460921
4598.53    29.662949    15.599159
4599.14    34.543476    12.093154
4599.74    20.965574     9.171327
4600.35    23.739443     4.842402
4600.96    23.552343    12.795774
4601.56    22.878218    15.167334
4602.17    22.663527    11.248779
4602.78    23.814850     8.217847
4603.38    23.770300     8.134835
4603.99    12.071516    15.147632
4604.60    15.443358    14.903738
4605.21    20.291735    11.007642
4605.81    16.125069    12.294922
4606.42    17.168985    14.840111
4607.03    28.571301    11.136511
4607.63    26.411152    13.044426
4608.24    30.199017    14.707540
4608.85    25.125101    15.881323
4609.46     9.442848    16.829988
4610.06    11.277648    13.886428
4610.67    22.508198    11.057275
4611.28    24.197105    13.085644
4611.88    14.276081    17.838421
4612.49    11.328766    20.405146
4613.10    21.375463    17.025263
4613.71    25.946629    11.064278
4614.31    23.791653    14.867734
4614.92    16.797005    15.389888
4615.53    19.474016    13.724469
4616.13    19.060179    17.662962
4616.74     7.040870    19.673624
4617.35    22.175331     8.406214
4617.96    31.107441     6.698291
4618.56    20.596088    13.550324
4619.17    14.034240    17.924870
4619.78    21.164268    13.309712
4620.38    24.886923     5.976061
4620.99    29.865129    13.087548
4621.60    31.333960    10.362560
4622.21    13.180540    16.683058
4622.81     2.027920    24.435625
4623.42    19.792561    15.516491
4624.03    27.095530    16.984531
4624.63    22.221582    12.324532
4625.24    16.664419     7.149364
4625.85    13.928374    11.215570
4626.46    12.977697    16.062805
4627.06    15.153587    11.873892
4627.67    22.215408    11.543219
4628.28    30.386433    14.874445
4628.88    14.595245    16.697186
4629.49     5.885360    17.460178
4630.10    15.836326    17.805471
4630.71     9.778896    15.099725
4631.31    29.215704    13.442668
4631.92    23.484272    18.399324
4632.53     7.367208    21.992332
4633.13    11.620021    17.936792
4633.74    21.149828    12.779188
4634.35    15.318304    14.717655
4634.95    18.654032    15.941566
4635.56    24.771896    10.518356
4636.17    22.849125     8.272316
4636.78    18.486145    11.787120
4637.38    21.343697    11.877496
4637.99    25.902910     8.569784
4638.60    23.157654     6.053583
4639.20    22.213799    11.965302
4639.81    22.751614    16.510359
4640.42    22.169563    11.492870
4641.03    20.899199     8.036398
4641.63    12.346498    14.231447
4642.24    17.536015    13.731804
4642.85    14.136974    14.531059
4643.45    10.308612    15.043700
4644.06    20.444469    10.443521
4644.67    23.005981     9.987802
4645.28    22.738432    10.074334
4645.88    25.559456     9.760221
4646.49    31.222736    10.944276
4647.10    29.821011    12.140614
4647.70    18.395687    13.472101
4648.31    13.632011    17.825094
4648.92    25.815548    16.686808
4649.53    30.825365     9.140003
4650.13    23.430195     8.465107
4650.74    23.121717    14.494977
4651.35    29.746805    14.682824
4651.95    19.681347    10.302879
4652.56    21.189224     9.744038
4653.17    24.543623    10.237147
4653.78    22.703217    12.931354
4654.38    14.920591    20.500950
4654.99     8.205935    23.557156
4655.60    18.783262    11.974081
4656.20    21.204039    12.466170
4656.81    17.994415    14.223808
4657.42    19.698681    12.166727
4658.03    23.450224    10.502527
4658.63    24.103628    10.111442
4659.24    27.664644    14.440919
4659.85    25.760836    16.253197
4660.45    12.591657    19.520861
4661.06    16.108479    17.673937
4661.67    23.942141    16.404352
4662.28     4.805924    25.028776
4662.88    14.149454    16.896475
4663.49    23.504381    10.758204
4664.10    14.594907    13.414814
4664.70    15.160845    16.839010
4665.31    26.325090    15.350588
4665.92    17.963037    13.002333
4666.53    18.613239    15.636950
4667.13    25.755829    15.653545
4667.74    21.004187    18.548374
4668.35    16.260868    18.456055
4668.95    21.716455    12.185334
4669.56    25.902275    11.007298
4670.17    35.314342    11.087891
4670.77    15.559261    18.177731
4671.38    10.754589    17.926723
4671.99    17.690956    15.537628
4672.60    13.510846    19.202660
4673.20    23.805738    16.103722
4673.81    26.967735    11.805858
4674.42    26.656673     9.354722
4675.02    16.366940    13.201493
4675.63    10.713078    20.397234
4676.24    20.545582    18.360783
4676.85    24.043470     8.034372
4677.45    18.959248    16.738224
4678.06    11.170725    19.981976
4678.67    16.023861    15.283911
4679.27    22.398331    14.675503
4679.88    20.157627    15.526687
4680.49    27.574305    10.122074
4681.10    36.368195    11.086189
4681.70    26.881506    14.737616
4682.31    21.695534    17.038418
4682.92    21.309967    16.266136
4683.52    20.436829    13.722238
4684.13    32.930565    13.920031
4684.74    21.972500    15.490012
4685.35    17.903189    10.682661
4685.95    21.936527    10.378424
4686.56    23.158325    15.426178
4687.17    17.062626    17.173616
4687.77     7.778136    17.086798
4688.38    24.150007    13.779479
4688.99    23.453939    12.131937
4689.60    21.495434    15.351883
4690.20    24.403978    16.291698
4690.81    21.216032    15.670640
4691.42    24.154539    21.056217
4692.02    14.579459    13.884748
4692.63    15.423202    17.418175
4693.24    18.321356    18.315235
4693.85    16.901394    12.936430
4694.45    18.170319    12.940771
4695.06    18.049763    11.997206
4695.67    18.913321    13.498199
4696.27    31.796749    15.216053
4696.88    26.468359    17.383585
4697.49    10.514998    19.625891
4698.10    14.620318    18.393036
4698.70    27.516090    13.165335
4699.31    35.949749    11.030825
4699.92    30.559935    11.986250
4700.52    21.303844    18.149120
4701.13    17.057106    17.617653
4701.74    20.278749     9.524609
4702.35    27.942516    11.957088
4702.95    23.881813    10.204954
4703.56    24.152859    12.815245
4704.17    23.781252    20.526299
4704.77    22.128651    22.015062
4705.38    21.167067    16.238647
4705.99    16.908924    14.056124
4706.59    25.421108    13.050363
4707.20    19.247559    20.532021
4707.81    18.574247    17.789263
4708.42    27.339479    11.528656
4709.02    23.016003    17.086758
4709.63    13.948548    20.013714
4710.24    26.028072    16.829782
4710.84    25.224323    14.329144
4711.45    20.608969    13.833546
4712.06    18.297342    14.249609
4712.67    18.357204    13.601438
4713.27    27.971422    11.981676
4713.88    21.547754    15.592762
4714.49    18.997334    14.889390
4715.09    16.720284    18.139181
4715.70    11.003445    20.454529
4716.31    12.255093    16.648689
4716.92    20.973526    17.002560
4717.52    21.969561    14.013569
4718.13    23.429163     9.379574
4718.74    19.498688    11.213661
4719.34    20.888988    14.575420
4719.95    28.174526    12.304482
4720.56    26.015066    10.000792
4721.17    34.184036    12.453281
4721.77    22.592194    13.992090
4722.38    19.917900    14.007666
4722.99    20.458158    16.632912
4723.59    17.900347    18.779907
4724.20    33.075081    13.928142
4724.81    28.550449    10.584232
4725.42    31.879333    16.577805
4726.02    19.832275    19.784277
4726.63    10.550582    18.835754
4727.24    25.245274    17.189190
4727.84    29.861357    14.013666
4728.45    15.525926    17.654016
4729.06     8.912985    15.438979
4729.67    22.643988     9.352769
4730.27    26.493128    11.739642
4730.88    19.620184    18.786644
4731.49    26.940125    16.893019
4732.09    17.241154    13.493324
4732.70    27.860220    11.572404
4733.31    28.911812    14.570009
4733.92    16.110096    17.803152
4734.52    11.853844    18.125385
4735.13    14.092647    17.924030
4735.74    16.419538    15.120117
4736.34    20.593031    16.955454
4736.95    19.185770    18.511292
4737.56    25.008465    17.426865
4738.17    32.653183    17.180311
4738.77    22.613998    17.981846
4739.38    19.825003    17.601374
4739.99    21.455948    22.306492
4740.59    22.553865    19.800985
4741.20    23.587561    11.738298
4741.81    23.709204    10.824474
4742.41    24.234951    15.023561
4743.02    29.308075    12.838396
4743.63    19.485058    18.293045
4744.24    10.916529    19.063684
4744.84    15.429336    16.527296
4745.45    21.584696    16.947874
4746.06    18.766844    15.960618
4746.66    17.412247    15.955406
4747.27    25.655619    16.100386
4747.88    32.565853    15.691916
4748.49    26.135523    17.043165
4749.09    20.708588    19.372463
4749.70    26.979078    18.899437
4750.31    17.638222    18.495775
4750.91    11.089428    24.360405
4751.52    22.993935    20.954943
4752.13    30.413490    16.271315
4752.74    23.200630    16.549477
4753.34    23.463394    12.811947
4753.95    32.612030    12.643974
4754.56    28.085732    15.466827
4755.16    26.517447    10.358171
4755.77    30.599003     7.147629
4756.38    32.357685    12.499672
4756.99    30.625004    14.928251
4757.59    22.796040    12.127069
4758.20    21.341726    14.049712
4758.81    27.993513    15.188117
4759.41    28.167183    12.409266
4760.02    23.922346     9.450628
4760.63    28.295088    10.219320
4761.24    30.808853    13.889574
4761.84    31.947336    12.147271
4762.45    31.288969    14.615754
4763.06    28.413643    14.418528
4763.66    23.526093    12.896793
4764.27    22.351519    18.021109
4764.88    29.908304    13.452694
4765.49    23.834480    13.822095
4766.09    29.115601    12.026206
4766.70    26.883720    15.429283
4767.31    21.017286    19.052849
4767.91    32.850437    13.070951
