#Wavelength     Flux
#[Angstrom]   [Counts]
3913.05     0.000000
3914.68     0.000000
3916.32     0.000000
3917.95     0.000000
3919.59     0.000000
3921.23     0.000000
3922.86     0.000000
3924.50     0.000000
3926.14     0.000000
3927.77     0.000000
3929.41     0.000000
3931.04     0.000000
3932.68     0.000000
3934.32     0.000000
3935.95    5468.656000
3937.59    2302.311000
3939.22    2316.343000
3940.86    2268.081000
3942.50    1889.060000
3944.13    1958.807000
3945.77    1830.422000
3947.41    2111.775000
3949.04    2204.409000
3950.68    1711.797000
3952.31    2341.759000
3953.95    1775.836000
3955.59    1953.212000
3957.22    1729.786000
3958.86    2208.011000
3960.49    2086.065000
3962.13    2001.699000
3963.77    2014.871000
3965.40    2119.622000
3967.04    2448.320000
3968.68    2278.878000
3970.31    2407.615000
3971.95    2533.066000
3973.59    2183.948000
3975.22    2336.434000
3976.86    2052.666000
3978.49    2225.780000
3980.13    2273.359000
3981.77    2183.918000
3983.40    2608.532000
3985.04    2523.642000
3986.67    2691.794000
3988.31    3041.429000
3989.95    2622.250000
3991.58    2503.458000
3993.22    2535.705000
3994.86    2034.824000
3996.49    1941.633000
3998.13    2182.893000
3999.76    2076.264000
4001.40    2132.315000
4003.04    1724.892000
4004.67    1559.123000
4006.31    1242.975000
4007.95    1175.103000
4009.58    1250.153000
4011.22    1624.578000
4012.85    1574.644000
4014.49    2047.628000
4016.13    1828.232000
4017.76    2009.834000
4019.40    2323.593000
4021.03    2242.552000
4022.67    2445.829000
4024.31    2453.249000
4025.94    2252.628000
4027.58    2615.882000
4029.22    2737.303000
4030.85    2406.059000
4032.49    2124.599000
4034.12    2347.542000
4035.76    1938.282000
4037.40    2144.451000
4039.03    1977.652000
4040.67    1635.319000
4042.30    1169.388000
4043.94    1159.417000
4045.58    1265.046000
4047.21    1535.713000
4048.85    1749.638000
4050.49    2079.312000
4052.12    2082.807000
4053.76    2151.697000
4055.39    2438.110000
4057.03    2578.127000
4058.67    2391.896000
4060.30    2469.155000
4061.94    2931.512000
4063.58    2916.582000
4065.21    2966.523000
4066.85    3041.237000
4068.49    3174.646000
4070.12    2866.921000
4071.76    3116.009000
4073.39    2860.976000
4075.03    3117.087000
4076.67    2934.280000
4078.30    2851.113000
4079.94    3213.311000
4081.57    3094.989000
4083.21    3064.253000
4084.85    3297.162000
4086.48    3187.567000
4088.12    3300.956000
4089.76    3746.974000
4091.39    3508.631000
4093.03    3408.831000
4094.66    3141.587000
4096.30    3097.691000
4097.94    3038.169000
4099.57    3154.832000
4101.21    3179.838000
4102.85    3181.105000
4104.48    3137.264000
4106.12    2889.590000
4107.75    2933.836000
4109.39    2853.465000
4111.03    2796.456000
4112.66    2810.813000
4114.30    2805.431000
4115.94    3165.979000
4117.57    3210.746000
4119.21    3009.252000
4120.84    2872.458000
4122.48    3125.172000
4124.12    2912.555000
4125.75    3048.594000
4127.39    3154.953000
4129.02    3193.579000
4130.66    3263.587000
4132.30    3067.387000
4133.93    3027.699000
