#Regenerated by NED personnel from published spectrum with using UN-SCAN-IT Software.
#Heliocentric Velocity     Flux Density 
#[km/s]                     [mJy]
 3671.920                   2.814700
 3675.660                   2.445700
 3679.610                   1.411700
 3683.240                   1.412200
 3687.080                   0.747600
 3691.110                  -0.581900
 3694.770                  -0.655400
 3698.410                  -0.654900
 3701.800                   0.158300
 3705.280                   0.676000
 3708.920                   0.676400
 3712.600                   0.529100
 3716.450                  -0.209300
 3720.250                  -0.726100
 3723.880                  -0.725700
 3727.470                  -0.577400
 3730.740                   0.679100
 3734.370                   0.679600
 3737.940                   0.901700
 3741.640                   0.680500
 3745.500                  -0.058000
 3749.140                  -0.057500
 3753.040                  -0.943800
 3756.500                  -0.352200
 3760.070                  -0.130100
 3763.700                  -0.129600
 3767.410                  -0.350900
 3771.060                  -0.424300
 3774.700                  -0.423800
 3778.250                  -0.127800
 3781.890                  -0.127400
 3785.590                  -0.348600
 3789.220                  -0.348200
 3793.390                  -2.121000
 3797.020                  -2.120600
 3800.660                  -2.120200
 3804.140                  -1.602500
 3807.850                  -1.823700
 3811.610                  -2.266600
 3815.250                  -2.266200
 3818.910                  -2.339600
 3822.100                  -0.861400
 3825.740                  -0.860900
 3829.000                   0.395700
 3832.790                  -0.121100
 3836.600                  -0.711800
 3840.240                  -0.711300
 3844.030                  -1.228100
 3847.670                  -1.227700
 3851.060                  -0.414400
 3854.700                  -0.414000
 3858.220                  -0.044100
 3861.660                   0.621300
 3865.300                   0.621800
 3868.800                   1.065600
 3872.390                   1.213800
 3876.050                   1.140400
 3879.690                   1.140800
 3883.500                   0.550100
 3887.140                   0.550600
 3890.770                   0.551000
 3894.150                   1.438200
 3897.780                   1.438600
 3901.510                   1.143500
 3905.140                   1.143900
 3908.780                   1.144400
 3913.190                  -1.441300
 3916.820                  -1.440800
 3920.240                  -0.701500
 3923.850                  -0.627200
 3927.550                  -0.848400
 3931.190                  -0.847900
 3935.250                  -2.251400
 3938.880                  -2.250900
 3941.970                  -0.403200
 3945.600                  -0.402800
 3949.240                  -0.402300
 3952.960                  -0.697500
 3956.600                  -0.697000
 3960.240                  -0.696600
 3963.940                  -0.917800
 3967.620                  -1.065100
 3971.260                  -1.064700
 3974.910                  -1.138100
 3978.750                  -1.802700
 3982.380                  -1.802200
 3986.000                  -1.727900
 3989.610                  -1.653500
 3993.180                  -1.431400
 3996.820                  -1.431000
 4000.430                  -1.356600
 4003.650                   0.047700
 4007.290                   0.048100
 4010.660                   0.935300
 4013.740                   2.783000
 4017.380                   2.783400
 4021.020                   2.783900
 4024.810                   2.267100
 4028.690                   1.454700
 4032.830                  -0.244300
 4036.470                  -0.243800
 4040.100                  -0.243400
 4043.780                  -0.390700
 4047.420                  -0.390300
 4051.030                  -0.315900
 4054.320                   0.866700
 4057.860                   1.162700
 4061.500                   1.163200
 4065.160                   1.089800
 4068.900                   0.720800
 4072.540                   0.721200
 4076.490                  -0.312800
 4080.100                  -0.238400
 4083.670                  -0.016300
 4087.310                  -0.015900
 4090.940                  -0.015400
 4094.400                   0.576100
 4098.040                   0.576600
 4101.610                   0.798700
 4105.290                   0.651400
 4108.900                   0.725700
 4112.540                   0.726100
 4116.530                  -0.455600
 4120.120                  -0.307400
 4123.760                  -0.307000
 4127.390                  -0.306500
 4131.030                  -0.306100
 4134.640                  -0.231700
 4138.280                  -0.231300
 4141.670                   0.581900
 4145.180                   1.025700
 4148.840                   0.952300
 4152.470                   0.952700
 4156.350                   0.140400
 4160.030                  -0.006900
 4163.670                  -0.006500
 4167.520                  -0.744900
 4171.360                  -1.409500
 4175.100                  -1.778500
 4178.740                  -1.778000
 4182.380                  -1.777600
 4186.100                  -2.072700
 4189.740                  -2.072200
 4193.400                  -2.145700
 4197.030                  -2.145200
 4200.580                  -1.849200
 4204.220                  -1.848800
 4207.480                  -0.592200
 4210.980                  -0.148400
 4214.200                   1.255900
 4217.840                   1.256400
 4221.360                   1.626200
 4224.650                   2.808900
 4228.280                   2.809300
 4231.920                   2.809800
 4235.600                   2.662500
 4239.190                   2.810700
 4242.830                   2.811100
 4246.420                   2.959400
 4250.140                   2.664300
 4253.780                   2.664700
 4257.570                   2.148000
 4261.600                   0.818400
 4265.240                   0.818800
 4268.880                   0.819300
 4272.510                   0.819700
 4276.040                   1.189600
 4279.670                   1.190100
 4283.240                   1.412200
 4286.550                   2.521000
 4290.080                   2.890800
 4293.710                   2.891300
 4297.260                   3.187300
 4300.850                   3.335500
 4304.270                   4.074900
 4307.900                   4.075400
 4311.210                   5.184100
 4314.300                   7.031800
 4317.930                   7.032200
 4321.350                   7.771600
 4324.630                   8.954200
 4327.540                  11.393000
 4331.180                  11.393500
 4334.500                  12.428400
 4337.940                  13.093800
 4341.580                  13.094200
 4345.170                  13.242500
 4349.000                  12.577900
 4352.930                  11.617800
 4356.560                  11.618200
 4360.530                  10.510300
 4364.390                   9.772000
 4368.020                   9.772400
 4371.920                   8.886200
 4375.710                   8.369400
 4379.400                   8.222100
 4383.030                   8.222500
 4386.870                   7.558000
 4390.610                   7.189000
 4394.340                   6.893800
 4397.970                   6.894300
 4401.570                   7.042500
 4405.050                   7.560200
 4408.680                   7.560600
 4412.140                   8.152200
 4415.320                   9.704300
 4418.840                  10.074200
 4422.480                  10.074700
 4426.050                  10.296800
 4429.730                  10.149500
 4433.370                  10.149900
 4436.940                  10.372000
 4440.440                  10.815800
 4443.940                  11.259600
 4447.580                  11.260000
 4451.410                  10.595500
 4455.450                   9.265900
 4459.080                   9.266300
 4463.090                   8.010700
 4466.660                   8.232800
 4470.060                   9.046000
 4473.690                   9.046500
 4477.260                   9.268600
 4481.030                   8.825700
 4484.780                   8.456700
 4488.420                   8.457200
 4491.850                   9.122600
 4495.250                   9.935900
 4498.880                   9.936300
 4502.300                  10.675600
 4505.670                  11.562700
 4509.260                  11.711000
 4512.900                  11.711400
 4516.400                  12.155200
 4520.240                  11.490600
 4523.870                  11.491100
 4528.060                   9.644300
 4531.810                   9.275300
 4535.360                   9.571300
 4538.990                   9.571700
 4542.540                   9.867800
 4545.670                  11.567700
 4549.310                  11.568100
 4552.880                  11.790200
 4556.510                  11.790700
 4560.080                  12.012800
 4563.720                  12.013200
 4566.890                  13.565400
 4570.460                  13.787500
 4574.280                  13.196800
 4577.910                  13.197200
 4581.610                  12.976000
 4586.310                   9.429800
