#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
3662.25    61.967892    72.976990
3663.72    83.295952    101.639679
3665.19    33.421982    66.127151
3666.66    94.992958    99.287445
3668.13    86.126396    76.647491
3669.60    96.641876    103.207329
3671.07    73.469940    88.434227
3672.54    94.904716    118.509933
3674.01    94.197731    81.371483
3675.48    107.557915    109.162056
3676.95    110.828506    110.628044
3678.42    124.454414    131.403214
3679.89    112.192047    115.820282
3681.36    112.505180    102.352852
3682.83    99.676285    104.968300
3684.30    116.650589    134.700592
3685.77    100.411087    103.675667
3687.24    76.347687    102.799408
3688.71    86.401237    62.572865
3690.18    115.898788    103.502647
3691.65    116.417282    121.790245
3693.12    97.065773    85.160995
3694.59    95.233681    97.396828
3696.06    107.174805    110.270416
3697.53    96.654045    84.572983
3699.00    106.333191    105.147850
3700.47    138.166443    148.011963
3701.94    102.481865    105.252151
3703.41    109.424385    104.129951
3704.88    147.304382    168.829636
3706.35    145.541031    145.379425
3707.82    131.080261    126.302040
3709.30    102.074432    89.413277
3710.77    111.443680    85.870911
3712.24    109.393990    106.992058
3713.71    123.630287    106.549713
3715.18    115.748665    103.641487
3716.65    163.873535    142.265640
3718.12    130.698334    114.307777
3719.59    110.319893    89.977859
3721.06    124.288513    116.835205
3722.53    120.255653    119.134163
3724.00    102.014450    89.692711
3725.47    122.347023    113.107094
3726.94    129.093933    144.630600
3728.41    162.668777    178.307907
3729.88    135.514679    126.030663
3731.35    163.678284    166.211182
3732.82    124.248589    108.658928
3734.29    149.968826    156.164948
3735.76    115.457596    98.118820
3737.23    100.540993    105.366470
3738.70    88.001312    76.010788
3740.17    142.763031    135.792389
3741.64    103.153839    106.042358
3743.11    107.463791    90.304367
3744.58    77.535545    95.556145
3746.05    116.706703    113.740776
3747.52    153.563202    155.392380
3748.99    125.540184    109.282959
3750.46    132.448654    137.928482
3751.93    181.082916    169.902451
3753.40    152.059387    165.429230
3754.87    118.978889    108.185379
3756.34    135.220901    128.443771
3757.81    96.469910    77.110207
3759.28    98.196213    101.980331
3760.75    110.797470    110.392479
3762.22    116.416191    105.623756
3763.69    125.321068    118.896149
3765.16    123.654602    132.523621
3766.63    142.416443    141.698608
3768.10    143.961411    151.668289
3769.57    117.480156    113.213219
3771.04    129.330704    143.364212
3772.51    122.017967    127.943939
3773.98    116.858017    118.454430
3775.45    102.055435    89.974174
3776.92    89.114838    77.333778
3778.39    145.233368    148.237823
3779.86    186.176514    180.275406
3781.33    164.574005    156.702087
3782.80    124.781784    123.582565
3784.27    131.500641    98.776283
3785.74    187.367401    198.750702
3787.21    135.668182    129.184494
3788.68    115.599968    107.372429
3790.15    101.961510    103.563576
3791.62    107.955498    102.654762
3793.09    128.674515    157.814056
3794.56    94.069328    98.310959
3796.03    127.822197    119.680962
3797.50    129.960281    129.122726
3798.97    145.345627    138.037643
3800.44    100.956200    95.217171
3801.91    100.363388    87.547409
3803.38    84.214935    101.501999
3804.85    106.663460    129.479294
3806.32    89.309837    94.246819
3807.79    121.847237    123.669136
3809.26    81.831383    87.745552
3810.73    116.833633    103.773697
3812.20    167.135773    167.714569
3813.67    211.897888    208.088058
3815.14    166.116638    159.781815
3816.62    132.272049    146.902161
3818.09    131.902267    143.687668
3819.56    158.738464    161.354279
