#Wavelength     Flux
#[Angstrom]   [Counts]
3932.25    12680.870000
3933.89    12936.040000
3935.52    12059.120000
3937.16    11798.050000
3938.79    11092.880000
3940.42    10615.010000
3942.06    10671.680000
3943.69    9296.546000
3945.32    8316.665000
3946.96    7636.782000
3948.59    6217.475000
3950.23    4610.586000
3951.86    4326.987000
3953.49    3991.229000
3955.13    4871.626000
3956.76    5949.122000
3958.39    7457.551000
3960.03    7824.728000
3961.66    8902.395000
3963.30    9244.508000
3964.93    10103.150000
3966.56    10838.450000
3968.20    12018.100000
3969.83    12663.360000
3971.47    12245.320000
3973.10    12435.180000
3974.73    12759.820000
3976.37    12295.250000
3978.00    11254.060000
3979.64    9783.369000
3981.27    8937.695000
3982.90    7634.132000
3984.54    6215.458000
3986.17    5200.262000
3987.80    4948.522000
3989.44    5539.343000
3991.07    6740.298000
3992.71    8298.351000
3994.34    9898.453000
3995.97    11877.470000
3997.61    12728.950000
3999.24    13302.170000
4000.88    13728.120000
4002.51    14437.000000
4004.14    14371.740000
4005.78    14653.260000
4007.41    15452.820000
4009.04    15929.570000
4010.68    16222.320000
4012.31    16410.270000
4013.95    15961.560000
4015.58    16180.100000
4017.21    16648.790000
4018.85    16665.320000
4020.48    16355.790000
4022.11    17007.190000
4023.75    17074.120000
4025.38    16603.150000
4027.02    16680.290000
4028.65    16872.660000
4030.28    17663.760000
4031.92    17500.220000
4033.55    17701.340000
4035.19    17517.570000
4036.82    17772.590000
4038.45    17737.940000
4040.09    17879.420000
4041.72    17773.220000
4043.36    18128.340000
4044.99    17826.150000
4046.62    17353.370000
4048.26    17600.550000
4049.89    16463.220000
4051.52    15320.770000
4053.16    15214.680000
4054.79    16410.850000
4056.43    17695.800000
4058.06    18234.130000
4059.69    17934.390000
4061.33    17646.370000
4062.96    16704.400000
4064.59    15670.420000
4066.23    15538.750000
4067.86    15987.110000
4069.50    16599.550000
4071.13    17277.240000
4072.76    17076.070000
4074.40    16524.540000
4076.03    16142.480000
4077.67    16491.770000
4079.30    15616.650000
4080.93    15491.550000
4082.57    15226.980000
4084.20    15047.100000
4085.84    15443.110000
4087.47    16356.590000
4089.10    16722.910000
4090.74    16549.480000
4092.37    16549.560000
4094.01    16616.440000
4095.64    15521.320000
4097.27    15557.250000
4098.91    16153.530000
4100.54    16578.040000
4102.17    17647.720000
4103.81    17821.880000
4105.44    18038.030000
4107.07    18760.740000
4108.71    19283.860000
4110.34    19028.040000
4111.98    18809.250000
4113.61    18144.520000
