#Wavelength     Flux
#[Angstrom]   [Counts]
3932.25    1563.200000
3933.89    1035.786000
3935.52    1390.436000
3937.16    1377.193000
3938.79    1260.739000
3940.42    1349.175000
3942.06    1438.963000
3943.69    1038.379000
3945.32    1207.104000
3946.96    1277.650000
3948.59    887.705600
3950.23    1406.458000
3951.86    1185.105000
3953.49    1612.996000
3955.13    1405.999000
3956.76    1090.332000
3958.39    1074.191000
3960.03    1525.091000
3961.66    1158.167000
3963.30    1284.413000
3964.93    1619.055000
3966.56    1510.695000
3968.20    1477.001000
3969.83    1287.551000
3971.47    1405.763000
3973.10    1357.921000
3974.73    1395.791000
3976.37    1700.629000
3978.00    1084.997000
3979.64    1575.255000
3981.27    1489.635000
3982.90    1694.443000
3984.54    1566.278000
3986.17    1163.773000
3987.80    1391.684000
3989.44    1060.859000
3991.07    1271.577000
3992.71    1319.416000
3994.34    858.690000
3995.97    697.480000
3997.61    561.017900
3999.24    589.389000
4000.88    709.799300
4002.51    724.556200
4004.14    695.200900
4005.78    633.516100
4007.41    1320.526000
4009.04    921.172700
4010.68    1446.314000
4012.31    1459.508000
4013.95    1432.350000
4015.58    1548.310000
4017.21    1618.159000
4018.85    1737.080000
4020.48    1480.245000
4022.11    1736.370000
4023.75    1169.217000
4025.38    1170.229000
4027.02    1111.405000
4028.65    1151.502000
4030.28    1169.671000
4031.92    250.298000
4033.55    100.363800
4035.19    -383.716500
4036.82    -575.319800
4038.45    762.904500
4040.09    915.305700
4041.72    1226.122000
4043.36    1321.404000
4044.99    1285.730000
4046.62    1556.591000
4048.26    1922.947000
4049.89    2638.676000
4051.52    1987.107000
4053.16    1625.858000
4054.79    1715.252000
4056.43    1733.120000
4058.06    1716.977000
4059.69    1801.980000
4061.33    1985.684000
4062.96    1771.555000
4064.59    1801.266000
4066.23    2302.721000
4067.86    2214.128000
4069.50    1928.784000
4071.13    1894.529000
4072.76    1981.486000
4074.40    1795.714000
4076.03    1641.974000
4077.67    1926.025000
4079.30    2317.851000
4080.93    2249.280000
4082.57    1883.596000
4084.20    1569.412000
4085.84    1738.545000
4087.47    1956.342000
4089.10    2474.517000
4090.74    2557.413000
4092.37    1906.269000
4094.01    1852.588000
4095.64    2019.378000
4097.27    2288.587000
4098.91    2154.065000
4100.54    1889.276000
4102.17    2086.619000
4103.81    2138.237000
4105.44    2055.911000
4107.07    2171.511000
4108.71    1825.572000
4110.34    1683.631000
4111.98    1730.979000
4113.61    1864.012000
4115.24    2028.775000
4116.88    1957.647000
4118.51    2211.478000
4120.15    2277.553000
4121.78    2041.332000
4123.41    1954.760000
4125.05    1807.542000
4126.68    1741.605000
4128.31    1928.734000
4129.95    1803.066000
4131.58    1975.883000
4133.22    2049.518000
4134.85    1999.287000
4136.48    2042.824000
4138.12    1894.114000
4139.75    1779.109000
4141.39    1929.530000
4143.02    1799.464000
4144.65    1746.610000
4146.29    2129.020000
4147.92    2322.114000
4149.56    2427.415000
4151.19    2368.528000
4152.82    2187.794000
4154.46    2435.306000
4156.09    2360.587000
4157.73    2303.216000
4159.36    2247.321000
4160.99    2393.553000
4162.63    2409.063000
4164.26    2145.226000
4165.89    2101.473000
4167.53    1659.630000
4169.16    1750.377000
4170.80    1958.942000
4172.43    2038.313000
4174.06    1710.855000
4175.70    1769.849000
4177.33    2230.978000
4178.97    2120.675000
4180.60    2115.126000
4182.23    2187.012000
4183.87    2103.733000
4185.50    2241.513000
4187.13    2138.566000
4188.77    2193.813000
4190.40    2396.535000
4192.04    2544.854000
4193.67    2392.162000
4195.30    2127.018000
4196.94    2401.675000
4198.57    2254.182000
4200.20    1862.810000
4201.84    1827.442000
4203.47    1866.341000
4205.11    2131.310000
4206.74    2226.494000
4208.37    2032.045000
4210.01    1852.012000
4211.64    2075.897000
4213.27    2061.457000
4214.91    2157.896000
4216.54    2008.922000
4218.18    2063.943000
4219.81    2064.375000
4221.44    2076.974000
4223.08    2147.793000
4224.71    1984.661000
4226.35    1933.316000
4227.98    2230.056000
4229.61    2180.492000
4231.25    2168.382000
4232.88    2276.944000
4234.52    2091.454000
4236.15    2089.279000
4237.78    2386.746000
4239.42    2168.057000
4241.05    1895.966000
4242.69    1914.094000
4244.32    1884.921000
4245.95    1981.426000
4247.59    2000.255000
4249.22    1834.726000
4250.85    2124.781000
4252.49    2152.333000
4254.12    2161.719000
4255.76    2232.690000
4257.39    2196.763000
4259.02    2308.632000
4260.66    1999.770000
4262.29    2156.358000
4263.93    2148.640000
4265.56    2031.645000
4267.19    2033.758000
4268.83    1942.194000
4270.46    1889.013000
4272.09    1829.129000
4273.73    1841.232000
4275.36    2330.677000
4277.00    2676.403000
4278.63    2365.299000
4280.26    2577.163000
4281.90    2468.360000
4283.53    2102.556000
4285.16    1904.504000
4286.80    2106.492000
4288.43    2176.089000
4290.07    2208.444000
4291.70    2333.191000
4293.33    2306.528000
4294.97    1891.558000
4296.60    1735.550000
4298.24    1863.544000
4299.87    1968.754000
4301.50    2084.813000
4303.14    2446.296000
4304.77    2454.309000
4306.40    2195.985000
4308.04    2206.842000
4309.67    2235.384000
4311.31    2227.614000
4312.94    2306.087000
4314.57    2380.182000
4316.21    2165.640000
4317.84    1917.899000
4319.48    2220.976000
4321.11    2407.663000
4322.74    2263.380000
4324.38    2212.416000
4326.01    2493.065000
4327.65    2293.067000
4329.28    2366.380000
4330.91    2427.861000
4332.55    2161.074000
4334.18    2163.662000
4335.81    2381.175000
4337.45    2480.787000
4339.08    2363.017000
4340.72    2112.139000
4342.35    2005.977000
4343.98    2077.922000
4345.62    2151.101000
4347.25    2376.423000
4348.89    2335.099000
4350.52    2183.256000
4352.15    2054.522000
4353.79    2099.553000
4355.42    2092.476000
4357.05    1971.497000
4358.69    2134.412000
4360.32    1975.962000
4361.96    1911.587000
4363.59    2098.361000
