#Wavelength     Flux   Variance  Subtracted Sky
#[Angstrom]   [Counts]     [Counts]    [Counts]
3600.21    18.735800    121.823100    10.479080
3604.52     4.551512    109.947500    11.750270
3608.83     5.967216    112.756600    12.353100
3613.15    10.926760    119.376100    14.967460
3617.46    10.579440    119.816700    12.951020
3621.77     0.380915    121.103100    15.174600
3626.08     7.286817    119.959400    16.395290
3630.39    24.435360    137.714800    17.922900
3634.70    14.080140    152.783300    20.270910
3639.01    -6.120582    133.399200    20.793980
3643.32    -6.634380    124.659900    18.757400
3647.63    -1.399839    125.823400    18.662390
3651.94    -0.145159    118.834600    16.180070
3656.25    -7.859915    124.915900    18.777920
3660.56     3.030235    126.033500    17.865360
3664.87     7.002820    134.360300    18.073230
3669.18    24.749940    139.348800    15.545900
3673.49    25.495760    131.846300    17.950290
3677.80    15.734700    128.761500    15.436930
3682.11    21.413860    138.040900    17.682590
3686.42     5.853036    128.013700    17.160670
3690.74    -9.839811    123.979400    15.727730
3695.05     6.998408    133.700000    17.640490
3699.36    14.570920    151.447600    22.798460
3703.67    11.554390    127.687100    20.440320
3707.98     1.968513    143.374300    22.447530
3712.29    11.441870    146.411000    20.694330
3716.60    12.852680    149.138900    21.762130
3720.91    30.837870    153.030100    17.418950
3725.22    10.812190    143.393500    18.985170
3729.53    -11.313620    136.365000    23.808960
3733.84     0.357066    142.598900    24.668290
3738.15    -1.263578    150.458800    28.794490
3742.46    10.291290    155.194600    23.321260
3746.77    11.640970    152.235600    26.418740
3751.08    15.411790    158.517200    22.409600
3755.39     3.121037    147.133100    22.291110
3759.70    12.594860    150.125600    22.718770
3764.01    27.525040    151.444800    16.281890
3768.33    16.163680    138.005100    15.898910
3772.64    28.099940    144.530300    19.272100
3776.95    29.384800    154.994000    24.303730
3781.26    14.657070    149.646200    20.739230
3785.57    -10.389590    140.132000    23.404170
3789.88     9.995316    151.200700    19.681170
3794.19    13.766730    154.099700    23.874440
3798.50    16.433320    154.599700    20.666690
3802.81    17.922690    157.560100    20.901180
3807.12    29.444490    158.608300    22.422210
3811.43    32.905090    157.045200    18.826730
3815.74    28.041580    166.330900    21.561260
3820.05    26.880420    165.043000    24.211710
3824.36    27.723030    166.453100    25.168040
3828.67    28.848730    172.738400    27.444270
3832.98    34.432530    185.441000    30.049600
3837.29    23.006100    182.042400    26.745420
3841.60     0.431769    154.503700    27.682080
3845.92    27.802610    165.491300    23.686630
3850.23    45.279790    179.152800    23.740940
3854.54    29.939370    171.838500    21.180900
3858.85    20.965680    165.840000    20.931540
3863.16    12.890190    148.721300    20.954950
3867.47    25.443870    163.396900    22.372600
3871.78    19.308730    154.564000    21.975200
3876.09    24.719120    166.933900    20.969600
3880.40    47.827200    174.477000    19.717540
3884.71    41.646970    168.900000    20.547410
3889.02    32.838870    168.366700    18.228350
3893.33     3.611885    150.861400    20.309700
3897.64    52.359140    184.752600    22.198540
3901.95    26.272190    168.754000    26.129680
3906.26    38.250770    202.486300    30.883890
3910.57    37.226010    198.783200    31.298530
3914.88    25.988660    190.722700    30.552420
3919.19    50.597270    200.082900    25.989440
3923.50    44.963700    191.039600    24.732700
3927.82    25.591140    169.799200    23.737310
3932.13    39.771990    176.746500    21.554790
3936.44    49.322790    188.859900    23.367960
3940.75    63.821360    206.194800    25.623570
3945.06    46.638920    203.975400    30.606360
3949.37    41.231230    206.332800    31.927440
3953.68    55.830610    199.942800    29.132250
3957.99    31.690850    179.934400    25.331060
3962.30    32.644570    182.480100    24.936060
3966.61    52.809350    189.287900    21.575800
3970.92    49.470560    187.150900    21.543740
3975.23    28.137630    183.959200    27.521300
3979.54    39.933190    199.682300    28.689810
3983.85    40.688850    203.587000    31.813340
3988.16    61.066950    220.085100    31.930290
3992.47    61.424400    211.645800    29.389770
3996.78    28.405010    193.244600    30.613850
4001.09    43.926500    214.935400    31.352600
4005.41    64.253650    232.913000    33.771020
