#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4579.10     6.354489     5.073019
4580.31     6.973071     5.036057
4581.53     7.515920     3.723599
4582.74     4.927373     6.186598
4583.96     4.985347     7.567783
4585.17     9.018354     4.975310
4586.38     4.301623     8.480356
4587.60     4.555939     6.322278
4588.81     6.688117     3.103876
4590.03     6.796455     5.989421
4591.24    20.003508     3.030391
4592.46    20.511040     2.360685
4593.67     9.988952     4.507963
4594.89     5.994325     5.004415
4596.10     7.899351     5.266119
4597.32    11.274078     3.622946
4598.53    11.400331     3.563651
4599.74     6.543766     6.112841
4600.96     2.208493     6.172297
4602.17    10.651414     5.733620
4603.39    11.426270     6.504527
4604.60     5.339911     5.455637
4605.82    13.673401     1.137823
4607.03     7.403609     3.757634
4608.25     9.120893     4.005141
4609.46    19.050945     2.234167
4610.68    14.399242     4.972174
4611.89     7.911582     3.118796
4613.10     7.833483     5.565165
4614.32    10.931183     7.766480
4615.53    10.839375     4.908887
4616.75     8.645543     5.819219
4617.96    13.367661     5.151235
4619.18    13.084317     3.046387
4620.39     7.436542     3.462477
4621.61     8.007458     6.804509
4622.82     5.853944     7.595315
4624.04     5.103629     5.082016
4625.25    10.937727     2.133469
4626.46    14.637179     2.179816
4627.68     5.688616     4.872468
4628.89    10.100432     3.216968
4630.11    14.685309     1.817755
4631.32     7.461652     3.519641
4632.54     0.991233     4.991935
4633.75     7.923984     5.036569
4634.97    11.440559     5.103579
4636.18    11.145384     4.636948
4637.40    10.530072     5.539358
4638.61     8.739595     8.122776
4639.82    15.185732     3.233401
4641.04    11.693841     3.387020
4642.25     6.879107     6.661572
4643.47    11.465022     5.857904
4644.68    12.110088     5.091960
4645.90    11.289013     4.300298
4647.11    10.573042     3.706269
4648.33     9.567787     4.543354
4649.54     7.792307     6.061137
4650.76     7.389152     5.288912
4651.97    14.011955     3.376843
4653.18    15.007812     3.435907
4654.40     9.104228     6.021525
4655.61    10.833153     6.794823
4656.83    22.527794     2.471310
4658.04    15.110768     2.599080
4659.26     7.246798     6.085628
4660.47    10.828764     6.398869
4661.69    16.449398     3.928895
4662.90    16.931084     5.611974
4664.12     7.595453     7.642472
4665.33    10.376171     7.959404
4666.54    18.401543     5.985836
4667.76    15.449911     2.606456
4668.97    12.163548     1.675471
4670.19    13.117007     6.305619
4671.40    19.614969     4.750354
4672.62    15.652794     4.270516
4673.83     2.792351     7.939764
4675.05     4.609644     4.132631
4676.26     9.988008     5.926102
4677.47    11.774011     8.190683
4678.69    12.640402     7.303870
