;wave = wavelength (um)
;flux = flux (W/cm^2/um)
;stdev = standard deviation of flux measurement (W/cm^2/um)
;det = LWS detector number (0-9)
;line = LWS line number (0-9)
 
wave    flux         stdev           det   line
 44.2885  6.45231e-19  3.07319e-19      0      0
 44.3574  5.22864e-19  1.93749e-19      0      0
 44.4261  3.51068e-19  1.64059e-19      0      0
 44.4948  5.52207e-19  1.56515e-19      0      0
 44.5635  4.17139e-19  1.77225e-19      0      0
 44.6321  5.68063e-19  2.12010e-19      0      0
 44.7007  2.47459e-19  1.46900e-19      0      0
 44.7692  3.11279e-19  1.53880e-19      0      0
 44.8376  3.62970e-19  1.51899e-19      0      0
 44.8992  3.38348e-19  1.78836e-19      0      0
 44.9675  1.28743e-19  1.27723e-19      0      0
 45.0359  2.66834e-19  1.35558e-19      0      0
 45.1041  3.02866e-19  1.59216e-19      0      0
 45.1724  2.59870e-19  1.53575e-19      0      0
 45.2405  1.53609e-19  1.43642e-19      0      0
 45.3087  2.33586e-19  1.61953e-19      0      0
 45.3768  2.02779e-19  1.44169e-19      0      0
 45.4448  3.19638e-19  1.65172e-19      0      0
 45.5128  4.97245e-19  1.61606e-19      0      0
 45.5808  3.39349e-19  1.56537e-19      0      0
 45.6487  3.77659e-19  1.57907e-19      0      0
 45.7166  2.44929e-19  1.25709e-19      0      0
 45.7844  4.17516e-19  1.62566e-19      0      0
 45.8523  3.92860e-19  1.57865e-19      0      0
 45.9133  3.62405e-19  1.29850e-19      0      0
 45.9810  4.79039e-19  1.35889e-19      0      0
 46.0487  6.17179e-19  1.36310e-19      0      0
 46.1164  4.29533e-19  2.35607e-19      0      0
 54.2556  5.99613e-19  1.89445e-19      1      0
 54.3250  7.20678e-19  1.16323e-19      1      0
 54.3943  4.89425e-19  1.23036e-19      1      0
 54.4636  5.79947e-19  1.22344e-19      1      0
 54.5328  6.33918e-19  1.15660e-19      1      0
 54.6019  5.60873e-19  1.58856e-19      1      0
 54.6710  6.90542e-19  1.46248e-19      1      0
 54.7400  6.29925e-19  1.89673e-19      1      0
 54.8090  7.84574e-19  1.50957e-19      1      0
 54.8710  5.66761e-19  1.71130e-19      1      0
 54.9399  4.45101e-19  1.35308e-19      1      0
 55.0087  5.41355e-19  1.51816e-19      1      0
 55.0775  3.92574e-19  1.23283e-19      1      0
 55.1462  5.08370e-19  1.60466e-19      1      0
 55.2148  7.61074e-19  1.25798e-19      1      0
 55.2835  5.25043e-19  1.57768e-19      1      0
 55.3520  4.44790e-19  1.58668e-19      1      0
 55.4206  5.63438e-19  1.11532e-19      1      0
 55.4890  4.59064e-19  1.41771e-19      1      0
 55.5574  6.66297e-19  1.96505e-19      1      0
 55.6258  6.61515e-19  1.55108e-19      1      0
 55.6942  7.89008e-19  1.53300e-19      1      0
 55.7625  9.06335e-19  1.24114e-19      1      0
 55.8307  4.87317e-19  1.34945e-19      1      0
