#Wavelength     Flux
#[Angstrom]   [Counts]
3932.25    339.588900
3933.89    536.988900
3935.52    388.737400
3937.16    434.496400
3938.79    552.689100
3940.42    573.583400
3942.06    608.898600
3943.69    489.678100
3945.32    437.978200
3946.96    610.251300
3948.59    641.044600
3950.23    577.632400
3951.86    595.865500
3953.49    637.716600
3955.13    501.656600
3956.76    377.460700
3958.39    509.865600
3960.03    651.373000
3961.66    668.375900
3963.30    645.505000
3964.93    529.523600
3966.56    671.105700
3968.20    641.936900
3969.83    545.966400
3971.47    601.922800
3973.10    751.958400
3974.73    685.581100
3976.37    670.602800
3978.00    677.589100
3979.64    761.067400
3981.27    903.435400
3982.90    755.586200
3984.54    694.861600
3986.17    647.238800
3987.80    534.535600
3989.44    607.729600
3991.07    490.513700
3992.71    453.250700
3994.34    440.311300
3995.97    566.230500
3997.61    509.301600
3999.24    532.834400
4000.88    769.561600
4002.51    741.512900
4004.14    546.754000
4005.78    547.635400
4007.41    668.418300
4009.04    732.452100
4010.68    814.641700
4012.31    723.923800
4013.95    585.946000
4015.58    569.905200
4017.21    663.691700
4018.85    528.154200
4020.48    469.734800
4022.11    443.561900
4023.75    423.430200
4025.38    355.450600
4027.02    236.084800
4028.65    275.168900
4030.28    293.212400
4031.92    393.281300
4033.55    356.860800
4035.19    315.511200
4036.82    395.133800
4038.45    453.484100
4040.09    342.382600
4041.72    316.806300
4043.36    392.180600
4044.99    405.647000
4046.62    452.300000
4048.26    500.937600
4049.89    426.544900
4051.52    458.178000
4053.16    372.503400
4054.79    445.567100
4056.43    470.114000
4058.06    412.084000
4059.69    435.436200
4061.33    446.527100
4062.96    436.898000
4064.59    418.190100
4066.23    551.401800
4067.86    591.719400
4069.50    401.264700
4071.13    480.837500
4072.76    582.277000
4074.40    501.281600
4076.03    584.504900
4077.67    448.054500
4079.30    566.793000
4080.93    614.813800
4082.57    577.537500
4084.20    647.166600
4085.84    515.740900
4087.47    397.361500
4089.10    428.522800
4090.74    476.350400
4092.37    573.511400
4094.01    530.283400
4095.64    604.719900
4097.27    658.118900
4098.91    592.672400
4100.54    687.674300
4102.17    734.497300
4103.81    633.226100
4105.44    657.717800
4107.07    599.060900
4108.71    759.078400
4110.34    742.547500
4111.98    710.584900
4113.61    803.516700
4115.24    817.203600
4116.88    750.998000
4118.51    817.145500
4120.15    906.122300
4121.78    876.932300
4123.41    873.271500
4125.05    835.405500
4126.68    852.717100
4128.31    761.148100
4129.95    676.089200
4131.58    535.084000
4133.22    491.357900
4134.85    515.263300
4136.48    512.257700
4138.12    403.476100
4139.75    282.350500
4141.39    284.577000
4143.02    159.937000
4144.65    244.968200
4146.29    396.966100
4147.92    477.529700
4149.56    496.295400
4151.19    518.402900
4152.82    572.333500
4154.46    659.301900
4156.09    858.646900
4157.73    774.083300
4159.36    764.553900
4160.99    768.930400
4162.63    713.453400
4164.26    758.043900
4165.89    831.361100
4167.53    785.004000
4169.16    754.835900
4170.80    647.114900
4172.43    635.314600
4174.06    619.109100
4175.70    415.432000
4177.33    388.492400
4178.97    417.565100
4180.60    391.792800
4182.23    491.395400
4183.87    428.451700
4185.50    547.800200
4187.13    817.641900
4188.77    791.128900
4190.40    889.080600
4192.04    1005.778000
4193.67    1055.948000
4195.30    1038.989000
4196.94    970.983800
4198.57    925.030300
4200.20    1026.841000
4201.84    1172.938000
4203.47    1101.045000
4205.11    969.840600
4206.74    1087.996000
4208.37    1127.546000
4210.01    1069.336000
4211.64    1136.422000
4213.27    1237.853000
4214.91    1195.570000
4216.54    1113.287000
4218.18    1117.633000
4219.81    1148.081000
4221.44    1229.222000
4223.08    1281.619000
4224.71    1261.438000
4226.35    1181.005000
4227.98    1266.844000
4229.61    1076.088000
4231.25    1227.023000
4232.88    1368.945000
4234.52    1264.313000
4236.15    1194.927000
4237.78    1178.800000
4239.42    1289.474000
4241.05    1255.334000
4242.69    1176.189000
4244.32    1152.989000
4245.95    1092.466000
4247.59    1228.836000
4249.22    1178.596000
4250.85    1128.196000
4252.49    1042.501000
4254.12    1286.835000
4255.76    1274.833000
4257.39    1081.953000
4259.02    1188.553000
4260.66    1150.902000
4262.29    1178.837000
4263.93    1175.119000
4265.56    1096.555000
4267.19    1241.009000
4268.83    1280.672000
4270.46    1165.893000
4272.09    1095.680000
4273.73    1133.698000
4275.36    1181.801000
4277.00    1100.237000
4278.63    1015.295000
4280.26    1086.718000
4281.90    1113.665000
4283.53    1159.483000
4285.16    1162.782000
4286.80    1211.204000
4288.43    1210.435000
4290.07    1187.635000
4291.70    1143.717000
4293.33    1161.755000
4294.97    1108.847000
4296.60    1160.857000
4298.24    1181.714000
4299.87    1275.545000
4301.50    1365.090000
4303.14    1314.850000
4304.77    1367.141000
4306.40    1371.256000
4308.04    1428.879000
4309.67    1269.125000
4311.31    1276.168000
4312.94    1253.524000
4314.57    1198.576000
4316.21    1070.384000
4317.84    949.520200
4319.48    1071.846000
4321.11    1128.184000
4322.74    1151.191000
4324.38    1156.085000
4326.01    1247.455000
4327.65    1207.309000
4329.28    1308.961000
4330.91    1385.870000
4332.55    1315.478000
4334.18    1312.516000
4335.81    1287.997000
4337.45    1224.628000
4339.08    1190.882000
4340.72    1135.071000
4342.35    1246.366000
4343.98    1177.813000
4345.62    1157.638000
4347.25    1266.441000
4348.89    1205.293000
4350.52    1186.649000
4352.15    1201.270000
4353.79    1185.758000
4355.42    1203.940000
4357.05    1279.878000
4358.69    1292.357000
4360.32    1199.220000
4361.96    1187.957000
4363.59    1128.051000
4365.22    1041.832000
4366.86    1134.181000
4368.49    1105.155000
4370.12    1110.192000
4371.76    1179.517000
4373.39    1008.944000
4375.03    1109.596000
4376.66    1081.015000
4378.29    1220.561000
4379.93    1227.935000
4381.56    1087.843000
4383.20    1262.937000
4384.83    1270.637000
