#Wavelength         Spectrum        Cont-Subtr-Spectrum           Error           Mask
#[Angstrom]  [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [Bit Array]
3801.89            44.672300            -1.581745               0.000000         83886080
3802.77            44.654200            -1.599842               7.674482                0
3803.65            46.314700             0.060658               0.000000                0
3804.52            47.974000             1.719955               6.624449                0
3805.40            39.988000            -6.266045               6.753582                0
3806.27            63.208900            16.954860               7.400751                0
3807.15            53.789400             7.535355               7.072765                0
3808.03            44.945200            -1.282249               6.020624                0
3808.90            42.142700            -4.178993               5.806383                0
3809.78            50.343200             4.089840               5.692607                0
3810.66            46.089700            -0.070942               5.437908                0
3811.54            29.842900            -16.380730               5.062710                0
3812.41            41.279600            -4.865437               5.241626                0
3813.29            32.892500            -13.263850               5.126567                0
3814.17            34.607600            -11.616030               5.222812                0
3815.05            35.207400            -11.100750               5.336495                0
3815.93            34.903200            -11.323230               5.379058                0
3816.81            24.074100            -22.236710               6.014544                0
3817.68            37.637000            -8.750320               6.167847                0
3818.56            41.242900            -5.067909               6.169444                0
3819.44            22.744300            -23.643020               5.835017                0
3820.32            28.973900            -17.480350               5.116673                0
3821.20            25.768100            -20.557530               5.006563                0
3822.08            28.947500            -17.439820               5.136574                0
3822.96            35.490400            -10.958390               5.326153                0
3823.84            39.953200            -6.562248               5.537596                0
3824.72            38.709700            -7.873898               5.624256                0
3825.60            41.797100            -4.849693               5.667055                0
3826.48            47.141700             0.423256               5.667483                0
3827.37            48.979000             2.245049               5.508635                0
3828.25            47.841000             1.166092               5.407033                0
3829.13            43.877100            -2.728138               5.209054                0
3830.01            45.581700            -0.984047               5.339705                0
3830.89            43.203900            -3.366707               5.254882                0
3831.78            54.555300             7.978603               5.386669                0
3832.66            57.295400            10.663730               5.392164                0
3833.54            49.318700             2.704033               5.265558                0
3834.42            46.978100             0.363434               5.175646                0
3835.31            45.889400            -0.725266               5.095486                0
3836.19            43.393200            -3.221466               5.005196                0
3837.07            49.692700             3.078033               5.096121                0
3837.96            48.636800             2.022133               5.031954                0
3838.84            49.365700             2.751034               5.064314                0
3839.72            41.217800            -5.396866               4.776696                0
3840.61            34.302300            -12.312370               4.675460                0
