#Wavelength     Flux
#[Angstrom]   [Counts]
3923.59     0.000000
3925.22     0.000000
3926.84     0.000000
3928.46     0.000000
3930.09     0.000000
3931.71     0.000000
3933.34     0.000000
3934.96     0.000000
3936.58     0.000000
3938.21    -350.547400
3939.83    2132.647000
3941.46    1283.941000
3943.08    648.477900
3944.70    501.276400
3946.33    572.173100
3947.95    471.911900
3949.58    499.129900
3951.20    454.403300
3952.82    304.630200
3954.45    411.167900
3956.07    368.527800
3957.70    476.426900
3959.32    448.079700
3960.94    495.893900
3962.57    655.888400
3964.19    487.960800
3965.82    475.543500
3967.44    617.495400
3969.06    771.581900
3970.69    686.196400
3972.31    954.519200
3973.94    681.138700
3975.56    496.301800
3977.18    653.366800
3978.81    641.153300
3980.43    577.552600
3982.06    599.101400
3983.68    593.701400
3985.30    451.693100
3986.93    585.959700
3988.55    740.615700
3990.18    797.383100
3991.80    738.866200
3993.43    662.058600
3995.05    567.299800
3996.67    616.247900
3998.30    672.989900
3999.92    553.759900
4001.55    661.264100
4003.17    676.177300
4004.79    567.941800
4006.42    618.855200
4008.04    584.134000
4009.67    534.691200
4011.29    532.759300
4012.91    444.791100
4014.54    422.412200
4016.16    512.505900
4017.79    738.619800
4019.41    533.336100
4021.03    432.233800
4022.66    647.905900
4024.28    688.510300
4025.91    609.366000
4027.53    550.707500
4029.15    569.243500
4030.78    531.897300
4032.40    688.417800
4034.03    591.020300
4035.65    636.392000
4037.27    788.458600
4038.90    671.136000
4040.52    737.935000
4042.15    559.051800
4043.77    525.621600
4045.39    742.868900
4047.02    778.996200
4048.64    565.671300
4050.27    640.321700
4051.89    573.733800
4053.51    335.973400
4055.14    302.001200
4056.76    526.312100
4058.39    545.649000
4060.01    498.944700
4061.64    536.935900
4063.26    427.454200
4064.88    636.696500
4066.51    732.557100
4068.13    714.606300
4069.76    745.258900
4071.38    839.322900
4073.00    572.245700
4074.63    581.448600
4076.25    702.260000
4077.88    750.067900
4079.50    665.552200
4081.12    612.554000
4082.75    668.708600
4084.37    556.926900
4086.00    526.423300
4087.62    430.912200
4089.24    460.862600
4090.87    439.586200
4092.49    419.924100
4094.12    403.059000
4095.74    365.432400
4097.36    553.002100
4098.99    520.882400
4100.61    546.420600
4102.24    521.843600
4103.86    628.590800
4105.48    729.842300
4107.11    705.305900
4108.73    819.249000
4110.36    738.510100
4111.98    798.042400
4113.60    767.108800
4115.23    839.937000
4116.85    657.895500
4118.48    902.207800
4120.10    833.273900
4121.73    827.276200
4123.35    921.100600
4124.97    903.575200
4126.60    857.461900
4128.22    889.770600
4129.85    1027.792000
4131.47    754.949300
4133.09    671.645000
4134.72    755.203800
4136.34    804.630500
4137.97    1005.425000
4139.59    958.539000
4141.21    745.173600
4142.84    818.670500
4144.46    930.223500
4146.09    777.028800
4147.71    809.738500
4149.33    787.078400
4150.96    732.874000
4152.58    831.445300
4154.21    899.671400
4155.83    894.151400
4157.45    822.971100
4159.08    810.444000
4160.70    661.486200
4162.33    787.865400
4163.95    741.534900
4165.57    904.434900
4167.20    978.805100
4168.82    995.367900
4170.45    623.235300
4172.07    764.343900
4173.69    867.761000
4175.32    828.968400
4176.94    942.405000
4178.57    801.382800
4180.19    817.966100
4181.81    680.789400
4183.44    850.349400
4185.06    805.042900
