#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 3535.3023     4.618545e-01
 3539.2488     1.856171e-01
 3543.1952     -7.521157e-02
 3547.1416     2.904648e-01
 3551.0880     5.877975e-02
 3555.0344     -3.749658e-02
 3558.9809     1.325097e-01
 3562.9273     2.986679e-01
 3566.8737     6.105740e-02
 3570.8201     3.787385e-02
 3574.7666     -2.808516e-02
 3578.7130     -1.098516e-02
 3582.6594     -2.479492e-02
 3586.6058     5.638146e-02
 3590.5523     1.057028e-01
 3594.4987     9.587899e-02
 3598.4451     3.624724e-02
 3602.3915     3.883796e-03
 3606.3380     2.122349e-01
 3610.2844     -1.623521e-01
 3614.2308     3.582038e-01
 3618.1772     2.341250e-01
 3622.1237     1.379730e-01
 3626.0701     3.937823e-01
 3630.0165     -2.147485e-01
 3633.9629     2.859238e-01
 3637.9094     3.183037e-02
 3641.8558     6.274227e-02
 3645.8022     -4.434982e-02
 3649.7486     1.551561e-01
 3653.6951     2.219429e-01
 3657.6415     2.497270e-01
 3661.5879     1.480033e-01
 3665.5343     -7.154032e-02
 3669.4808     4.019335e-02
 3673.4272     2.398040e-01
 3677.3736     8.251926e-02
 3681.3200     2.473059e-01
 3685.2665     3.744848e-01
 3689.2129     2.867646e-01
 3693.1593     8.664293e-02
 3697.1057     2.494078e-01
 3701.0522     1.689154e-01
 3704.9986     1.979214e-01
 3708.9450     2.763942e-01
 3712.8914     1.349553e-01
 3716.8379     1.771221e-01
 3720.7843     2.231833e-01
 3724.7307     2.093021e-01
 3728.6771     2.828364e-01
 3732.6236     1.375867e-01
 3736.5700     2.143729e-01
 3740.5164     2.004989e-01
 3744.4628     1.919534e-01
 3748.4093     2.704577e-01
 3752.3557     1.722920e-01
 3756.3021     1.828328e-01
 3760.2485     1.278487e-01
 3764.1950     1.183566e-01
 3768.1414     1.799696e-01
 3772.0878     2.342082e-01
 3776.0342     3.554367e-01
 3779.9807     2.588623e-01
 3783.9271     2.420143e-01
 3787.8735     2.510075e-01
 3791.8199     1.631296e-01
 3795.7664     3.426318e-01
 3799.7128     1.397529e-01
 3803.6592     2.038483e-01
 3807.6056     1.547136e-01
 3811.5520     2.694777e-01
 3815.4985     3.264229e-01
 3819.4449     1.707187e-01
 3823.3913     1.369583e-01
 3827.3377     1.092532e-01
 3831.2842     1.355458e-01
 3835.2306     1.874795e-01
 3839.1770     1.840217e-01
 3843.1234     1.899146e-01
 3847.0699     1.802314e-01
 3851.0163     2.880245e-01
 3854.9627     2.417158e-01
 3858.9091     1.176456e-01
 3862.8556     1.386679e-01
 3866.8020     1.176554e-01
 3870.7484     2.525926e-01
 3874.6948     1.668599e-01
 3878.6413     3.023493e-01
 3882.5877     2.172479e-01
 3886.5341     1.963152e-01
 3890.4805     1.831304e-01
 3894.4270     2.625692e-01
 3898.3734     3.153437e-01
 3902.3198     2.319273e-01
 3906.2662     3.499353e-01
 3910.2127     2.909889e-01
 3914.1591     3.124700e-01
 3918.1055     2.247365e-01
 3922.0519     2.711499e-01
 3925.9984     2.465702e-01
 3929.9448     2.022630e-01
 3933.8912     1.567430e-01
 3937.8376     1.331024e-01
 3941.7841     1.604087e-01
 3945.7305     2.485042e-01
 3949.6769     2.501273e-01
 3953.6233     2.258621e-01
 3957.5698     3.042947e-01
 3961.5162     2.597406e-01
 3965.4626     2.302498e-01
 3969.4090     1.814190e-01
 3973.3555     1.875956e-01
 3977.3019     2.467640e-01
 3981.2483     2.584121e-01
 3985.1947     3.206784e-01
 3989.1412     3.936816e-01
 3993.0876     4.057131e-01
 3997.0340     3.846936e-01
 4000.9804     4.395408e-01
 4004.9269     4.454266e-01
 4008.8733     4.479402e-01
 4012.8197     5.134200e-01
 4016.7661     6.184145e-01
 4020.7126     5.628614e-01
 4024.6590     4.184765e-01
 4028.6054     4.212784e-01
 4032.5518     4.840684e-01
 4036.4983     4.870081e-01
 4040.4447     5.177364e-01
 4044.3911     5.136151e-01
 4048.3375     5.105159e-01
 4052.2839     4.905873e-01
 4056.2304     5.379347e-01
 4060.1768     4.540509e-01
 4064.1232     4.767419e-01
 4068.0696     4.444738e-01
 4072.0161     4.620302e-01
 4075.9625     4.888492e-01
 4079.9089     5.710207e-01
 4083.8553     4.650987e-01
 4087.8018     5.403364e-01
 4091.7482     5.332279e-01
 4095.6946     4.840546e-01
 4099.6410     5.236076e-01
 4103.5875     4.933982e-01
 4107.5339     4.807566e-01
 4111.4803     4.893050e-01
 4115.4267     5.512777e-01
 4119.3732     5.319533e-01
 4123.3196     4.803640e-01
 4127.2660     5.242198e-01
 4131.2124     4.831103e-01
 4135.1589     5.107244e-01
 4139.1053     5.741737e-01
 4143.0517     4.787892e-01
 4146.9981     4.444366e-01
 4150.9446     4.731603e-01
 4154.8910     5.506955e-01
 4158.8374     4.493244e-01
 4162.7838     5.135922e-01
 4166.7303     5.034117e-01
 4170.6767     5.343426e-01
 4174.6231     4.742519e-01
 4178.5695     5.000064e-01
 4182.5160     5.026633e-01
 4186.4624     5.292663e-01
 4190.4088     5.241588e-01
