#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4545.04    48.880463     7.758508
4546.27    31.262552    13.365797
4547.50    27.281845    11.793995
4548.73    39.292091    10.211207
4549.96    49.271873    10.341581
4551.19    40.734543     8.108006
4552.43    22.797424    12.618159
4553.66    30.353008    11.689691
4554.89    37.106350    11.640994
4556.12    35.943520    10.825220
4557.35    33.766960     9.483865
4558.58    26.012087    14.988699
4559.81    24.391018    16.409023
4561.04    21.584192    13.638171
4562.28    30.273029    13.863375
4563.51    33.885315    14.680108
4564.74    24.856981    11.453778
4565.97    34.383801     9.045904
4567.20    40.958641     9.586923
4568.43    38.454216    10.972433
4569.66    37.280750    10.294027
4570.89    37.367550    10.757904
4572.12    35.001331    14.306283
4573.36    38.535637    14.233018
4574.59    43.297729    11.088651
4575.82    43.179604    13.562654
4577.05    34.566002    14.255076
4578.28    25.114605    15.785538
4579.51    34.390476    19.518454
4580.74    57.163742     8.653092
4581.97    34.215965    10.438122
4583.21    38.624512    12.443702
4584.44    49.289471    12.653082
4585.67    40.708500    14.041120
4586.90    44.578316    11.640244
4588.13    48.094654     8.941594
4589.36    43.272224    12.544449
4590.59    36.526218    15.937752
4591.82    35.573498    15.149294
4593.05    43.139629    14.020672
4594.29    50.008526    15.067204
4595.52    42.821991    14.998625
4596.75    35.324265    15.178782
4597.98    32.786236    13.726263
4599.21    40.505260    12.848112
4600.44    43.281548    10.708833
4601.67    28.999352     9.565530
4602.90    20.082233    15.061641
4604.14    24.779360     7.991831
4605.37    33.068592    11.170609
4606.60    38.786346    13.225051
4607.83    41.947693     9.147494
4609.06    44.514206    10.400294
4610.29    47.935371    11.050234
4611.52    50.107826     6.543515
4612.75    48.464100     7.423604
4613.98    52.645618    10.658031
4615.22    47.978855    10.548219
4616.45    36.382591    13.774050
4617.68    44.291000    19.896629
4618.91    50.470303     9.785549
4620.14    51.970238    13.844803
4621.37    47.809971    14.106891
4622.60    55.159534     7.647221
4623.83    49.915230    13.496099
4625.07    23.974045    22.763813
4626.30    47.288628    10.792774
4627.53    44.217686    12.732834
4628.76    35.264664    17.930199
4629.99    42.271801    13.445385
4631.22    43.699371    10.547186
4632.45    33.225086    15.491373
4633.68    37.727058    13.207083
4634.91    46.047340     5.632482
4636.15    47.133629     7.889024
4637.38    48.386333    11.092154
4638.61    47.542469    13.962439
4639.84    45.489853    18.491989
4641.07    48.959019    15.730682
4642.30    42.917316     9.430458
4643.53    39.288952    10.469995
4644.76    38.685005    14.940514
4646.00    40.071724    15.568927
4647.23    44.767155    13.572189
4648.46    46.509209    15.626036
4649.69    41.827358    19.187441
4650.92    50.973003    11.137284
4652.15    46.591080    13.545851
4653.38    47.413998    19.233309
4654.61    56.219685    15.508941
4655.84    55.443703    10.858883
4657.08    57.247715    13.010055
4658.31    65.499321    11.761002
4659.54    42.344856    16.250477
4660.77    49.476669    14.310871
4662.00    54.614147    15.610457
4663.23    41.714817    17.571796
4664.46    51.590881    11.040932
4665.69    48.286133    16.882648
4666.93    47.664459    11.641932
4668.16    48.475506     9.419593
4669.39    50.518574    13.632610
4670.62    52.312904    16.739134
4671.85    56.902931    15.315290
4673.08    62.868702    13.032399
4674.31    51.187138    17.419645
