#Wavelength     Flux
#[Angstrom]   [Counts]
3932.25    815.627600
3933.89    887.932900
3935.52    950.530200
3937.16    789.742600
3938.79    471.604100
3940.42    608.697000
3942.06    684.188000
3943.69    691.868300
3945.32    736.218400
3946.96    835.627700
3948.59    891.979400
3950.23    796.647500
3951.86    632.772000
3953.49    450.170600
3955.13    566.218200
3956.76    625.679000
3958.39    724.575400
3960.03    732.781800
3961.66    690.590000
3963.30    779.664000
3964.93    964.737100
3966.56    611.946000
3968.20    695.036000
3969.83    783.175300
3971.47    682.993300
3973.10    875.458500
3974.73    719.200700
3976.37    529.201700
3978.00    938.359100
3979.64    898.106900
3981.27    735.792100
3982.90    1020.059000
3984.54    1131.812000
3986.17    980.556600
3987.80    1128.359000
3989.44    924.375700
3991.07    854.821800
3992.71    903.951500
3994.34    798.556700
3995.97    685.112900
3997.61    935.492600
3999.24    822.350300
4000.88    645.989200
4002.51    672.046900
4004.14    795.993300
4005.78    986.183100
4007.41    1083.221000
4009.04    894.271500
4010.68    837.645300
4012.31    1047.218000
4013.95    826.388500
4015.58    735.774700
4017.21    985.061500
4018.85    943.609900
4020.48    960.995700
4022.11    837.792800
4023.75    800.083800
4025.38    887.399900
4027.02    1186.320000
4028.65    1234.856000
4030.28    966.805600
4031.92    828.557000
4033.55    1127.886000
4035.19    1240.678000
4036.82    938.101900
4038.45    903.891800
4040.09    1072.300000
4041.72    1082.237000
4043.36    994.377800
4044.99    937.077400
4046.62    840.572100
4048.26    660.307600
4049.89    714.988500
4051.52    641.108900
4053.16    534.293400
4054.79    692.965500
4056.43    688.487100
4058.06    395.921200
4059.69    374.317700
4061.33    515.012400
4062.96    737.867400
4064.59    785.674200
4066.23    1210.150000
4067.86    1193.716000
4069.50    1033.615000
4071.13    1186.713000
4072.76    1121.835000
4074.40    937.192600
4076.03    946.283800
4077.67    956.998100
4079.30    1166.182000
4080.93    1008.404000
4082.57    992.262000
4084.20    871.873500
4085.84    737.131900
4087.47    704.393900
4089.10    573.204700
4090.74    511.408400
4092.37    835.903400
4094.01    836.537700
4095.64    673.003500
4097.27    890.016200
4098.91    1267.883000
4100.54    1256.730000
4102.17    1363.356000
4103.81    1274.757000
4105.44    1124.984000
4107.07    1294.955000
4108.71    1250.825000
4110.34    1147.332000
4111.98    1455.406000
4113.61    1495.297000
4115.24    1333.519000
4116.88    1534.662000
4118.51    1725.211000
4120.15    1542.853000
4121.78    1290.433000
4123.41    1364.220000
4125.05    1282.565000
4126.68    1543.073000
4128.31    1562.041000
4129.95    1347.050000
4131.58    1362.385000
4133.22    1436.770000
4134.85    1289.827000
4136.48    1275.484000
4138.12    1465.077000
4139.75    1463.268000
4141.39    1401.272000
4143.02    1377.589000
4144.65    1682.948000
4146.29    1823.153000
4147.92    1667.145000
4149.56    1487.120000
4151.19    1369.293000
4152.82    1416.993000
4154.46    1385.534000
4156.09    1335.228000
4157.73    1286.492000
4159.36    1465.585000
4160.99    1536.969000
4162.63    1490.236000
4164.26    1190.026000
4165.89    1585.185000
4167.53    1476.268000
4169.16    1381.722000
4170.80    1171.593000
4172.43    1233.852000
4174.06    1470.494000
4175.70    1551.543000
4177.33    1525.825000
4178.97    1438.368000
4180.60    1315.628000
4182.23    1282.946000
4183.87    1257.382000
4185.50    1246.882000
4187.13    1191.005000
4188.77    1361.394000
4190.40    1356.583000
4192.04    1193.962000
4193.67    1196.060000
4195.30    1255.742000
4196.94    1418.487000
4198.57    1217.418000
4200.20    1395.508000
4201.84    1551.712000
4203.47    1417.250000
4205.11    1465.683000
4206.74    1363.390000
4208.37    1353.260000
4210.01    1531.805000
4211.64    1592.147000
4213.27    1481.876000
4214.91    1604.630000
4216.54    1518.013000
4218.18    1580.630000
4219.81    1445.504000
4221.44    1446.296000
4223.08    1585.766000
4224.71    1504.511000
4226.35    1258.628000
4227.98    1219.743000
4229.61    1229.434000
4231.25    1254.579000
4232.88    1432.019000
4234.52    1280.731000
4236.15    1439.775000
4237.78    1684.707000
4239.42    1533.761000
4241.05    1542.780000
4242.69    1542.588000
4244.32    1472.293000
4245.95    1578.228000
4247.59    1586.211000
4249.22    1726.612000
4250.85    1632.070000
4252.49    1657.059000
4254.12    1633.364000
4255.76    1402.923000
4257.39    1387.784000
4259.02    1314.174000
4260.66    1510.440000
4262.29    1403.699000
4263.93    1255.722000
4265.56    1272.953000
4267.19    1299.177000
4268.83    1481.512000
4270.46    1326.111000
4272.09    1413.135000
4273.73    1325.192000
4275.36    1411.043000
4277.00    1517.120000
