#Wavelength     Flux
#[Angstrom]   [Counts]
3932.25    17516.670000
3933.89    17755.590000
3935.52    19165.360000
3937.16    19255.120000
3938.79    18864.900000
3940.42    19167.010000
3942.06    18549.790000
3943.69    17347.890000
3945.32    16554.600000
3946.96    15676.240000
3948.59    13917.920000
3950.23    13016.930000
3951.86    11717.600000
3953.49    9824.991000
3955.13    7993.667000
3956.76    6621.940000
3958.39    6600.094000
3960.03    7936.575000
3961.66    9404.726000
3963.30    9912.587000
3964.93    12009.060000
3966.56    12988.590000
3968.20    13471.270000
3969.83    15498.450000
3971.47    16626.500000
3973.10    17713.700000
3974.73    19201.850000
3976.37    19032.090000
3978.00    19477.980000
3979.64    19101.460000
3981.27    18627.750000
3982.90    17260.160000
3984.54    15639.200000
3986.17    14380.080000
3987.80    12490.510000
3989.44    10189.460000
3991.07    8890.378000
3992.71    7945.251000
3994.34    8267.652000
3995.97    10634.190000
3997.61    12132.450000
3999.24    13819.090000
4000.88    16933.770000
4002.51    19293.120000
4004.14    21269.500000
4005.78    22058.510000
4007.41    23054.540000
4009.04    23832.220000
4010.68    23921.480000
4012.31    24536.360000
4013.95    24769.290000
4015.58    25883.740000
4017.21    26158.760000
4018.85    25729.650000
4020.48    25884.720000
4022.11    25606.200000
4023.75    25676.790000
4025.38    26260.760000
4027.02    26410.110000
4028.65    26615.920000
4030.28    27148.970000
4031.92    27506.590000
4033.55    27129.650000
4035.19    27084.340000
4036.82    27704.390000
4038.45    28066.280000
4040.09    28557.260000
4041.72    29068.410000
4043.36    28476.610000
4044.99    28751.790000
4046.62    28772.210000
4048.26    28452.880000
4049.89    28787.170000
4051.52    28602.090000
4053.16    27685.520000
4054.79    26529.340000
4056.43    26359.460000
4058.06    25777.920000
4059.69    25964.470000
4061.33    26832.810000
4062.96    27779.000000
4064.59    27953.900000
4066.23    27312.710000
4067.86    27418.920000
4069.50    26629.060000
4071.13    25570.420000
4072.76    25832.410000
4074.40    25560.080000
4076.03    27154.440000
4077.67    27805.360000
4079.30    26668.020000
4080.93    25997.270000
4082.57    25849.540000
4084.20    25521.900000
4085.84    25508.170000
4087.47    25560.830000
4089.10    25355.870000
4090.74    25547.960000
4092.37    26004.290000
4094.01    26358.810000
4095.64    26363.560000
4097.27    26504.820000
4098.91    26307.940000
4100.54    26284.340000
4102.17    26860.410000
4103.81    27301.570000
4105.44    27859.970000
4107.07    28656.080000
4108.71    29117.810000
4110.34    29702.210000
4111.98    29795.360000
4113.61    30131.010000
4115.24    29884.950000
4116.88    30253.930000
4118.51    30182.730000
4120.15    29372.380000
4121.78    28010.830000
4123.41    26502.710000
4125.05    25907.510000
4126.68    25563.260000
4128.31    25171.760000
4129.95    25651.120000
4131.58    26632.060000
4133.22    26854.750000
4134.85    27190.580000
4136.48    27879.010000
4138.12    27644.990000
4139.75    27586.480000
4141.39    27782.650000
4143.02    27811.800000
4144.65    28179.000000
4146.29    28348.280000
4147.92    27707.440000
4149.56    27457.840000
4151.19    28120.680000
4152.82    27796.500000
4154.46    27370.560000
4156.09    26746.380000
4157.73    26478.850000
4159.36    26495.920000
4160.99    26195.470000
4162.63    26602.640000
4164.26    26997.800000
4165.89    27025.510000
4167.53    26646.440000
4169.16    25727.830000
4170.80    25936.650000
4172.43    25760.020000
4174.06    25319.040000
4175.70    24666.760000
4177.33    24893.350000
4178.97    25514.290000
4180.60    26007.910000
4182.23    25922.130000
4183.87    26176.780000
4185.50    27355.420000
4187.13    27360.610000
4188.77    26814.410000
4190.40    26715.950000
4192.04    26977.500000
4193.67    26635.210000
4195.30    26179.600000
4196.94    26256.900000
4198.57    26262.890000
4200.20    26219.640000
4201.84    25638.220000
4203.47    25304.650000
4205.11    26063.290000
4206.74    26186.870000
4208.37    26535.370000
4210.01    26659.230000
4211.64    26701.450000
4213.27    27322.680000
4214.91    27635.330000
4216.54    27135.870000
4218.18    27195.060000
4219.81    27594.460000
4221.44    26612.120000
4223.08    25819.100000
4224.71    26045.000000
4226.35    26257.070000
4227.98    26877.620000
4229.61    27350.020000
4231.25    27935.620000
4232.88    28568.510000
4234.52    28716.520000
4236.15    29505.780000
4237.78    29479.910000
4239.42    28790.770000
4241.05    28667.620000
4242.69    28890.920000
4244.32    29326.180000
4245.95    29259.720000
4247.59    28436.840000
4249.22    27631.640000
4250.85    26978.570000
4252.49    25764.090000
4254.12    25329.840000
4255.76    25994.300000
4257.39    26968.640000
4259.02    28253.910000
4260.66    28973.630000
4262.29    29517.180000
4263.93    29827.230000
4265.56    30774.610000
4267.19    31392.660000
4268.83    31324.780000
4270.46    31799.400000
4272.09    32295.870000
4273.73    32183.570000
4275.36    31352.900000
4277.00    30822.610000
4278.63    29813.600000
4280.26    28839.420000
4281.90    29096.200000
4283.53    29360.890000
4285.16    30146.200000
4286.80    31269.400000
4288.43    31546.220000
4290.07    32241.170000
4291.70    32305.810000
4293.33    31376.630000
4294.97    30656.750000
4296.60    29602.360000
4298.24    28245.820000
4299.87    27334.260000
4301.50    27259.000000
4303.14    28904.200000
4304.77    29496.360000
4306.40    29985.180000
4308.04    30480.950000
4309.67    29919.950000
4311.31    29933.190000
4312.94    29278.100000
4314.57    28629.530000
4316.21    28544.790000
4317.84    28320.380000
4319.48    28056.920000
4321.11    27920.280000
4322.74    27028.210000
4324.38    26479.350000
4326.01    24495.780000
4327.65    22995.800000
4329.28    21227.140000
4330.91    20855.100000
4332.55    22256.850000
4334.18    21852.580000
4335.81    23245.550000
4337.45    24428.400000
4339.08    26070.120000
4340.72    28820.460000
4342.35    31441.120000
4343.98    33675.610000
4345.62    35036.350000
4347.25    34691.910000
