#Wavelength     Flux
#[Angstrom]   [Counts]
3913.05     0.000000
3914.68     0.000000
3916.32     0.000000
3917.95     0.000000
3919.59     0.000000
3921.23     0.000000
3922.86     0.000000
3924.50     0.000000
3926.14     0.000000
3927.77     0.000000
3929.41     0.000000
3931.04     0.000000
3932.68     0.000000
3934.32     0.000000
3935.95     0.000000
3937.59     0.000000
3939.22     0.000000
3940.86     0.000000
3942.50     0.000000
3944.13     0.000000
3945.77     0.000000
3947.41    4826.245000
3949.04    4946.832000
3950.68    5109.221000
3952.31    5203.689000
3953.95    4831.664000
3955.59    4910.809000
3957.22    5178.310000
3958.86    4713.173000
3960.49    5074.850000
3962.13    5642.737000
3963.77    5829.867000
3965.40    6077.055000
3967.04    5887.687000
3968.68    5538.999000
3970.31    5860.779000
3971.95    5122.503000
3973.59    4781.780000
3975.22    4324.164000
3976.86    4455.261000
3978.49    4111.474000
3980.13    3570.165000
3981.77    3153.637000
3983.40    3106.673000
3985.04    2729.270000
3986.67    2473.598000
3988.31    2225.312000
3989.95    2566.680000
3991.58    2970.007000
3993.22    3496.272000
3994.86    3609.864000
3996.49    3534.907000
3998.13    4606.463000
3999.76    4753.982000
4001.40    4897.252000
4003.04    5753.643000
4004.67    5788.823000
4006.31    5673.353000
4007.95    5703.100000
4009.58    5774.501000
4011.22    5381.959000
4012.85    4818.649000
4014.49    4562.728000
4016.13    3723.008000
4017.76    3266.778000
4019.40    3136.068000
4021.03    2781.733000
4022.67    2733.634000
4024.31    2615.314000
4025.94    3368.716000
4027.58    4119.847000
4029.22    4596.019000
4030.85    5163.526000
4032.49    6072.703000
4034.12    6236.527000
4035.76    6168.328000
4037.40    6870.364000
4039.03    6979.990000
4040.67    6941.513000
4042.30    7027.522000
4043.94    7699.998000
4045.58    7762.488000
4047.21    7699.363000
4048.85    7771.216000
4050.49    7515.416000
4052.12    7766.705000
4053.76    7912.017000
4055.39    7885.361000
4057.03    8087.189000
4058.67    8055.216000
4060.30    7542.088000
4061.94    7576.723000
4063.58    7893.271000
4065.21    7844.325000
4066.85    8317.095000
4068.49    8196.739000
4070.12    8281.954000
4071.76    8242.699000
4073.39    7860.779000
4075.03    8049.021000
4076.67    8676.060000
4078.30    8440.874000
4079.94    7811.097000
4081.57    8180.892000
4083.21    7911.488000
4084.85    7824.686000
4086.48    7265.932000
4088.12    7673.233000
4089.76    7876.579000
4091.39    8406.346000
4093.03    7974.117000
4094.66    7389.639000
4096.30    7520.607000
4097.94    7313.839000
4099.57    7090.473000
4101.21    7791.975000
4102.85    7628.485000
4104.48    7416.791000
4106.12    7992.803000
4107.75    7516.991000
4109.39    7674.559000
4111.03    7424.082000
4112.66    6940.031000
4114.30    7167.312000
4115.94    7055.048000
4117.57    7039.765000
4119.21    7174.905000
4120.84    7163.836000
4122.48    7544.106000
4124.12    7408.504000
4125.75    7618.182000
4127.39    7323.546000
4129.02    7318.813000
4130.66    7305.723000
4132.30    7271.977000
4133.93    7665.126000
4135.57    7948.634000
