#Wavelength     Flux    Sky Spectrum 
#[Angstrom]   [Counts]     [Counts]
4545.04     2.162961     7.496915
4545.66     1.585003     7.996809
4546.27     8.026928     5.265524
4546.89    11.551600     3.793692
4547.50     5.267174     5.357921
4548.12     2.154838     7.941844
4548.73     1.636503     6.179991
4549.35     3.552351     3.407707
4549.96     8.077936     3.403177
4550.58    10.998434     3.779513
4551.19     8.227495     1.966415
4551.81     6.371389     4.936062
4552.43     5.126541     6.666643
4553.04     5.634015     5.120789
4553.66     7.103852     3.989268
4554.27     6.046734     4.974022
4554.89     4.799980     5.218353
4555.50     7.384957     4.066033
4556.12    12.665533     4.965667
4556.73    11.173160     7.517018
4557.35     1.809433     7.985724
4557.96     3.255205     6.566729
4558.58    13.294509     3.163273
4559.20    11.146673     1.711256
4559.81     2.119689     4.136744
4560.43     3.431248     7.158898
4561.04     7.033541     7.084652
4561.66     3.046240     7.209403
4562.27    -0.904353    10.411484
4562.89    -0.353528    11.751703
4563.50     5.677712     8.296001
4564.12    13.052723     5.103814
4564.73     4.985779     4.600367
4565.35     3.948518     6.769769
4565.96     5.921006     8.593493
4566.58     3.635029     7.323381
4567.20     2.940730     4.983541
4567.81     0.925393     6.569071
4568.43     4.007479     7.992460
4569.04     7.797872     7.458587
4569.66     9.615461     4.824896
4570.27     9.780542     3.100452
4570.89     7.141033     5.797364
4571.50     7.121027     6.201418
4572.12     5.546449     5.924660
4572.73     6.154292     5.932259
4573.35    11.145160     4.424312
4573.97    10.931540     3.013835
4574.58     0.907697     6.499129
4575.20     4.392617     6.200792
4575.81     9.625864     3.922919
4576.43     8.704398     4.713359
4577.04     7.796286     5.828686
4577.66     7.586943     3.072971
4578.27    14.208187     5.920071
4578.89    11.256157    12.379932
4579.50     8.262355    10.109329
4580.12     7.580694     5.021201
4580.74     1.016648     7.973773
4581.35     8.170346     2.605052
4581.97     5.495007     4.376329
4582.58     2.943478     5.896502
4583.20     8.138918     5.409270
4583.81     9.454799     8.428090
4584.43     4.073775     9.971293
4585.04     8.361506     9.495328
4585.66    11.223109     7.002494
4586.27     7.692152     2.822788
4586.89     2.812587     5.142201
4587.51     2.202407    11.962018
4588.12     7.316139     4.806841
4588.74     9.623986     4.809157
4589.35     6.491625     6.451273
4589.97     5.568129     5.944551
4590.58     8.334441     7.560598
4591.20     7.998846     8.997535
4591.81     7.873528     5.453420
4592.43     9.013190     6.046281
4593.04    11.633110     7.226785
4593.66    10.789928     7.192520
4594.27     6.680562     8.059518
4594.89     7.837307     7.130702
4595.51    10.991116     4.471894
4596.12    14.143213     4.116349
