#################################################################
# SOM run with 200000 iterations on a 20x20 grid with sigma=0.8,#
#learning_rate=0.5 for out_DeepLearning.dat available on 		#
#/MLSNeSpectra/data_all_types			#
#																#
#################################################################

Pair = (0,0)	 Nspec=28	 epoch mean=30.46	 epoch std=16.83
Pair = (0,1)	 Nspec=12	 epoch mean=12.40	 epoch std=31.32
Pair = (0,2)	 Nspec=13	 epoch mean=21.65	 epoch std=49.71
Pair = (0,3)	 Nspec=11	 epoch mean=9.96	 epoch std=3.76
Pair = (0,4)	 Nspec=8	 epoch mean=-10.19	 epoch std=1.54
Pair = (0,5)	 Nspec=18	 epoch mean=-8.28	 epoch std=5.21
Pair = (0,6)	 Nspec=13	 epoch mean=-7.92	 epoch std=1.81
Pair = (0,7)	 Nspec=11	 epoch mean=-5.60	 epoch std=1.47
Pair = (0,8)	 Nspec=16	 epoch mean=-4.38	 epoch std=1.18
Pair = (0,9)	 Nspec=6	 epoch mean=-4.13	 epoch std=3.89
Pair = (0,10)	 Nspec=15	 epoch mean=0.24	 epoch std=1.53
Pair = (0,11)	 Nspec=16	 epoch mean=-0.20	 epoch std=1.01
Pair = (0,12)	 Nspec=15	 epoch mean=0.19	 epoch std=1.32
Pair = (0,13)	 Nspec=17	 epoch mean=-2.68	 epoch std=1.24
Pair = (0,14)	 Nspec=9	 epoch mean=0.24	 epoch std=1.13
Pair = (0,15)	 Nspec=12	 epoch mean=-0.96	 epoch std=2.89
Pair = (0,16)	 Nspec=8	 epoch mean=8.29	 epoch std=3.46
Pair = (0,17)	 Nspec=12	 epoch mean=10.12	 epoch std=2.25
Pair = (0,18)	 Nspec=6	 epoch mean=0.77	 epoch std=4.81
Pair = (0,19)	 Nspec=13	 epoch mean=0.98	 epoch std=3.26
Pair = (1,0)	 Nspec=16	 epoch mean=28.64	 epoch std=13.26
Pair = (1,1)	 Nspec=12	 epoch mean=28.98	 epoch std=6.89
Pair = (1,2)	 Nspec=4	 epoch mean=nan	 epoch std=nan
Pair = (1,3)	 Nspec=12	 epoch mean=16.20	 epoch std=1.87
Pair = (1,4)	 Nspec=3	 epoch mean=322.30	 epoch std=465.43
Pair = (1,5)	 Nspec=11	 epoch mean=-5.15	 epoch std=3.15
Pair = (1,6)	 Nspec=10	 epoch mean=-5.88	 epoch std=1.67
Pair = (1,7)	 Nspec=7	 epoch mean=-3.49	 epoch std=0.79
Pair = (1,8)	 Nspec=11	 epoch mean=-4.71	 epoch std=2.15
Pair = (1,9)	 Nspec=14	 epoch mean=-9.64	 epoch std=2.37
Pair = (1,10)	 Nspec=15	 epoch mean=-3.78	 epoch std=3.07
Pair = (1,11)	 Nspec=22	 epoch mean=-4.58	 epoch std=1.86
Pair = (1,12)	 Nspec=10	 epoch mean=-1.31	 epoch std=2.01
Pair = (1,13)	 Nspec=17	 epoch mean=-1.37	 epoch std=1.88
Pair = (1,14)	 Nspec=15	 epoch mean=0.30	 epoch std=2.40
Pair = (1,15)	 Nspec=12	 epoch mean=2.53	 epoch std=2.17
Pair = (1,16)	 Nspec=5	 epoch mean=6.14	 epoch std=3.53
Pair = (1,17)	 Nspec=2	 epoch mean=7.18	 epoch std=nan
Pair = (1,18)	 Nspec=11	 epoch mean=2.99	 epoch std=3.04
Pair = (1,19)	 Nspec=6	 epoch mean=0.98	 epoch std=3.13
Pair = (2,0)	 Nspec=13	 epoch mean=35.29	 epoch std=28.97
Pair = (2,1)	 Nspec=26	 epoch mean=32.71	 epoch std=17.41
Pair = (2,2)	 Nspec=14	 epoch mean=39.50	 epoch std=21.33
Pair = (2,3)	 Nspec=4	 epoch mean=22.80	 epoch std=nan
Pair = (2,4)	 Nspec=3	 epoch mean=-7.07	 epoch std=2.32
Pair = (2,5)	 Nspec=12	 epoch mean=-9.02	 epoch std=1.61
Pair = (2,6)	 Nspec=12	 epoch mean=-5.03	 epoch std=1.76
Pair = (2,7)	 Nspec=13	 epoch mean=-4.54	 epoch std=1.39
Pair = (2,8)	 Nspec=9	 epoch mean=-8.80	 epoch std=2.78
Pair = (2,9)	 Nspec=15	 epoch mean=-7.42	 epoch std=1.48
Pair = (2,10)	 Nspec=15	 epoch mean=-4.30	 epoch std=1.19
Pair = (2,11)	 Nspec=11	 epoch mean=-5.60	 epoch std=3.87
Pair = (2,12)	 Nspec=12	 epoch mean=-4.12	 epoch std=2.58
Pair = (2,13)	 Nspec=10	 epoch mean=-0.56	 epoch std=1.38
Pair = (2,14)	 Nspec=12	 epoch mean=1.13	 epoch std=1.92
Pair = (2,15)	 Nspec=11	 epoch mean=0.95	 epoch std=1.49
Pair = (2,16)	 Nspec=4	 epoch mean=1.99	 epoch std=5.39
Pair = (2,17)	 Nspec=9	 epoch mean=2.08	 epoch std=2.28
Pair = (2,18)	 Nspec=3	 epoch mean=6.06	 epoch std=2.58
Pair = (2,19)	 Nspec=16	 epoch mean=3.47	 epoch std=2.93
Pair = (3,0)	 Nspec=1	 epoch mean=4.58	 epoch std=nan
Pair = (3,1)	 Nspec=5	 epoch mean=3.60	 epoch std=3.86
Pair = (3,2)	 Nspec=9	 epoch mean=45.61	 epoch std=25.11
Pair = (3,3)	 Nspec=7	 epoch mean=-6.99	 epoch std=26.11
Pair = (3,4)	 Nspec=6	 epoch mean=-8.80	 epoch std=3.25
Pair = (3,5)	 Nspec=8	 epoch mean=-12.36	 epoch std=2.04
Pair = (3,6)	 Nspec=9	 epoch mean=-7.50	 epoch std=3.02
Pair = (3,7)	 Nspec=5	 epoch mean=-4.06	 epoch std=2.05
Pair = (3,8)	 Nspec=11	 epoch mean=-9.32	 epoch std=1.79
Pair = (3,9)	 Nspec=10	 epoch mean=-3.26	 epoch std=3.16
Pair = (3,10)	 Nspec=9	 epoch mean=-1.24	 epoch std=0.69
Pair = (3,11)	 Nspec=5	 epoch mean=-1.47	 epoch std=5.01
Pair = (3,12)	 Nspec=9	 epoch mean=-5.16	 epoch std=2.45
Pair = (3,13)	 Nspec=13	 epoch mean=-0.85	 epoch std=2.22
Pair = (3,14)	 Nspec=7	 epoch mean=0.48	 epoch std=1.00
Pair = (3,15)	 Nspec=9	 epoch mean=-1.56	 epoch std=1.74
Pair = (3,16)	 Nspec=13	 epoch mean=1.00	 epoch std=2.03
Pair = (3,17)	 Nspec=2	 epoch mean=2.82	 epoch std=3.92
Pair = (3,18)	 Nspec=3	 epoch mean=3.68	 epoch std=1.03
Pair = (3,19)	 Nspec=11	 epoch mean=3.89	 epoch std=3.13
Pair = (4,0)	 Nspec=10	 epoch mean=4.13	 epoch std=3.62
Pair = (4,1)	 Nspec=18	 epoch mean=-5.89	 epoch std=1.99
Pair = (4,2)	 Nspec=2	 epoch mean=40.05	 epoch std=nan
Pair = (4,3)	 Nspec=2	 epoch mean=-9.25	 epoch std=0.78
Pair = (4,4)	 Nspec=19	 epoch mean=-10.21	 epoch std=1.89
Pair = (4,5)	 Nspec=5	 epoch mean=-6.52	 epoch std=1.00
Pair = (4,6)	 Nspec=9	 epoch mean=-7.30	 epoch std=2.18
Pair = (4,7)	 Nspec=6	 epoch mean=-10.27	 epoch std=3.26
Pair = (4,8)	 Nspec=6	 epoch mean=-4.28	 epoch std=2.40
Pair = (4,9)	 Nspec=15	 epoch mean=-7.43	 epoch std=2.54
Pair = (4,10)	 Nspec=14	 epoch mean=-7.36	 epoch std=2.61
Pair = (4,11)	 Nspec=6	 epoch mean=-6.58	 epoch std=2.57
Pair = (4,12)	 Nspec=8	 epoch mean=-1.23	 epoch std=1.74
Pair = (4,13)	 Nspec=3	 epoch mean=1.00	 epoch std=0.21
Pair = (4,14)	 Nspec=8	 epoch mean=3.46	 epoch std=2.07
Pair = (4,15)	 Nspec=8	 epoch mean=-4.21	 epoch std=1.66
Pair = (4,16)	 Nspec=5	 epoch mean=-5.21	 epoch std=2.46
Pair = (4,17)	 Nspec=11	 epoch mean=5.58	 epoch std=4.31
Pair = (4,18)	 Nspec=9	 epoch mean=5.20	 epoch std=1.60
Pair = (4,19)	 Nspec=12	 epoch mean=3.29	 epoch std=1.30
Pair = (5,0)	 Nspec=2	 epoch mean=310.36	 epoch std=nan
Pair = (5,1)	 Nspec=0	 epoch mean=310.36	 epoch std=nan
Pair = (5,2)	 Nspec=3	 epoch mean=55.52	 epoch std=24.82
Pair = (5,3)	 Nspec=2	 epoch mean=60.99	 epoch std=nan
Pair = (5,4)	 Nspec=8	 epoch mean=-0.79	 epoch std=nan
Pair = (5,5)	 Nspec=9	 epoch mean=-9.40	 epoch std=1.34
Pair = (5,6)	 Nspec=15	 epoch mean=-7.46	 epoch std=1.17
Pair = (5,7)	 Nspec=7	 epoch mean=-9.31	 epoch std=1.53
Pair = (5,8)	 Nspec=6	 epoch mean=-5.41	 epoch std=0.91
Pair = (5,9)	 Nspec=14	 epoch mean=-3.54	 epoch std=1.63
Pair = (5,10)	 Nspec=14	 epoch mean=-1.60	 epoch std=3.91
Pair = (5,11)	 Nspec=11	 epoch mean=1.45	 epoch std=2.93
Pair = (5,12)	 Nspec=3	 epoch mean=0.21	 epoch std=0.58
Pair = (5,13)	 Nspec=10	 epoch mean=2.58	 epoch std=1.64
Pair = (5,14)	 Nspec=17	 epoch mean=1.19	 epoch std=1.78
Pair = (5,15)	 Nspec=6	 epoch mean=-6.38	 epoch std=3.80
Pair = (5,16)	 Nspec=11	 epoch mean=-2.09	 epoch std=3.85
Pair = (5,17)	 Nspec=8	 epoch mean=4.89	 epoch std=1.46
Pair = (5,18)	 Nspec=6	 epoch mean=4.28	 epoch std=1.92
Pair = (5,19)	 Nspec=16	 epoch mean=6.39	 epoch std=1.94
Pair = (6,0)	 Nspec=13	 epoch mean=133.94	 epoch std=46.33
Pair = (6,1)	 Nspec=15	 epoch mean=147.13	 epoch std=60.59
Pair = (6,2)	 Nspec=3	 epoch mean=102.57	 epoch std=nan
Pair = (6,3)	 Nspec=8	 epoch mean=42.35	 epoch std=14.97
Pair = (6,4)	 Nspec=0	 epoch mean=42.35	 epoch std=14.97
Pair = (6,5)	 Nspec=16	 epoch mean=-8.19	 epoch std=2.86
Pair = (6,6)	 Nspec=8	 epoch mean=-8.52	 epoch std=2.05
Pair = (6,7)	 Nspec=11	 epoch mean=-11.97	 epoch std=1.30
Pair = (6,8)	 Nspec=16	 epoch mean=-5.38	 epoch std=2.16
Pair = (6,9)	 Nspec=12	 epoch mean=-3.42	 epoch std=1.07
Pair = (6,10)	 Nspec=17	 epoch mean=-1.04	 epoch std=1.26
Pair = (6,11)	 Nspec=4	 epoch mean=-1.21	 epoch std=1.50
Pair = (6,12)	 Nspec=11	 epoch mean=-2.58	 epoch std=2.79
Pair = (6,13)	 Nspec=11	 epoch mean=2.92	 epoch std=1.25
Pair = (6,14)	 Nspec=3	 epoch mean=4.12	 epoch std=0.66
Pair = (6,15)	 Nspec=20	 epoch mean=1.69	 epoch std=1.87
Pair = (6,16)	 Nspec=1	 epoch mean=7.84	 epoch std=nan
Pair = (6,17)	 Nspec=3	 epoch mean=-5.96	 epoch std=6.50
Pair = (6,18)	 Nspec=15	 epoch mean=3.08	 epoch std=1.07
Pair = (6,19)	 Nspec=10	 epoch mean=4.27	 epoch std=0.98
Pair = (7,0)	 Nspec=10	 epoch mean=100.92	 epoch std=12.59
Pair = (7,1)	 Nspec=12	 epoch mean=104.85	 epoch std=19.78
Pair = (7,2)	 Nspec=1	 epoch mean=10.96	 epoch std=nan
Pair = (7,3)	 Nspec=10	 epoch mean=23.32	 epoch std=5.22
Pair = (7,4)	 Nspec=1	 epoch mean=42.55	 epoch std=nan
Pair = (7,5)	 Nspec=10	 epoch mean=-8.55	 epoch std=1.98
Pair = (7,6)	 Nspec=12	 epoch mean=-12.18	 epoch std=3.06
Pair = (7,7)	 Nspec=8	 epoch mean=-0.23	 epoch std=1.06
Pair = (7,8)	 Nspec=7	 epoch mean=-4.34	 epoch std=2.82
Pair = (7,9)	 Nspec=15	 epoch mean=-1.61	 epoch std=2.36
Pair = (7,10)	 Nspec=7	 epoch mean=-1.32	 epoch std=2.55
Pair = (7,11)	 Nspec=5	 epoch mean=2.92	 epoch std=0.98
Pair = (7,12)	 Nspec=8	 epoch mean=1.71	 epoch std=2.45
Pair = (7,13)	 Nspec=11	 epoch mean=3.90	 epoch std=1.02
Pair = (7,14)	 Nspec=12	 epoch mean=2.94	 epoch std=1.52
Pair = (7,15)	 Nspec=12	 epoch mean=4.17	 epoch std=2.74
Pair = (7,16)	 Nspec=17	 epoch mean=3.18	 epoch std=1.28
Pair = (7,17)	 Nspec=18	 epoch mean=2.59	 epoch std=1.26
Pair = (7,18)	 Nspec=6	 epoch mean=2.97	 epoch std=1.96
Pair = (7,19)	 Nspec=8	 epoch mean=4.79	 epoch std=1.47
Pair = (8,0)	 Nspec=12	 epoch mean=83.79	 epoch std=7.14
Pair = (8,1)	 Nspec=14	 epoch mean=88.05	 epoch std=10.04
Pair = (8,2)	 Nspec=2	 epoch mean=65.55	 epoch std=nan
Pair = (8,3)	 Nspec=11	 epoch mean=14.43	 epoch std=8.87
Pair = (8,4)	 Nspec=13	 epoch mean=54.61	 epoch std=18.83
Pair = (8,5)	 Nspec=0	 epoch mean=54.61	 epoch std=18.83
Pair = (8,6)	 Nspec=5	 epoch mean=-3.67	 epoch std=4.39
Pair = (8,7)	 Nspec=10	 epoch mean=0.79	 epoch std=4.31
Pair = (8,8)	 Nspec=6	 epoch mean=2.91	 epoch std=1.70
Pair = (8,9)	 Nspec=8	 epoch mean=4.23	 epoch std=4.48
Pair = (8,10)	 Nspec=11	 epoch mean=4.15	 epoch std=1.81
Pair = (8,11)	 Nspec=7	 epoch mean=5.19	 epoch std=0.85
Pair = (8,12)	 Nspec=16	 epoch mean=5.09	 epoch std=3.04
Pair = (8,13)	 Nspec=12	 epoch mean=5.90	 epoch std=1.60
Pair = (8,14)	 Nspec=10	 epoch mean=6.00	 epoch std=1.13
Pair = (8,15)	 Nspec=12	 epoch mean=6.42	 epoch std=1.41
Pair = (8,16)	 Nspec=5	 epoch mean=5.38	 epoch std=1.62
Pair = (8,17)	 Nspec=6	 epoch mean=5.91	 epoch std=1.20
Pair = (8,18)	 Nspec=7	 epoch mean=6.88	 epoch std=1.00
Pair = (8,19)	 Nspec=9	 epoch mean=4.43	 epoch std=2.07
Pair = (9,0)	 Nspec=12	 epoch mean=74.35	 epoch std=8.01
Pair = (9,1)	 Nspec=5	 epoch mean=72.16	 epoch std=5.25
Pair = (9,2)	 Nspec=9	 epoch mean=76.36	 epoch std=9.13
Pair = (9,3)	 Nspec=1	 epoch mean=65.24	 epoch std=nan
Pair = (9,4)	 Nspec=9	 epoch mean=78.10	 epoch std=3.48
Pair = (9,5)	 Nspec=20	 epoch mean=87.37	 epoch std=10.41
Pair = (9,6)	 Nspec=0	 epoch mean=87.37	 epoch std=10.41
Pair = (9,7)	 Nspec=11	 epoch mean=2.28	 epoch std=1.41
Pair = (9,8)	 Nspec=6	 epoch mean=3.88	 epoch std=1.69
Pair = (9,9)	 Nspec=8	 epoch mean=6.63	 epoch std=0.77
Pair = (9,10)	 Nspec=13	 epoch mean=8.60	 epoch std=1.32
Pair = (9,11)	 Nspec=11	 epoch mean=7.38	 epoch std=1.60
Pair = (9,12)	 Nspec=2	 epoch mean=8.29	 epoch std=0.03
Pair = (9,13)	 Nspec=11	 epoch mean=7.71	 epoch std=1.77
Pair = (9,14)	 Nspec=10	 epoch mean=9.21	 epoch std=1.12
Pair = (9,15)	 Nspec=9	 epoch mean=8.04	 epoch std=2.30
Pair = (9,16)	 Nspec=9	 epoch mean=6.41	 epoch std=1.05
Pair = (9,17)	 Nspec=10	 epoch mean=9.15	 epoch std=1.11
Pair = (9,18)	 Nspec=4	 epoch mean=4.70	 epoch std=0.39
Pair = (9,19)	 Nspec=6	 epoch mean=1.16	 epoch std=2.43
Pair = (10,0)	 Nspec=6	 epoch mean=66.12	 epoch std=5.93
Pair = (10,1)	 Nspec=5	 epoch mean=55.71	 epoch std=2.98
Pair = (10,2)	 Nspec=13	 epoch mean=61.82	 epoch std=7.31
Pair = (10,3)	 Nspec=6	 epoch mean=67.46	 epoch std=7.87
Pair = (10,4)	 Nspec=9	 epoch mean=71.39	 epoch std=6.41
Pair = (10,5)	 Nspec=16	 epoch mean=87.79	 epoch std=17.14
Pair = (10,6)	 Nspec=4	 epoch mean=79.61	 epoch std=nan
Pair = (10,7)	 Nspec=4	 epoch mean=4.74	 epoch std=1.36
Pair = (10,8)	 Nspec=5	 epoch mean=7.97	 epoch std=1.33
Pair = (10,9)	 Nspec=4	 epoch mean=9.88	 epoch std=1.74
Pair = (10,10)	 Nspec=8	 epoch mean=7.59	 epoch std=2.02
Pair = (10,11)	 Nspec=11	 epoch mean=9.49	 epoch std=1.61
Pair = (10,12)	 Nspec=11	 epoch mean=11.36	 epoch std=1.32
Pair = (10,13)	 Nspec=12	 epoch mean=10.81	 epoch std=2.02
Pair = (10,14)	 Nspec=12	 epoch mean=10.48	 epoch std=2.01
Pair = (10,15)	 Nspec=11	 epoch mean=11.73	 epoch std=1.23
Pair = (10,16)	 Nspec=10	 epoch mean=9.00	 epoch std=1.49
Pair = (10,17)	 Nspec=5	 epoch mean=7.38	 epoch std=1.17
Pair = (10,18)	 Nspec=4	 epoch mean=7.44	 epoch std=0.98
Pair = (10,19)	 Nspec=23	 epoch mean=-1.28	 epoch std=3.40
Pair = (11,0)	 Nspec=7	 epoch mean=53.65	 epoch std=7.05
Pair = (11,1)	 Nspec=9	 epoch mean=50.41	 epoch std=4.67
Pair = (11,2)	 Nspec=9	 epoch mean=57.42	 epoch std=6.92
Pair = (11,3)	 Nspec=11	 epoch mean=62.87	 epoch std=4.47
Pair = (11,4)	 Nspec=3	 epoch mean=77.50	 epoch std=7.00
Pair = (11,5)	 Nspec=7	 epoch mean=61.95	 epoch std=7.50
Pair = (11,6)	 Nspec=13	 epoch mean=62.62	 epoch std=7.43
Pair = (11,7)	 Nspec=0	 epoch mean=62.62	 epoch std=7.43
Pair = (11,8)	 Nspec=5	 epoch mean=11.25	 epoch std=1.87
Pair = (11,9)	 Nspec=6	 epoch mean=14.58	 epoch std=1.19
Pair = (11,10)	 Nspec=13	 epoch mean=12.84	 epoch std=3.05
Pair = (11,11)	 Nspec=12	 epoch mean=12.15	 epoch std=2.00
Pair = (11,12)	 Nspec=6	 epoch mean=12.15	 epoch std=0.88
Pair = (11,13)	 Nspec=12	 epoch mean=12.75	 epoch std=1.84
Pair = (11,14)	 Nspec=5	 epoch mean=11.79	 epoch std=1.76
Pair = (11,15)	 Nspec=4	 epoch mean=10.79	 epoch std=1.79
Pair = (11,16)	 Nspec=16	 epoch mean=7.83	 epoch std=1.36
Pair = (11,17)	 Nspec=8	 epoch mean=9.46	 epoch std=1.94
Pair = (11,18)	 Nspec=9	 epoch mean=10.56	 epoch std=3.74
Pair = (11,19)	 Nspec=7	 epoch mean=3.87	 epoch std=2.35
Pair = (12,0)	 Nspec=12	 epoch mean=43.95	 epoch std=5.26
Pair = (12,1)	 Nspec=7	 epoch mean=44.34	 epoch std=2.33
