comp 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 -0.325855502059 	 nan 	 nan 	 1407.48958297
3 	 -0.383107540092 	 nan 	 nan 	 1840.68811931
4 	 -0.331621608447 	 nan 	 nan 	 1929.63386079
5 	 -0.347117422756 	 nan 	 nan 	 1719.61046116
6 	 -0.281430683162 	 nan 	 nan 	 1852.70643724
7 	 -0.297383477518 	 nan 	 nan 	 1723.47617102
8 	 -0.324566437726 	 nan 	 nan 	 1835.19962894
9 	 -0.230488164265 	 0.173741020183 	 6.33440980952 	 1712.29531662


*** Final results ****

Silhouette 	-0.230488164265 	 9PC 	 41
Dunn 	0.173741020183 	 9PC 	 41
Davis  	6.33440980952 	 9PC 	 41
vrc 	1407.48958297 	 2PC 	 22
