snid 	 epoch 	 number of mismatch
sn2005ke	1.270	3
sn2001bf	1.220	3
sn2003cg	-0.189	2
sn1996X	-0.099	1
sn2007co	2.678	1
sn1994D	-0.150	3
sn2005hk	-1.362	3
sn2006N	-1.890	1
sn1999cc	-0.194	1
sn1998bp	-2.900	3
sn2007bc	0.610	3
sn2003cg	0.817	2
sn2002he	0.290	3
sn1999by	2.794	3
sn2000dk	0.757	3
sn1999cc	-1.222	1
sn2005am	1.934	1
sn1999ac	2.476	1
sn2008Q	-2.252	3
sn2006sr	-2.340	3
sn2002bo	-1.523	3
sn2001ep	2.830	4
sn2005A	-1.344	3
sn2007co	0.850	1
sn2007jg	-2.256	3
sn2004dt	-2.747	3
sn2005cf	2.285	3
sn1996ai	2.164	3
sn2008Z	-2.290	3
sn2005ke	2.459	3
sn1998ef	1.385	3
sn2007ax	-0.834	3
sn2005A	0.599	3
sn2001ay	1.281	3
sn2006cm	-0.925	3
sn2003W	-2.255	3
sn1999gd	1.100	4
sn2006gj	-0.652	1
sn2003W	-0.343	3
sn1996ai	-0.947	3
sn1999da	-2.618	3
sn2006kf	2.500	3
sn2002fb	0.980	3
sn2007ba	2.140	3
sn2008hv	1.990	1
sn2007co	-0.204	1
sn2003it	1.697	3
sn1999da	-2.120	3
sn1996X	0.209	1
sn2004fu	2.447	1
sn2003cg	-1.165	2
sn2008Q	-1.250	3
sn2006sr	-0.957	3
sn2007al	2.381	3
sn2008A	0.030	3
sn2006bt	-0.068	1
sn2006br	0.224	3
sn2005M	-2.740	3
sn2008A	-2.962	3
sn2006os	-1.040	3
sn2008gl	-1.450	3
sn2007kk	1.143	3
sn2008bf	0.693	3
sn2006N	0.710	1
sn2003it	2.673	3
sn2003iv	1.402	1
sn2005ki	1.620	1
sn2005bc	1.550	1
sn2001ex	-1.820	3
sn1998bp	0.980	3
sn2003cg	-2.121	2
sn2003ch	1.766	3
sn2001ep	1.816	3
sn2002cd	2.266	3
sn2004fu	2.430	1
sn2003it	-1.161	3
sn1998co	0.933	2
sn1994D	-2.493	3
sn2007af	2.308	3
sn2000fa	2.213	3
sn2001N	0.646	2
sn2007bz	1.650	3
sn2001da	2.920	1
sn2003cg	-1.394	2
sn1999ac	-0.890	1
sn2005A	1.511	3
sn1998bp	-1.910	3
sn2003du	2.882	3
sn2002ef	-2.892	3
sn1998dx	2.134	1
sn2004eo	-2.855	1
sn1999ac	-0.961	1
sn2004as	1.804	1
sn2006sr	2.958	3
sn1997bp	2.787	3
sn1995E	-2.460	3
sn2007ax	-1.877	3
sn2002fb	-2.629	3
sn2002cr	0.674	3
sn2006gt	0.270	3
sn2002cr	-2.388	3
sn1996X	0.894	1
sn2007as	-2.660	3
sn2003iv	0.464	1
sn2006sr	0.966	3
sn2006le	2.939	3
sn2009ag	-0.480	3
sn2008ar	2.830	4
sn1998dk	-0.540	3
sn2002cd	0.277	3
sn2008ae	-0.078	3
sn1997bp	1.795	3
sn2005M	0.157	3
sn2006nz	-1.647	3
sn1996X	1.192	1
sn2001N	2.537	2
sn1996ai	-0.927	3
sn2007bd	-1.261	3
sn1997bp	-1.200	3
sn2006br	0.540	3
sn1991bg	0.140	3
sn1991bg	1.136	3
sn2005hk	-2.369	3
sn2007on	-0.860	1
sn1999ac	0.495	1
sn2003iv	1.760	1
sn2000dg	0.164	3
sn2006bt	0.901	1
sn2002de	-2.218	3
sn2004dt	2.158	3
sn2004dt	1.177	3
sn2002de	1.732	3
sn2006sr	2.690	3
sn2000cx	-2.778	3
sn2004as	2.852	1
sn1998bp	0.049	3
sn1996X	-1.649	1
sn2007co	0.759	1
sn2007ax	-2.030	3
sn2004as	-2.949	1
sn2003ch	1.824	3
sn2006gt	1.397	3
sn2001br	-0.451	3
sn2006N	-0.900	1
sn2006fw	2.700	1
sn2001bf	0.768	3
sn2003cq	-0.150	3
sn2002bo	-1.080	3
sn2007bc	2.500	3
sn2007co	1.714	1
sn2007kk	2.075	3
sn2000fa	1.234	3
sn2001da	-2.006	1
sn1998dh	-0.535	3
sn2008fp	-2.830	3
sn2001da	1.917	1
sn2007au	1.127	1
sn2000cx	-0.794	3
sn1996ai	0.130	3
sn2004as	-2.056	1
sn1996bl	-2.239	3
sn2006N	-1.321	1
sn2008ae	1.893	3
sn2004dt	-1.766	3
sn2003it	-0.234	3
sn2005ke	0.498	3
sn2005am	-2.975	1
sn2002bo	-2.449	3
sn2007al	1.770	3
sn2007bd	0.520	4
sn2006X	1.293	3
sn2008A	-0.984	3
sn2001fh	-1.679	1
sn2008Q	-0.308	3
sn2008ae	2.835	3
sn2006cm	-1.150	3
sn2002bo	-1.693	3
sn2007co	-1.217	1
sn2007bd	1.668	3
sn2008ae	-1.010	3
sn2002fk	2.531	3
sn2007kk	-1.748	3
sn2006X	2.298	3
sn2008bc	-2.990	3
sn2003cg	1.763	2
sn2004S	-0.004	3
sn2006gr	-2.068	3
snf20080720-001	-0.353	3
sn2003kc	-0.881	3
sn2003cg	-2.101	2
sn2001da	-1.120	1
sn2008ae	0.922	3
sn2005M	0.320	3
sn1999by	2.944	3
sn1999by	1.796	3
sn2005ke	0.390	3
sn2000dk	1.000	3
sn2005M	-1.722	3
sn2007ci	-1.189	3
sn2003Y	-1.740	3
sn2003it	-2.214	3
sn2006N	1.617	1
sn2003iv	-0.503	1
sn2008bf	-2.700	3
sn2002bo	-0.697	3
sn2006bt	2.780	1
sn2005ag	0.520	4
sn2003W	0.637	3
sn1999ek	-0.619	1
sn2008bf	2.625	3
sn2002de	-0.320	3
sn2003cg	0.598	2
sn2003cg	1.922	2
sn1999ac	-2.476	1
sn2006bt	-0.978	1
sn2002cd	1.100	4
sn2006gt	2.040	3
sn2002bo	-2.688	3
sn2006D	2.530	3
sn2008A	-1.880	3
sn2006N	2.583	1
sn2001ep	0.819	3
sn1999ej	1.085	3
sn1996X	-2.761	1
sn2006X	-1.094	3
sn2002cf	-0.750	3
sn1999cc	1.706	1
sn2005am	2.925	1
sn2003gq	-0.690	1
sn2007ci	-1.710	3
sn2006bt	2.270	1
sn2001ep	2.804	3
sn2009ab	2.670	3
sn2007jg	-1.220	3
sn2003it	0.732	3
sn2001da	-1.013	1
sn2002G	-2.496	3
sn2006sr	1.972	3
sn1996X	-0.765	1
sn2004as	-0.989	1
sn1998co	-0.049	2
sn2002fb	0.335	3
sn2008fp	2.170	3
sn2003gq	1.459	1
sn2006bt	1.889	1
sn1997bp	0.793	3
sn2004fu	-2.650	1
sn2001br	2.508	3
sn2008A	1.004	3
sn2003cg	2.769	2
sn2001da	-0.039	1
sn2006gt	2.374	3
sn2005cf	2.524	3
sn2008fp	1.160	3
sn1997bp	-0.228	3
sn2006X	0.895	3
sn2001ay	-1.475	3
sn2006gt	2.990	3
sn1996X	2.195	1
sn2006bz	-2.440	3
sn2004as	-0.126	1
sn2002de	2.714	3
sn2007ci	-2.171	3
sn2001fh	-2.578	1
sn1998ec	-2.941	3
sn1998bp	-0.920	3
