<<<<<<< HEAD
6.840023363521826605e-01 -5.555291779611934988e-01
-1.968918851703271855e-02 2.057102632862461977e-02
1.061097219701732097e-01 -2.563797910647023226e-01
-1.367063929385383680e-01 1.997570741465645172e-01
7.020139795879656308e-01 2.800586630092828377e-01
-2.428114301860557767e-01 2.437190882985391660e-01
-8.564785335473201755e-02 1.605018484144141722e-01
8.875587509900842997e-01 -4.758723620590030734e-01
-3.314285607553391078e-01 2.552863682629430420e-01
-6.416978503408696799e-01 1.839755890841899832e-01
-7.633747307646503444e-01 -2.548696684586253536e-01
-9.139124331958405900e-01 8.393527250643094684e-01
-7.501507423558548826e-01 -2.208452005888346115e-01
5.758161252088389581e-01 4.675097401092926930e-01
5.062267911768488782e-01 4.099742622509664480e-01
-7.326225169063909082e-01 -2.670144164662364705e-01
-8.488548356229883574e-01 1.119879449081324641e-01
-9.476213250239966523e-01 8.188531501475558860e-01
-7.763531485935708520e-01 -1.791982876289099913e-01
5.512648276048719431e-01 4.397882623332594054e-01
-9.331616663927742028e-01 4.631162911673475380e-01
-8.508099091171554829e-01 6.938547627700997200e-02
-9.462414819786506559e-01 6.820529094011051896e-01
-8.284005935993183911e-01 -1.222383987352726464e-02
-8.034788440089797312e-01 -1.090259339221180124e-01
-1.754498386830742884e-01 -1.135207649976788247e-02
5.836600502014430703e-01 9.745194524247468015e-01
-2.093323338644859088e-01 2.648942076505341747e-01
7.764975457554861293e-01 -4.706610963446333784e-01
7.833262736776307467e-01 5.463629467237478554e-01
-9.853349878172212861e-02 4.054976212987770889e-02
6.064775648207614278e-01 -4.951399011181467635e-01
8.377110536433394206e-01 -4.952519714334171486e-01
2.209282973306294640e-01 -2.773902415719546877e-01
4.059252032620472850e-01 -3.724532993397413616e-01
7.328827914156621492e-01 3.638796233161354365e-01
-1.993302680357738055e-01 1.836100694465043759e-01
6.642915864918649271e-01 1.316981143221535033e-01
6.709375278965252765e-01 2.827847991887546542e-01
7.799095371278362832e-01 5.564696614187734092e-01
4.901649092785838047e-01 -4.335019431116038380e-01
-1.698024390947419082e-01 1.915694310926806532e-01
7.929560389922258867e-01 8.932040646600442058e-01
8.499281322879781442e-01 -1.424668064442364823e-01
-3.859461402809651887e-01 3.377903827192858532e-01
-6.164175069578514687e-02 -2.802383813211819508e-01
9.628633395324941446e-01 9.219406856447609488e-01
-4.281374531955792762e-01 3.544184570258178679e-01
-2.829778646249676566e-01 2.643851872531934877e-01
-3.172886826306628993e-01 2.902441299809583874e-01
-2.207651732859090554e-01 2.270646082448659620e-01
-4.463149713467462476e-02 -3.180065235262750090e-01
8.372939942105264155e-01 7.818426014870065721e-01
5.430117391820864503e-01 -6.036667760567389074e-01
7.425881133096690068e-01 1.220172193893139800e-01
-5.917180397624588473e-02 -2.482170497797540065e-01
4.283065645448952408e-01 -5.193810001861911552e-01
-1.995815768459348050e-01 -5.004228769255498754e-01
3.503716293956102845e-01 -4.664111705873004166e-01
-2.078163611578005554e-01 2.181193284648927921e-01
8.595622159006699459e-01 6.756865189182224007e-01
8.340213478802314118e-01 4.007443143008742048e-01
9.029979253798583461e-01 -8.591322709933031376e-01
7.591382123683658723e-01 2.833362976591797810e-01
-1.154580002114071746e-01 -1.240934447392298967e-01
9.200396378002313469e-01 -3.309149605063632649e-01
-2.059412919503422756e-01 2.353290910866010499e-01
-6.497591854293460756e-02 -2.079344641589950804e-01
8.565911413542715014e-02 2.145935073868339149e-01
6.485184741601295322e-01 2.319933014057458109e-01
-2.942365834835802829e-02 1.635350520818129594e-01
1.182580785720820371e-01 -1.902750137790660823e-01
4.471384958820822098e-01 -3.099259177982272018e-01
5.953802795178440022e-01 -4.322750670202624157e-01
6.780142663300993133e-01 4.661285131285857197e-01
-2.954954882626725787e-01 5.042981394702809039e-01
3.887245563285089966e-01 5.191886453047689365e-01
5.579075050819460868e-01 4.205993011322449737e-01
-2.346241468893106585e-01 -4.260106782790065161e-01
3.667947597775995661e-01 -8.295386630671552908e-02
-4.421067095532362767e-01 5.598213589310788718e-01
6.187480399125970809e-01 -3.574129661548426373e-01
7.859839414889966402e-01 -8.519099607834701438e-02
6.837300034175806118e-01 -1.499673582386664705e-01
-1.308834813051862334e-02 -6.112354389941971888e-01
7.019432491377659566e-01 -1.605468304266939317e-01
-1.949057669026736939e-01 -5.293175866883019776e-01
4.113266405292914651e-02 1.852943623217394586e-01
7.423438067108156790e-01 -1.202116275203390927e-01
1.065229761406983888e-01 1.393994457623058958e-01
6.818088617472470858e-01 -1.293394751313314828e-01
-2.508407861778898518e-01 -5.082094382051391968e-01
1.301253687757802924e-01 1.354629497228002633e-01
-3.775093667289766142e-01 2.970914966058454398e-01
8.604987031440666234e-01 8.825124302951421473e-01
-4.954331607863569076e-01 4.088745136263991498e-01
-3.747100398653206987e-01 2.917185389846451704e-01
6.937128750610968009e-01 9.755466937875935107e-01
4.385631258662530119e-01 9.709308692716923650e-01
