n_groups 	 silhouette 	 Dunn 	 	 	 Davis 	 	 	 vrc
2	 	 	0.409309327563	1.1075216439	1.47098639747	1615.22443713
3	 	 	0.468118077138	1.08147899336	1.24902713855	3873.05180447
4	 	 	0.464673939607	0.860023570577	1.1323871698	6495.48304566
5	 	 	0.385547478729	1.08240472074	1.27742523597	4370.22439826
6	 	 	0.310587403314	0.695411933496	1.53317391825	4778.41093101
7	 	 	0.314251569857	0.821770503106	1.66969593664	5233.40546263
8	 	 	0.301982416763	0.795789463002	1.66177855627	5626.2750391
9	 	 	0.30156571179	0.750788537962	1.63201686919	5887.42340526
10	 	 	0.305844958647	0.699377166873	1.75867394746	6332.59438089

 Final results 
        	 silhouette 	 Dunn 	 Davis 	 vrc
n_groups 	 	 	 	3	 	2	 	4	 	2
