n_groups 	 silhouette 	 Dunn 	 	 	 Davis 	 	 	 vrc
2	 	 	0.362555471254	1.03156633999	1.57585291419	1332.24359212
3	 	 	0.341080479247	0.890605375242	1.58262914628	1956.92791847
4	 	 	0.349832000523	1.32607633615	1.37441229293	2265.83052314
5	 	 	0.339158882329	0.943325620972	1.53131501983	3015.21289856
6	 	 	0.34517559462	0.711407132446	1.58339961169	3424.39539416
7	 	 	0.2692617155	0.609999350371	1.87225135658	3718.75652676
8	 	 	0.281798481296	0.648823022128	1.79539468008	4098.26400123
9	 	 	0.291031876089	0.626736591188	1.66495006757	4483.67062222
10	 	 	0.290589710895	0.64117132419	1.83065889814	4741.15513091

 Final results 
        	 silhouette 	 Dunn 	 Davis 	 vrc
n_groups 	 	 	 	2	 	4	 	4	 	2
