PCS 	 groups 	 silhouette 	 dunn 	 davis 	 vrc 
2 	 2 	 0.369394032966 	 1.50818906206 	 1.22279595138 	 1471.03483617
2 	 3 	 0.36396266039 	 1.34904175367 	 1.30290711699 	 2154.72789534
2 	 4 	 0.378280465483 	 1.3481993905 	 1.20456383382 	 3409.76541942
2 	 5 	 0.376853469305 	 1.5301111404 	 1.00500703076 	 4654.31825409
2 	 6 	 0.39372570544 	 1.27893223476 	 1.08988596131 	 5613.56391898
2 	 7 	 0.388797955012 	 1.29568292452 	 1.15400264182 	 7834.61980392
2 	 8 	 0.381751231612 	 1.10112323351 	 1.25639348451 	 9266.19898057
3 	 2 	 0.322744984814 	 1.29876982455 	 1.44257341522 	 1150.81229291
3 	 3 	 0.349000673 	 1.24666230616 	 1.50595129051 	 1655.17784964
3 	 4 	 0.359787783643 	 1.37958577891 	 1.37524729986 	 2512.12130246
3 	 5 	 0.371079406938 	 1.29065275222 	 1.25733879972 	 3145.8875733
3 	 6 	 0.360713012243 	 1.16466690301 	 1.29252110036 	 4022.63312783
3 	 7 	 0.357012227009 	 1.10511959706 	 1.27808938022 	 5435.15329211
3 	 8 	 0.333258206721 	 0.961855721881 	 1.45770505525 	 5921.90253076
4 	 2 	 0.296878444147 	 1.21603581717 	 1.56948319211 	 1011.24450022
4 	 3 	 0.311438542044 	 1.13653617082 	 1.6781565446 	 1392.37378681
4 	 4 	 0.330786228411 	 1.12092074042 	 1.58071930998 	 2187.51675673
4 	 5 	 0.314037064421 	 1.11453061975 	 1.4694924494 	 2654.51393843
4 	 6 	 0.328141973109 	 1.10419326244 	 1.47014563526 	 3235.64195342
4 	 7 	 0.3212011167 	 1.04186513068 	 1.45676773618 	 4273.70404386
4 	 8 	 0.308260966005 	 0.83913411693 	 1.63016807596 	 4501.82578834


*** Final results ****

Silhouette 	0.39372570544 	 2PC_6g
Dunn 	1.5301111404 	 2PC_5g
Davis  	1.00500703076 	 2PC_5g
vrc 	1011.24450022 	 4PC_2g
