***************************************
Simulation 0

Silhouette 	0.485453062686 	 2PC_3g
Dunn 	1.34119769763 	 2PC_2g
Davis  	1.00515081475 	 2PC_4g
vrc 	1393.5870463 	 4PC_2g

***************************************
Simulation 1

Silhouette 	0.522529398782 	 2PC_3g
Dunn 	2.06037055622 	 2PC_3g
Davis  	0.871819173794 	 2PC_3g
vrc 	2239.5891103 	 4PC_2g

***************************************
Simulation 2

Silhouette 	0.455454871743 	 2PC_2g
Dunn 	1.76874056927 	 2PC_2g
Davis  	1.09469784128 	 2PC_2g
vrc 	1531.66205227 	 4PC_2g

***************************************
Simulation 3

Silhouette 	0.396514350826 	 2PC_2g
Dunn 	1.08309064451 	 2PC_2g
Davis  	1.36648424824 	 2PC_8g
vrc 	1316.66424577 	 4PC_3g

***************************************
Simulation 4

Silhouette 	0.359555881676 	 3PC_5g
Dunn 	1.24055334523 	 3PC_2g
Davis  	1.14354539752 	 2PC_6g
vrc 	1034.09162459 	 3PC_2g

***************************************
Simulation 5

Silhouette 	0.431788702078 	 2PC_3g
Dunn 	2.01063926056 	 2PC_3g
Davis  	0.91874898639 	 2PC_3g
vrc 	1591.36768836 	 3PC_2g

***************************************
Simulation 6

Silhouette 	0.409428454677 	 2PC_3g
Dunn 	1.32134038364 	 2PC_3g
Davis  	1.12830675346 	 2PC_3g
vrc 	849.078946427 	 4PC_2g

***************************************
